id,status_code,status_label
cent2145,2,threatened
sout2999,6,extinct
sanf1262,3,shifting
atzi1235,3,shifting
coma1246,2,threatened
quio1240,2,threatened
mali1285,1,not endangered
cupe1243,6,extinct
cahu1264,4,moribund
isla1277,6,extinct
sout2976,3,shifting
tepe1278,6,extinct
sout2977,3,shifting
oriz1235,1,not endangered
cent2133,2,threatened
omet1237,3,shifting
elna1235,3,shifting
sant1424,3,shifting
nort2956,6,extinct
sout2971,2,threatened
kalm1243,2,threatened
peri1253,2,threatened
halh1238,1,not endangered
chin1476,2,threatened
russ1264,3,shifting
mong1330,2,threatened
minh1238,2,threatened
huzh1238,3,shifting
bona1250,3,shifting
kang1281,4,moribund
dong1285,2,threatened
tulu1258,2,threatened
kudi1237,2,threatened
mudu1241,3,shifting
korr1238,2,threatened
kota1263,3,shifting
bada1257,3,shifting
mari1414,1,not endangered
nort2702,2,threatened
mann1245,5,nearly extinct
kisa1261,1,not endangered
guan1269,3,shifting
tatu1247,3,shifting
waim1255,3,shifting
taiw1247,4,moribund
jupu1235,6,extinct
maca1261,6,extinct
sion1247,3,shifting
koro1313,1,not endangered
daan1235,1,not endangered
naas1242,1,not endangered
oung1239,1,not endangered
boka1249,2,threatened
apat1240,2,threatened
damu1236,3,shifting
tang1377,2,threatened
miny1239,2,threatened
pada1257,2,threatened
kark1255,3,shifting
bori1245,3,shifting
shim1250,3,shifting
puxi1243,1,not endangered
shao1234,1,not endangered
minb1236,1,not endangered
yuec1235,1,not endangered
jiny1235,1,not endangered
huiz1242,1,not endangered
zeme1240,3,shifting
mzie1235,2,threatened
poch1243,3,shifting
nort2725,3,shifting
khez1235,2,threatened
sout2732,3,shifting
sumi1235,1,not endangered
yimc1240,2,threatened
para1302,2,threatened
chon1286,2,threatened
tang1336,3,shifting
reng1255,4,moribund
east2779,1,not endangered
khum1248,1,not endangered
mroc1235,2,threatened
sent1260,1,not endangered
zotu1235,1,not endangered
pank1249,2,threatened
tawr1235,1,not endangered
aimo1244,3,shifting
puru1266,5,nearly extinct
chir1283,3,shifting
mons1234,1,not endangered
moyo1238,3,shifting
koir1240,2,threatened
khar1288,1,not endangered
komi1270,2,threatened
lamk1238,3,shifting
anal1239,3,shifting
west2409,1,not endangered
east2342,2,threatened
pwow1235,2,threatened
pwoe1235,3,shifting
phra1235,1,not endangered
pwon1235,1,not endangered
hpon1238,6,extinct
maza1306,4,moribund
muan1234,3,shifting
mang1429,4,moribund
maan1239,3,shifting
zauz1238,3,shifting
nusu1239,2,threatened
lahu1252,1,not endangered
lahu1253,1,not endangered
kuco1235,2,threatened
east2351,2,threatened
west2417,2,threatened
sout2728,3,shifting
sout2729,2,threatened
nort2723,2,threatened
duox1238,5,nearly extinct
naxi1245,1,not endangered
laze1238,4,moribund
yong1270,3,shifting
tina1246,3,shifting
patt1248,2,threatened
kinn1249,3,shifting
chit1279,1,not endangered
kana1283,3,shifting
suna1241,3,shifting
rong1264,3,shifting
gahr1239,3,shifting
rang1266,6,extinct
kuta1241,2,threatened
seke1240,3,shifting
east2346,2,threatened
chal1267,3,shifting
shes1236,3,shifting
east2352,3,shifting
west2418,3,shifting
bujh1238,2,threatened
chep1245,2,threatened
bara1357,5,nearly extinct
than1259,3,shifting
east2773,2,threatened
newa1246,2,threatened
paha1257,3,shifting
dumi1241,5,nearly extinct
khal1275,2,threatened
wayu1241,3,shifting
tilu1238,5,nearly extinct
koii1238,3,shifting
thul1246,4,moribund
wamb1257,2,threatened
jeru1240,3,shifting
noct1238,3,shifting
kais1245,2,threatened
tase1235,2,threatened
maky1235,1,not endangered
laon1234,2,threatened
tiwa1253,2,threatened
dima1251,1,not endangered
bana1283,3,shifting
tama1328,6,extinct
burm1262,6,extinct
kado1242,2,threatened
mobu1235,3,shifting
tiag1235,1,not endangered
nyab1255,1,not endangered
weno1238,1,not endangered
east2414,1,not endangered
lako1244,1,not endangered
gabo1234,2,threatened
komn1238,3,shifting
kolk1234,1,not endangered
ecua1243,1,not endangered
colo1249,2,threatened
boli1236,3,shifting
chir1296,3,shifting
hond1239,3,shifting
pana1308,3,shifting
ghan1235,1,not endangered
domi1236,1,not endangered
nige1240,1,not endangered
jama1263,1,not endangered
trin1277,3,shifting
amer1248,1,not endangered
chad1238,1,not endangered
mala1412,1,not endangered
sela1253,3,shifting
hung1263,1,not endangered
slov1263,1,not endangered
czec1253,2,threatened
aust1252,1,not endangered
lang1248,1,not endangered
vlaa1235,3,shifting
icel1236,1,not endangered
dani1246,3,shifting
norw1255,3,shifting
mada1271,1,not endangered
russ1255,1,not endangered
mold1243,1,not endangered
ukra1235,1,not endangered
papu1255,1,not endangered
solo1262,1,not endangered
aust1271,3,shifting
brib1243,3,shifting
cabe1245,3,shifting
sanb1242,2,threatened
bord1248,2,threatened
ngab1239,3,shifting
bugl1243,3,shifting
west2651,3,shifting
cent2150,3,shifting
barr1251,3,shifting
ango1257,3,shifting
duit1239,6,extinct
chib1270,6,extinct
cogu1240,2,threatened
khor1269,2,threatened
turk1304,1,not endangered
nort2697,1,not endangered
sout2697,1,not endangered
balk1254,3,shifting
gaga1249,2,threatened
nucl1301,1,not endangered
kara1462,5,nearly extinct
tuvi1240,1,not endangered
shor1247,4,moribund
khak1248,3,shifting
kuma1284,3,shifting
pech1242,6,extinct
temi1246,2,threatened
bola1249,2,threatened
khap1242,2,threatened
mayy1239,3,shifting
rucc1239,3,shifting
east2332,2,threatened
sooo1254,1,not endangered
west2397,2,threatened
hala1253,2,threatened
jehh1245,1,not endangered
hala1252,2,threatened
hree1244,1,not endangered
seda1262,1,not endangered
reng1252,2,threatened
souu1238,3,shifting
lave1248,3,shifting
chra1242,2,threatened
maaa1253,1,not endangered
koho1244,1,not endangered
kolb1241,1,not endangered
maha1291,2,threatened
sant1410,2,threatened
turi1246,3,shifting
birh1242,3,shifting
majh1236,3,shifting
koda1236,2,threatened
mall1246,1,not endangered
phai1238,3,shifting
uuuu1243,3,shifting
khan1274,3,shifting
bitt1240,4,moribund
ruch1235,4,moribund
shwe1236,1,not endangered
rian1261,2,threatened
yinc1238,4,moribund
lyng1241,3,shifting
mega1243,1,not endangered
khas1269,2,threatened
pnar1238,2,threatened
dogr1252,3,shifting
dege1248,4,moribund
holi1241,6,extinct
koyu1237,5,nearly extinct
gwic1235,4,moribund
hann1241,5,nearly extinct
tolo1259,6,extinct
uppe1436,6,extinct
kato1244,6,extinct
matt1238,6,extinct
wail1244,6,extinct
hupa1239,5,nearly extinct
babi1235,4,moribund
kain1272,2,threatened
saop1235,6,extinct
suya1243,3,shifting
apin1244,3,shifting
kaya1330,3,shifting
capo1236,6,extinct
coro1248,6,extinct
macu1258,6,extinct
auuu1241,3,shifting
yill1241,3,shifting
ning1273,3,shifting
sina1269,3,shifting
diaa1238,3,shifting
yiss1240,3,shifting
yaus1235,3,shifting
ambr1239,2,threatened
brag1240,3,shifting
aruo1240,3,shifting
amol1235,3,shifting
buki1249,3,shifting
abua1245,3,shifting
yura1256,6,extinct
sout3262,5,nearly extinct
lule1254,3,shifting
pite1240,5,nearly extinct
voti1245,5,nearly extinct
esto1258,1,not endangered
akun1241,5,nearly extinct
saki1248,5,nearly extinct
wayo1238,5,nearly extinct
tupa1250,3,shifting
kama1373,3,shifting
zoro1244,3,shifting
cayu1261,4,moribund
susq1241,6,extinct
sene1264,5,nearly extinct
onon1246,5,nearly extinct
uppe1275,1,not endangered
tecp1235,1,not endangered
coyu1235,1,not endangered
high1243,1,not endangered
toro1255,6,extinct
arao1248,3,shifting
maru1252,3,shifting
pano1254,3,shifting
kari1312,6,extinct
paca1246,5,nearly extinct
chac1251,2,threatened
sens1242,6,extinct
pano1255,6,extinct
araz1236,6,extinct
atsa1242,6,extinct
nuku1263,6,extinct
poya1241,6,extinct
isco1239,5,nearly extinct
nawa1239,6,extinct
remo1249,6,extinct
remo1248,6,extinct
cash1254,3,shifting
amah1246,3,shifting
mayo1271,6,extinct
mayo1270,6,extinct
mati1255,3,shifting
kuli1255,4,moribund
koru1247,4,moribund
demu1235,6,extinct
mats1244,3,shifting
trim1239,1,not endangered
kauw1242,1,not endangered
heib1243,2,threatened
laro1243,2,threatened
mixe1288,6,extinct
kova1243,1,not endangered
sial1240,2,threatened
onoo1246,1,not endangered
awar1248,1,not endangered
want1252,3,shifting
mung1272,4,moribund
naka1264,2,threatened
numa1254,1,not endangered
sauk1252,1,not endangered
nimi1240,1,not endangered
fino1238,1,not endangered
gusa1246,1,not endangered
mama1277,3,shifting
weli1239,3,shifting
saka1292,1,not endangered
somm1240,4,moribund
fora1245,2,threatened
mura1271,1,not endangered
ufim1240,1,not endangered
rawa1267,1,not endangered
iyoo1238,1,not endangered
nekg1240,2,threatened
neko1240,1,not endangered
madi1261,3,shifting
ngai1241,1,not endangered
yout1234,1,not endangered
domu1246,1,not endangered
mapa1244,1,not endangered
bonk1244,3,shifting
yopn1238,1,not endangered
awiy1238,1,not endangered
usar1243,3,shifting
owen1244,2,threatened
awap1236,1,not endangered
gads1258,1,not endangered
agar1252,1,not endangered
gimi1243,1,not endangered
fore1270,1,not endangered
dano1240,1,not endangered
toka1244,1,not endangered
alek1238,2,threatened
sian1257,1,not endangered
yawe1241,1,not endangered
bena1264,2,threatened
koro1312,3,shifting
iwur1240,3,shifting
ngal1298,2,threatened
cita1245,2,threatened
tamn1235,1,not endangered
diuw1238,3,shifting
yaos1235,3,shifting
cent2117,2,threatened
sout3425,3,shifting
kamb1302,3,shifting
goli1247,1,not endangered
sina1271,2,threatened
salt1242,2,threatened
kuma1280,2,threatened
domm1246,1,not endangered
wala1269,1,not endangered
uppe1430,2,threatened
lowe1415,2,threatened
hupl1238,2,threatened
sins1241,2,threatened
dumu1246,4,moribund
yabo1240,1,not endangered
dana1254,2,threatened
urig1240,2,threatened
uyaa1238,3,shifting
ogea1238,1,not endangered
jili1241,2,threatened
rera1240,2,threatened
siha1245,1,not endangered
amel1241,2,threatened
guma1255,1,not endangered
muni1257,1,not endangered
kein1239,2,threatened
gira1247,1,not endangered
dimi1244,2,threatened
kora1296,2,threatened
wask1241,2,threatened
utar1238,1,not endangered
wada1263,1,not endangered
taii1241,1,not endangered
kala1397,1,not endangered
moch1257,5,nearly extinct
tojo1241,3,shifting
chuj1250,2,threatened
tzel1254,1,not endangered
tzot1259,1,not endangered
epig1241,6,extinct
laca1243,3,shifting
yuca1254,1,not endangered
ixil1251,2,threatened
agua1252,2,threatened
mamm1241,2,threatened
tekt1235,3,shifting
poqo1254,2,threatened
poqo1253,3,shifting
sipa1247,3,shifting
saca1238,3,shifting
thur1255,2,threatened
luwo1239,1,not endangered
kuma1275,1,not endangered
lang1324,1,not endangered
labw1238,1,not endangered
alur1250,1,not endangered
bura1273,1,not endangered
dato1239,1,not endangered
isim1234,1,not endangered
seng1286,3,shifting
tuge1241,1,not endangered
lang1322,1,not endangered
ngas1238,6,extinct
kara1483,1,not endangered
nyan1315,1,not endangered
topo1242,1,not endangered
turk1308,1,not endangered
bomk1234,5,nearly extinct
bull1247,4,moribund
nort2775,1,not endangered
east2398,1,not endangered
west2466,1,not endangered
sena1262,1,not endangered
mama1271,1,not endangered
nane1238,1,not endangered
nafa1258,1,not endangered
nyar1245,1,not endangered
pala1342,1,not endangered
kimm1246,2,threatened
goun1238,5,nearly extinct
besm1235,3,shifting
pale1262,1,not endangered
nati1243,2,threatened
wara1292,3,shifting
tief1242,3,shifting
tief1244,5,nearly extinct
nort2787,1,not endangered
sout2797,1,not endangered
mboi1246,2,threatened
kaan1247,1,not endangered
oblo1238,6,extinct
mbum1254,1,not endangered
abee1242,1,not endangered
abid1235,1,not endangered
adio1239,1,not endangered
avik1243,1,not endangered
alla1248,1,not endangered
avat1244,1,not endangered
anim1239,4,moribund
akeb1238,1,not endangered
igoo1238,3,shifting
ikpo1238,1,not endangered
tuwu1238,2,threatened
anii1245,2,threatened
adel1244,1,not endangered
genn1243,1,not endangered
kapy1238,3,shifting
yuku1243,2,threatened
ikug1238,1,not endangered
nung1292,1,not endangered
anin1242,1,not endangered
buuu1244,3,shifting
numa1252,1,not endangered
ayuu1242,4,moribund
toro1249,1,not endangered
boru1244,3,shifting
shal1242,4,moribund
ahan1244,3,shifting
ayer1245,3,shifting
igal1242,1,not endangered
ikwe1242,1,not endangered
ogba1241,1,not endangered
resh1242,2,threatened
obol1243,1,not endangered
ogbr1243,1,not endangered
ukpe1249,2,threatened
iged1239,1,not endangered
yace1238,1,not endangered
akpa1238,1,not endangered
tika1246,1,not endangered
famm1241,3,shifting
busu1244,6,extinct
bish1246,6,extinct
buru1299,2,threatened
ikor1238,3,shifting
bape1239,6,extinct
bedi1235,3,shifting
cent2018,1,not endangered
nige1253,1,not endangered
bala1301,2,threatened
bala1302,2,threatened
kasa1248,5,nearly extinct
kobi1241,3,shifting
gube1234,3,shifting
bain1261,3,shifting
bain1259,2,threatened
anma1239,3,shifting
west2441,3,shifting
alya1239,2,threatened
guya1249,6,extinct
adny1235,3,shifting
bang1339,6,extinct
naru1238,4,moribund
kaur1267,6,extinct
nauo1235,6,extinct
nugu1241,6,extinct
ngad1257,6,extinct
ngar1296,6,extinct
nyam1271,5,nearly extinct
nija1241,4,moribund
mart1255,6,extinct
tjur1240,6,extinct
thii1234,6,extinct
djiw1241,6,extinct
wari1262,6,extinct
dhar1247,6,extinct
dhal1245,5,nearly extinct
burd1238,6,extinct
guwa1243,6,extinct
kung1258,6,extinct
wadj1255,6,extinct
mand1417,6,extinct
gung1248,6,extinct
biri1256,6,extinct
gang1268,6,extinct
giya1234,6,extinct
gudj1237,6,extinct
narr1259,6,extinct
lowe1403,6,extinct
nort2756,6,extinct
yuuy1234,6,extinct
cola1237,6,extinct
bung1264,6,extinct
warr1257,6,extinct
pall1243,6,extinct
dhud1236,6,extinct
yabu1234,6,extinct
waka1274,5,nearly extinct
wuli1242,6,extinct
kabi1260,6,extinct
gure1255,6,extinct
nort2760,6,extinct
sout2771,6,extinct
sout2770,6,extinct
yawa1258,6,extinct
yand1253,6,extinct
pirl1238,6,extinct
punt1240,6,extinct
wong1246,6,extinct
areb1238,6,extinct
gurd1238,6,extinct
dang1262,6,extinct
jirj1239,6,extinct
koko1272,6,extinct
gugu1254,4,moribund
wunu1234,6,extinct
mayi1235,6,extinct
mayi1236,6,extinct
mayi1234,6,extinct
wuth1237,6,extinct
yupu1235,6,extinct
awng1245,6,extinct
ndra1239,6,extinct
umbi1243,6,extinct
ayab1239,6,extinct
kanj1260,6,extinct
kuuk1238,4,moribund
umpi1239,5,nearly extinct
barr1247,6,extinct
flin1247,6,extinct
wika1238,4,moribund
wikn1245,3,shifting
mudb1240,5,nearly extinct
ngar1288,4,moribund
jaru1254,3,shifting
walm1241,3,shifting
pini1248,6,extinct
tjup1235,5,nearly extinct
pint1250,3,shifting
wanm1242,4,moribund
mart1256,3,shifting
wapi1253,2,threatened
ator1244,4,moribund
sheb1234,6,extinct
gari1256,1,not endangered
isla1278,6,extinct
kust1238,6,extinct
enaw1238,3,shifting
pare1272,3,shifting
guar1294,6,extinct
tari1256,5,nearly extinct
mand1448,6,extinct
ware1255,4,moribund
acha1250,3,shifting
piap1246,3,shifting
igna1246,3,shifting
trin1274,3,shifting
mach1268,3,shifting
paca1247,6,extinct
inap1243,5,nearly extinct
cara1273,6,extinct
sahu1245,1,not endangered
waio1238,2,threatened
kaoo1238,3,shifting
pagu1249,3,shifting
arva1236,2,threatened
arbe1236,2,threatened
lepo1240,6,extinct
cisa1237,6,extinct
sabi1245,6,extinct
oldl1238,6,extinct
bela1254,2,threatened
oldr1238,6,extinct
russ1263,1,not endangered
samo1265,1,not endangered
east2282,1,not endangered
zemg1234,6,extinct
myce1241,6,extinct
tsak1248,4,moribund
anci1249,6,extinct
kamv1242,3,shifting
treg1243,3,shifting
waig1243,3,shifting
gawa1247,2,threatened
para1299,3,shifting
ormu1247,3,shifting
oldp1254,6,extinct
ishk1246,3,shifting
sang1344,4,moribund
wane1241,1,not endangered
wakh1245,2,threatened
inga1252,3,shifting
cata1288,6,extinct
nort2979,2,threatened
