call_sign,facility_id,service,licensee,status,details
KSRS,62158,FM,SOUTHERN OREGON UNIVERSITY,LICENSED,Click for Details
KSRZ,50308,FM,"SM-KSRZ-FM, LLC",LICENSED,Click for Details
KSSC,33567,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KSSD,35139,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KSSE,35113,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KSSK-FM,48775,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KSSN,61363,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KSSX,67664,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KSTK,73924,FM,"COASTALASKA, INC.",LICENSED,Click for Details
KSTP-FM,35642,FM,"KSTP-FM FCC LICENSE SUB, LLC",LICENSED,Click for Details
KSTZ,58541,FM,"SAGA COMMUNICATIONS OF IOWA, LLC",LICENSED,Click for Details
KSUI,66626,FM,THE UNIVERSITY OF IOWA,LICENSED,Click for Details
KSUT,35816,FM,"KUTE, INC.",LICENSED,Click for Details
KSUW,82438,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KSWD,20356,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KSWW,60544,FM,"JODESHA BROADCASTING, INC.",LICENSED,Click for Details
KSXY,43711,FM,B.C. Radio LLC,LICENSED,Click for Details
KSYD,59341,FM,LANE COUNTY SCHOOL DISTRICT NO. 4J,LICENSED,Click for Details
KSYN,73244,FM,"ZIMMER RADIO, INC.",LICENSED,Click for Details
KSZR,39734,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KTAR-FM,65479,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KTBG,9928,FM,"PUBLIC TELEVISION 19, INC.",LICENSED,Click for Details
KTBT,33727,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTBZ-FM,18516,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTCK-FM,26468,FM,RADIO LICENSE HOLDINGS LLC,LICENSED,Click for Details
KTCL,68684,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTCZ-FM,10142,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTDD,3915,FM,W247 BROADCASTING LLC,LICENSED,Click for Details
KTDY,12674,FM,"TOWNSQUARE MEDIA OF LAFAYETTE, LLC",LICENSED,Click for Details
KTEG,53652,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTEP,69342,FM,UNIVERSITY OF TEXAS AT EL PASO,LICENSED,Click for Details
KTEX,64631,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTFM,2543,FM,Alpha Media Licensee LLC,LICENSED,Click for Details
KTFS-FM,33541,FM,"TEXARKANA RADIO CENTER LICENSES, LLC",LICENSED,Click for Details
KTGX,68294,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTHR,53600,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTHT,65308,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KTIS-FM,49787,FM,UNIVERSITY OF NORTHWESTERN-ST. PAUL,LICENSED,Click for Details
KTKX,70357,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KTLF,18796,FM,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.",LICENSED,Click for Details
KTLK-FM,13793,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTMX,9935,FM,NEBRASKA RURAL RADIO ASSOCIATION,LICENSED,Click for Details
KTMY,60641,FM,"KTMY-FM, LLC",LICENSED,Click for Details
KTNA,64555,FM,"TALKEETNA COMMUNITY RADIO, INC.",LICENSED,Click for Details
KTNE-FM,47961,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KTOH,43732,FM,"HOCHMAN HAWAII ONE, INC.",LICENSED,Click for Details
KTOM-FM,40145,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTOO,8650,FM,KTOO PUBLIC MEDIA,LICENSED,Click for Details
KTOT,92623,FM,"KANZA SOCIETY, INC.",LICENSED,Click for Details
KTQX,54494,FM,"RADIO BILINGUE, INC.",LICENSED,Click for Details
KTRM,82440,FM,TRUMAN STATE UNIVERSITY,LICENSED,Click for Details
KTRR,50375,FM,"TOWNSQUARE MEDIA OF FT. COLLINS, INC.",LICENSED,Click for Details
KTSD-FM,58326,FM,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED. TELECOMMUNICATIONS,LICENSED,Click for Details
KTSM-FM,67762,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KTSO,35976,FM,"KXOJ, INC.",LICENSED,Click for Details
KTSU,65336,FM,TEXAS SOUTHERN UNIVERSITY,LICENSED,Click for Details
KTTU-FM,54684,FM,"RAMAR COMMUNICATIONS, INC.",LICENSED,Click for Details
KTTZ-FM,65354,FM,TEXAS TECH UNIVERSITY,LICENSED,Click for Details
KTUP,184143,FM,MANO A MANO FAMILY CENTER,LICENSED,Click for Details
KTWV,25437,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KTXP,90579,FM,"KANZA SOCIETY, INC.",LICENSED AND SILENT,Click for Details
KTYK,29916,FM,"BD SUPERVISORS, LOUISIANA STATE UNIVERSITY AND A&M COLLEGE",LICENSED,Click for Details
KUAC,85347,FM,UNIVERSITY OF ALASKA,LICENSED,Click for Details
KUAD-FM,49538,FM,"TOWNSQUARE MEDIA OF FORT COLLINS, INC.",LICENSED,Click for Details
KUAF,4307,FM,BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS,LICENSED,Click for Details
KUAP,6113,FM,BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS,LICENSED,Click for Details
KUAR,4296,FM,BOARD OF TRUSTEES OF THE UNIVERSITY OF ARKANSAS,LICENSED,Click for Details
KUAT-FM,2732,FM,ARIZONA BOARD OF REGENTS FOR BENEFIT OF UNIVERSITY OF ARIZ.,LICENSED,Click for Details
KUAZ-FM,3383,FM,ARIZONA BOARD OF REGENTS FOR BENEFIT OF UNIVERSITY OF ARIZ.,LICENSED,Click for Details
KUCB,171909,FM,"UNALASKA COMMUNITY BROADCASTING, INC.",LICENSED,Click for Details
KUCD,48778,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KUCO,66632,FM,THE UNIVERSITY OF CENTRAL OKLAHOMA,LICENSED,Click for Details
KUCV,47966,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KUDD,59034,FM,"BROADWAY MEDIA LS, LLC",LICENSED,Click for Details
KUDL,57889,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KUER-FM,69171,FM,UNIVERSITY OF UTAH,LICENSED,Click for Details
KUFM,69239,FM,THE UNIVERSITY OF MONTANA,LICENSED,Click for Details
KUFX,65415,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KUHB-FM,53494,FM,PRIBILOF SCHOOL DISTRICT BOARD OF EDUCATION,LICENSED,Click for Details
KUHF,69150,FM,UNIVERSITY OF HOUSTON SYSTEM,LICENSED,Click for Details
KUHU,172928,FM,UNIVERSITY OF UTAH,LICENSED,Click for Details
KUKN,38378,FM,"WASHINGTON INTERSTATE BROADCASTING, INC.",LICENSED,Click for Details
KUNC,68219,FM,COMMUNITY RADIO FOR NORTHERN COLORADO,LICENSED,Click for Details
KUND-FM,69127,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KUNI,69158,FM,UNIVERSITY OF NORTHERN IOWA,LICENSED,Click for Details
KUNM,6083,FM,REGENTS OF THE UNIVERSITY OF NEW MEXICO,LICENSED,Click for Details
KUOP,69157,FM,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",LICENSED,Click for Details
KUOR-FM,69217,FM,UNIVERSITY OF REDLANDS,LICENSED,Click for Details
KUOU,173223,FM,UNIVERSITY OF UTAH,LICENSED,Click for Details
KUOW-FM,66571,FM,THE UNIVERSITY OF WASHINGTON,LICENSED,Click for Details
KUPD,65166,FM,"PHOENIX FCC LICENSE SUB, LLC",LICENSED,Click for Details
KUSC,69318,FM,UNIVERSITY OF SOUTHERN CALIFORNIA,LICENSED,Click for Details
KUSD,58426,FM,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED. TELECOMMUNICATIONS,LICENSED,Click for Details
KUSL,173336,FM,UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE,LICENSED,Click for Details
KUSR,85356,FM,UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE,LICENSED,Click for Details
KUST,176250,FM,UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE,LICENSED,Click for Details
KUSU-FM,69597,FM,UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE,LICENSED,Click for Details
KUSW,124178,FM,"KUTE, INC.",LICENSED,Click for Details
KUT,66573,FM,THE UNIVERSITY OF TEXAS AT AUSTIN,LICENSED,Click for Details
KUTC,65377,FM,SANPETE COUNTY BROADCASTING COMPANY,LICENSED,Click for Details
KUTE,82446,FM,"KUTE, INC.",LICENSED,Click for Details
KUTX,59982,FM,THE UNIVERSITY OF TEXAS AT AUSTIN,LICENSED,Click for Details
KUUT,91346,FM,"KUTE, INC.",LICENSED,Click for Details
KUUU,37876,FM,"BROADWAY MEDIA LS, LLC",LICENSED,Click for Details
KUVO,16687,FM,"ROCKY MOUNTAIN PUBLIC MEDIA, INC.",LICENSED,Click for Details
KUWA,83869,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWC,82539,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWD,92621,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWG,82478,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWJ,69061,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWN,83868,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWP,92308,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWR,69131,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWS,4289,FM,"BOARD OF REGENTS, UNIVERSITY OF WISCONSIN SYSTEM",LICENSED,Click for Details
KUWT,92816,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWX,92820,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUWZ,69285,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KUXU,173050,FM,UNIVERSITY OF UTAH,LICENSED,Click for Details
KVBH,67064,FM,TICHENOR LICENSE CORPORATION,LICENSED,Click for Details
KVDT,58265,FM,"VCY AMERICA, INC.",LICENSED,Click for Details
KVDU,34528,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KVET-FM,62048,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KVGS,57281,FM,"BEASLEY MEDIA GROUP LICENSES, LLC",LICENSED,Click for Details
KVIL,28624,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KVIX,91468,FM,PACIFIC PUBLIC MEDIA,LICENSED,Click for Details
KVLA-FM,85911,FM,SOUTHERN CALIFORNIA PUBLIC RADIO,LICENSED,Click for Details
KVLK,122812,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED AND SILENT,Click for Details
KVLR,19223,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KVLU,36456,FM,LAMAR UNIVERSITY,LICENSED,Click for Details
KVLY,67188,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KVMR,48338,FM,NEVADA CITY COMMUNITY BROADCAST GRUP,LICENSED,Click for Details
KVNO,69395,FM,THE BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,LICENSED,Click for Details
KVOK-FM,12186,FM,"KODIAK ISLAND BROADCASTING COMPANY, INC.",LICENSED,Click for Details
KVOO-FM,68330,FM,"GRIFFIN LICENSING, L.L.C.",LICENSED,Click for Details
KVPR,72188,FM,"WHITE ASH BROADCASTING, INC.",LICENSED,Click for Details
KVQI,89878,FM,"PUBLIC BROADCASTING OF COLORADO, INC.",LICENSED,Click for Details
KVRD-FM,35865,FM,YAVAPAI BROADCASTING CORPORATION,LICENSED,Click for Details
KVRT,61176,FM,"SOUTH TEXAS PUBLIC BROADCASTING SYSTEM, INC.",LICENSED,Click for Details
KVRX,66607,FM,THE UNIVERSITY OF TEXAS AT AUSTIN,LICENSED,Click for Details
KVSC,62112,FM,ST. CLOUD STATE UNIVERSITY,LICENSED,Click for Details
KVUD,91535,FM,Hope Media Group,LICENSED,Click for Details
KVUU,35868,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KVVA-FM,1331,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KVVF,19532,FM,"UNIVISION RADIO STATIONS GROUP, INC.",LICENSED,Click for Details
KVWE,39892,FM,ALPHA MEDIA LICENSEE LLC,LICENSED,Click for Details
KWAV,7714,FM,"SMG-MONTEREY, LLC",LICENSED,Click for Details
KWAX,62413,FM,UNIVERSITY OF OREGON,LICENSED,Click for Details
KWBL,29739,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KWBT,33975,FM,"KENNELWOOD RADIO, LLC",LICENSED,Click for Details
KWBU-FM,4124,FM,BRAZOS VALLEY PUBLIC BROADCASTING FOUNDATION,LICENSED,Click for Details
KWCO-FM,6750,FM,"MOLLMAN MEDIA, INC,",LICENSED,Click for Details
KWDR,166057,FM,"JACOBS RADIO PROGRAMMING, LLC",LICENSED,Click for Details
KWEN,48722,FM,"COX RADIO, LLC",LICENSED,Click for Details
KWFC,3681,FM,"RADIO TRAINING NETWORK, INC",LICENSED,Click for Details
KWFN,30832,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KWGS,66586,FM,THE UNIVERSITY OF TULSA,LICENSED,Click for Details
KWIN,60425,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KWIT,71839,FM,WESTERN IOWA TECH COMMUNITY COLLEGE,LICENSED,Click for Details
KWJJ-FM,13738,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KWMU,65585,FM,THE CURATORS OF THE UNIVERSITY OF MISSOURI,LICENSED,Click for Details
KWND,51636,FM,"RADIO TRAINING NETWORK, INC.",LICENSED,Click for Details
KWNN,60427,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KWNR,61527,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KWPR,90472,FM,NEVADA PUBLIC RADIO,LICENSED,Click for Details
KWPZ,14506,FM,CRISTA MINISTRIES,LICENSED,Click for Details
KWRZ,59346,FM,"BROOKE COMMUNICATIONS, INC.",LICENSED,Click for Details
KWSO,13582,FM,CONFEDERATED TRIBES WARM SPRINGS RESERVATION,LICENSED,Click for Details
KWTO-FM,63339,FM,"ZIMMER MIDWEST COMMUNICATIONS, INC.",LICENSED,Click for Details
KWTU,81517,FM,THE UNIVERSITY OF TULSA,LICENSED,Click for Details
KWUP,40913,FM,Hope Media Group,LICENSED,Click for Details
KWWS,71044,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KWWV,25960,FM,DIMES MEDIA CORPORATION,LICENSED,Click for Details
KWYE,18406,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
KXBG,7693,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KXBL,68331,FM,"GRIFFIN LICENSING, L.L.C.",LICENSED,Click for Details
KXBS,4948,FM,"GATEWAY CREATIVE BROADCASTING, INC.",LICENSED,Click for Details
KXCI,22167,FM,"FOUNDATION FOR CREATIVE BROADCASTING, INC.",LICENSED,Click for Details
KXCV,49746,FM,NORTHWEST MISSOURI STATE UNIV.,LICENSED,Click for Details
KXDG,17125,FM,"ZIMMER RADIO, INC.",LICENSED,Click for Details
KXFG,63912,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KXGM,85165,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KXJM,12551,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KXJZ,8336,FM,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",LICENSED,Click for Details
KXKL-FM,59959,FM,"KSE RADIO VENTURES, LLC",LICENSED,Click for Details
KXKT,69686,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KXLL,31000,FM,KTOO PUBLIC MEDIA,LICENSED,Click for Details
KXNE-FM,47967,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KXNO-FM,69635,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KXPR,8358,FM,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO",LICENSED,Click for Details
KXQQ-FM,12560,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KXRK,406,FM,"BROADWAY MEDIA LS, LLC",LICENSED,Click for Details
KXSC,54478,FM,UNIVERSITY OF SOUTHERN CALIFORNIA,LICENSED,Click for Details
KXSE,53653,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KXSN,34589,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KXTA-FM,28218,FM,"LEE FAMILY BROADCASTING, INC.",LICENSED,Click for Details
KXTE,2100,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KXXM,28668,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KXXR,35506,FM,RADIO LICENSE HOLDINGS LLC,LICENSED,Click for Details
KYCH-FM,35034,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KYGO-FM,30829,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KYIS,8798,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
KYJK,162326,FM,"MISSOULA BROADCASTING COMPANY, LLC",LICENSED,Click for Details
KYKL,92062,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KYKY,20358,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KYLA,9304,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KYLD,59989,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KYMT,6893,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KYMX,72116,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KYOT,18648,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KYPB,174918,FM,MONTANA STATE UNIVERSITY - BILLINGS,LICENSED,Click for Details
KYPM,172578,FM,MONTANA STATE UNIVERSITY - BILLINGS,LICENSED,Click for Details
KYPW,172712,FM,MONTANA STATE UNIVERSITY - BILLINGS,LICENSED,Click for Details
KYPZ,164087,FM,MONTANA STATE UNIVERSITY - BILLINGS,LICENSED,Click for Details
KYRA,21689,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
KYRV,11273,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KYSD,174496,FM,SOUTH DAKOTA BOARD OF DIRECTORS FOR EDUCATIONAL TELECOMMUNIC,LICENSED,Click for Details
KYSL,35577,FM,"KRYSTAL BROADCASTING, INCORPORATED",LICENSED,Click for Details
KYSR,36019,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KYUN,164129,FM,"ILIAD MEDIA TWIN FALLS, LLC",LICENSED,Click for Details
KYXY,51671,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KZAN,92646,FM,"KANZA SOCIETY, INC.",LICENSED,Click for Details
KZAZ,49599,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
KZBG,83397,FM,"NELLY BROADCASTING, LLC",LICENSED,Click for Details
KZCH,53599,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KZEL-FM,49822,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
KZEP-FM,65329,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KZGL,165966,FM,"MURPHY AIR, LLC",LICENSED,Click for Details
KZHT,63820,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KZIA,35556,FM,"KZIA, INC.",LICENSED,Click for Details
KZJK,54425,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KZLZ,36022,FM,"Bustos Media Holdings, LLC",LICENSED,Click for Details
KZMG,164141,FM,"ILIAD MEDIA BOISE, LLC",LICENSED,Click for Details
KZMJ,6386,FM,"RADIO ONE LICENSES, LLC",LICENSED,Click for Details
KZMU,43314,FM,"MOAB PUBLIC RADIO, INC.",LICENSED,Click for Details
KZNA,33383,FM,"KANZA SOCIETY, INC.",LICENSED,Click for Details
KZOK-FM,20357,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KZON,54944,FM,"RIVIERA BROADCASTING, LLC",LICENSED,Click for Details
KZPS,6378,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KZPT,6379,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KZRR,68609,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KZSE,42965,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KZSN,61364,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KZTH,83880,FM,"THE LOVE STATION, INC.",LICENSED,Click for Details
KZTM,33829,FM,"BUSTOS MEDIA HOLDINGS, LLC",LICENSED,Click for Details
KZUM,63955,FM,"SUNRISE COMMUNICATIONS, INC.",LICENSED,Click for Details
KZWY,38627,FM,"LOVCOM, INC.",LICENSED,Click for Details
KZYR,57335,FM,"KNS Broadcasting, LLC",LICENSED,Click for Details
KZZO,65481,FM,BONNEVILLE INTERNATIONAL CORPORATION,LICENSED,Click for Details
KZZP,47742,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WABE,3538,FM,BOARD OF EDUCATION OF THE CITY OF ATLANTA,LICENSED,Click for Details
WABR,23925,FM,GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
WACG-FM,23922,FM,GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
WAEB-FM,14372,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WAER,64354,FM,SYRACUSE UNIVERSITY,LICENSED,Click for Details
WAFJ,54859,FM,"RADIO TRAINING NETWORK, INC.",LICENSED,Click for Details
WAFX,67082,FM,"TIDEWATER COMMUNICATIONS, LLC",LICENSED,Click for Details
WAIO,24958,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WAJI,59132,FM,"SARKES TARZIAN, INC.",LICENSED,Click for Details
WAKL,48727,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
WAKS,49952,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WAKY-FM,70495,FM,"W & B BROADCASTING CO., INC.",LICENSED,Click for Details
WAKZ,74468,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WALC,72377,FM,"RADIO TRAINING NETWORK, INC.",LICENSED,Click for Details
WALK-FM,10137,FM,"CONNOISSEUR MEDIA LICENSES, LLC",LICENSED,Click for Details
WALR-FM,48728,FM,"COX RADIO, LLC",LICENSED,Click for Details
WALV-FM,66956,FM,"Brewer Media Group, LLC",LICENSED,Click for Details
WALX,950,FM,"SCOTT COMMUNICATIONS, INC.",LICENSED,Click for Details
WAMC-FM,70849,FM,WAMC,LICENSED,Click for Details
WAMJ,31872,FM,"RADIO ONE LICENSES, LLC",LICENSED,Click for Details
WAMK,70502,FM,WAMC,LICENSED,Click for Details
WAMQ,70847,FM,WAMC,LICENSED,Click for Details
WAMU,65399,FM,BOARD OF TRUSTEES OF AMERICAN UNIVERSITY,LICENSED,Click for Details
WAMZ,11921,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WANC,70842,FM,WAMC,LICENSED,Click for Details
WANZ,176616,FM,WAMC,LICENSED,Click for Details
WAPE-FM,70863,FM,"COX RADIO, LLC",LICENSED,Click for Details
WAPS,6051,FM,"BOARD OF EDUCATION, AKRON CITY SCHOOL DISTRICT",LICENSED,Click for Details
WAQY,58551,FM,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",LICENSED,Click for Details
WARH,74577,FM,"ST. LOUIS FCC LICENSE SUB, LLC",LICENSED,Click for Details
WARM-FM,73980,FM,RADIO LICENSE HOLDING SRC LLC,LICENSED,Click for Details
WARQ,58400,FM,Alpha Media Licensee LLC,LICENSED,Click for Details
WARW,10659,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
WASH,70933,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WAVA-FM,4644,FM,SALEM COMMUNICATIONS HOLDING CORPORATION,LICENSED,Click for Details
WAVD,53490,FM,"FM RADIO LICENSES, LLC",LICENSED,Click for Details
WAVV,1154,FM,ALPINE BROADCASTING CORPORATION,LICENSED,Click for Details
WAVW,14376,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WAWY,3135,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
WAWZ,52601,FM,PILLAR OF FIRE,LICENSED,Click for Details
WAXQ,23004,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WBAA-FM,53947,FM,Purdue University,LICENSED,Click for Details
WBAB,71199,FM,"CMG NY/Texas Radio, LLC",LICENSED,Click for Details
WBAV-FM,6587,FM,"BEASLEY MEDIA GROUP LICENSES, LLC",LICENSED,Click for Details
WBBG,73309,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WBBM-FM,9613,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
WBBQ-FM,59249,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WBBS,48730,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WBCL,64658,FM,"TAYLOR UNIVERSITY BROADCASTING, INC.",LICENSED,Click for Details
WBCT,73606,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WBCX,6706,FM,BRENAU COLLEGE,LICENSED,Click for Details
WBDC,17623,FM,"DUBOIS COUNTY BROADCASTING, INC.",LICENSED,Click for Details
WBEB,71382,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
WBEE-FM,71206,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
WBEN-FM,22308,FM,"BEASLEY MEDIA GROUP LICENSES, LLC",LICENSED,Click for Details
WBEQ,92544,FM,CHICAGO PUBLIC MEDIA INC,LICENSED,Click for Details
WBEW,3248,FM,CHICAGO PUBLIC MEDIA INC,LICENSED,Click for Details
WBEY-FM,27438,FM,"GSB MEDIA, LLC",LICENSED,Click for Details
WBEZ,66649,FM,CHICAGO PUBLIC MEDIA INC,LICENSED,Click for Details
WBFO,63113,FM,WESTERN NEW YORK PUBLIC BROADCASTING ASSOCIATION,LICENSED,Click for Details
WBFX,51727,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WBGB,9639,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
WBGG-FM,11965,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WBGO,48699,FM,NEWARK PUBLIC RADIO INC.,LICENSED,Click for Details
WBHJ,730,FM,"SM-WBHJ, LLC",LICENSED,Click for Details
WBHQ,68760,FM,"FLAGLER BROADCASTING, LLC",LICENSED,Click for Details
WBHU,53672,FM,"FLAGLER BROADCASTING, LLC",LICENSED,Click for Details
WBIG-FM,54459,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WBJB-FM,7116,FM,BROOKDALE COMMUNITY COLLEGE,LICENSED,Click for Details
WBJC,3654,FM,BALTIMORE CITY COMMUNITY COLLEGE,LICENSED,Click for Details
WBLI,37235,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
