call_sign,facility_id,service,licensee,status,details
KCMP,62162,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KCMS,14505,FM,CRISTA MINISTRIES,LICENSED,Click for Details
KCMX-FM,57434,FM,"SMG-MEDFORD, LLC",LICENSED,Click for Details
KCND,53317,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KCNE-FM,47963,FM,NEBRASKA EDUCATIONAL TELECOMMUNICATIONS COMMISSION,LICENSED,Click for Details
KCNV,48348,FM,NEVADA PUBLIC RADIO,LICENSED,Click for Details
KCOL-FM,70443,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KCRB-FM,42970,FM,MINNESOTA PUBLIC RADIO,LICENSED,Click for Details
KCRI,59087,FM,SANTA MONICA COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KCRU,59085,FM,SANTA MONICA COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KCRW,59086,FM,SANTA MONICA COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KCRY,59092,FM,SANTA MONICA COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KCSD,60485,FM,SOUTH DAKOTA BOARD OF DIRECTORS FOR EDUCATIONAL TELECOMMUNIC,LICENSED,Click for Details
KCSM,58913,FM,SAN MATEO COUNTY COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KCSN,62949,FM,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",LICENSED,Click for Details
KCUR-FM,14738,FM,THE CURATORS OF THE UNIVERSITY OF MISSOURI,LICENSED,Click for Details
KCVM,17227,FM,"COLOFF MEDIA, LLC",LICENSED,Click for Details
KCYY,48718,FM,"CMG NY/TEXAS RADIO, LLC",LICENSED,Click for Details
KDAQ,4317,FM,"BD SUPERVISORS, LOUISIANA STATE UNIVERSITY & A&M COLLEGE",LICENSED,Click for Details
KDAY,10100,FM,"MERUELO RADIO HOLDINGS, LLC",LICENSED,Click for Details
KDDG,33463,FM,"CRYSTAL MEDIA GROUP, LLC",LICENSED,Click for Details
KDES-FM,24253,FM,ALPHA MEDIA LICENSEE LLC,LICENSED,Click for Details
KDEY-FM,10099,FM,"MERUELO RADIO HOLDINGS, LLC",LICENSED,Click for Details
KDGE,9620,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDGS,70266,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KDHK,16367,FM,"LA Communications, Inc.",LICENSED,Click for Details
KDHT,48967,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDHX,17380,FM,DOUBLE HELIX CORPORATION,LICENSED,Click for Details
KDIS-FM,47309,FM,SALEM COMMUNICATIONS HOLDING CORPORATION,LICENSED,Click for Details
KDJE,23025,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDKA-FM,20350,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KDKB,41299,FM,"PHOENIX FCC LICENSE SUB, LLC",LICENSED,Click for Details
KDLB,49094,FM,"RADIO FARGO-MOORHEAD, INC.",LICENSED,Click for Details
KDLD,33902,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KDLE,33904,FM,"ENTRAVISION HOLDINGS, LLC",LICENSED,Click for Details
KDLG-FM,171933,FM,DILLINGHAM CITY SCHOOL DISTRICT,LICENSED,Click for Details
KDLL,52538,FM,"PICKLE HILL PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KDMX,47739,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDNN,40144,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDON-FM,26930,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDPR,53326,FM,"PRAIRIE PUBLIC BROADCASTING, INC.",LICENSED,Click for Details
KDRB,51332,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDRW,69085,FM,SANTA MONICA COMMUNITY COLLEGE DISTRICT,LICENSED,Click for Details
KDSC,69116,FM,UNIVERSITY OF SOUTHERN CALIFORNIA,LICENSED,Click for Details
KDSD-FM,58324,FM,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED. TELECOMMUNICATIONS,LICENSED,Click for Details
KDSU,49213,FM,NORTH DAKOTA STATE UNIVERSITY,LICENSED,Click for Details
KDTR,162324,FM,"MISSOULA BROADCASTING COMPANY, LLC",LICENSED,Click for Details
KDUR,22087,FM,BOARD OF TRUSTEES FOR FORT LEWIS COLLEGE,LICENSED,Click for Details
KDUW,92622,FM,UNIVERSITY OF WYOMING,LICENSED,Click for Details
KDWB-FM,41967,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KDXT,166089,FM,"WESTERN ROCKIES RADIO, INC.",LICENSED,Click for Details
KDXX,57376,FM,"UNIVISION RADIO SAN FRANCISCO, INC.",LICENSED,Click for Details
KDXY,53472,FM,"SAGA COMMUNICATIONS OF ARKANSAS, LLC",LICENSED,Click for Details
KEDM,49406,FM,UNIVERSITY OF LOUISIANA AT MONROE,LICENSED,Click for Details
KEDT-FM,61172,FM,"SOUTH TEXAS PUBLIC BROADCASTING SYSTEM, INC.",LICENSED,Click for Details
KEEY-FM,59967,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KEGL,18114,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KEKS,166016,FM,"MY TOWN MEDIA, INC.",LICENSED,Click for Details
KEMC,43571,FM,MONTANA STATE UNIVERSITY - BILLINGS,LICENSED,Click for Details
KEOM,41307,FM,MESQUITE INDEPENDENT SCHOOL DISTRICT,LICENSED,Click for Details
KEPC,52595,FM,PIKES PEAK COMMUNITY COLLEGE,LICENSED,Click for Details
KESC,58653,FM,UNIVERSITY OF SOUTHERN CALIFORNIA,LICENSED,Click for Details
KESS,21599,FM,TICHENOR LICENSE CORPORATION,LICENSED,Click for Details
KESZ,40992,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
KETR,18260,FM,TEXAS A&M UNIVERSITY - COMMERCE,LICENSED,Click for Details
KEXP-FM,68668,FM,FRIENDS OF KEXP,LICENSED,Click for Details
KEYN-FM,53151,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KEZK-FM,13507,FM,"AUDACY LICENSE, LLC",LICENSED,Click for Details
KEZO-FM,74105,FM,"SM-KEZO-FM, LLC",LICENSED,Click for Details
KFAE-FM,71022,FM,WASHINGTON STATE UNIVERSITY,LICENSED,Click for Details
