subcategory,rank,year,name,restaurant,city
Best Chef New York State,Semifinalist,2024,Shaina Loew-Banayan,Cafe Mutton,"Hudson, New York"
Best Chef New York State,Winner,2024,Charlie Mitchell,Cloverhill,"Brooklyn, New York"
Best Chef New York State,Semifinalist,2024,Ayo Balogun,Dept of Culture,"Brooklyn, New York"
Best New Restaurant,Semifinalist,2024,The Alna Store,"Alna, Maine",NA
Best Chef New York State,Semifinalist,2024,Jj Johnson,FieldTrip,"New York, New York"
Best Chef Midwest,Semifinalist,2024,Chris Hoffmann,Clyde's Fine Diner,"Des Moines, Iowa"
Best Chef New York State,Semifinalist,2024,Telly Justice,HAGS,"New York, New York"
Best Chef New York State,Nominee,2024,Atsushi Kono,Kono,"New York, New York"
Best Chef New York State,Semifinalist,2024,Edward Szymanski,Lord's,"New York, New York"
Best Chef Northeast,Semifinalist,2024,Mary Bruns,Artemisia Cafe,"Portland, Maine"
Best Chef Northeast,Semifinalist,2024,Ian Driscoll,Bar Futo,"Portland, Maine"
Best Chef Northeast,Nominee,2024,Maria Meza,Dolores,"Providence, Rhode Island"
Best Chef Northeast,Semifinalist,2024,Peter Carvelli,Foglia,"Bristol, Rhode Island"
Best Chef Northeast,Semifinalist,2024,Subat Dilmurat,Jahunger,"Providence, Rhode Island"
Best Chef Northeast,Nominee,2024,Jake Stevens,Leeward,"Portland, Maine"
Best Chef Northeast,Semifinalist,2024,Rachel Miller,Nightshade Noodle Bar,"Lynn, Massachusetts"
Best Chef Northeast,Semifinalist,2024,Lee Frank,Otis. Restaurant,"Exeter, New Hampshire"
Outstanding Pastry Chef,Semifinalist,2024,Kristina Costa,Loquat,"San Francisco, California"
Best Chef Northeast,Semifinalist,2024,Cecelia Lizotte,Suya Joint,"Boston, Massachusetts"
Best Chef Northeast,Semifinalist,2024,Valerie Goldman,The Honey Paw,"Portland, Maine"
Best Chef Northeast,Winner,2024,David Standridge,The Shipwright's Daughter,"Mystic, Connecticut"
Best Chef Northwest & Pacific,Nominee,2024,Kristi Brown-Wokoma,Communion,"Seattle, Washington"
Best Chef Northwest & Pacific,Semifinalist,2024,Dan Koommoo,Crafted,"Yakima, Washington"
Best Chef Northwest & Pacific,Semifinalist,2024,Beau Schooler,In Bocca Al Lupo,"Juneau, Alaska"
Best Chef Northwest & Pacific,Winner,2024,Gregory Gourdet,kann,"Portland, Oregon"
Outstanding Pastry Chef,Semifinalist,2024,Joshua Mcintosh,MILKFISH Bakeshop,"Las Vegas, Nevada"
Outstanding Bakery,Nominee,2024,The Burque Bakehouse,"Albuquerque, New Mexico",NA
Outstanding Restaurant,Semifinalist,2024,Bywater,"Warren, Rhode Island",NA
Emerging Chef of the Year,Semifinalist,2024,Rocky Coronado,Nepantla,"Detroit, Michigan"
Outstanding Pastry Chef,Winner,2024,Atsuko Fujimoto,Norimoto Bakery,"Portland, Maine"
Emerging Chef of the Year,Semifinalist,2024,Lawrence Weeks,North of Bourbon,"Louisville, Kentucky"
Best New Restaurant,Nominee,2024,Shan,"Bozeman, Montana",NA
Outstanding Restaurateur,Semifinalist,2024,Nicolas Poilevey,"Obelix, Le Bouchon, Taqueria Chingón","Chicago, Illinois"
Outstanding Restaurateur,Semifinalist,2024,Oliver Poilevey,"Obelix, Le Bouchon, Taqueria Chingón","Chicago, Illinois"
Best Chef California,Nominee,2024,Geoff Davis,Burdell,"Oakland, California"
Best Chef Midwest,Winner,2024,Christina Nguyen,Hai Hai,"Minneapolis, Minnesota"
Best Chef Midwest,Nominee,2024,Ann Ahmed,Khâluna,"Minneapolis, Minnesota"
Outstanding Chef,Semifinalist,2024,Dan Kluger,Loring Place,"New York, New York"
Best Chef California,Semifinalist,2024,C-Y Chia,Lion Dance Café,"Oakland, California"
Best Chef California,Semifinalist,2024,Sam Habibeh,Ammatolií,"Long Beach, California"
Best Chef California,Nominee,2024,Tara Monsod,Animae,"San Diego, California"
Best Chef California,Semifinalist,2024,Sayat Ozyilmaz,Dalida,"San Francisco, California"
Best Chef California,Semifinalist,2024,Laura Ozyilmaz,Dalida,"San Francisco, California"
Best Chef California,Semifinalist,2024,Elvia Garcia,Evil Cooks,"Los Angeles, California"
Outstanding Chef,Nominee,2024,Sarah Minnick,Lovely's Fifty,"Portland, Oregon"
Best Chef California,Semifinalist,2024,Buu “Billy” Ngo,Kru,"Sacramento, California"
Best Chef California,Winner,2024,Lord Maynard Llera,Kuya Lord,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Michael Procaccini,La Parolaccia,"Long Beach, California"
Best Chef California,Semifinalist,2024,Alisa Reynolds,My 2 Cents,"Los Angeles, California"
Outstanding Restaurateur,Semifinalist,2024,Robert LeBlanc,"LeBlanc + Smith (Sylvain, The Chloe, The Will & The Way and others)","New Orleans, Louisiana"
Outstanding Pastry Chef,Semifinalist,2024,Eunji Lee,Lysée,"New York, New York"
Best Chef California,Semifinalist,2024,Christian Yang,Yang's Kitchen,"Alhambra, California"
Best Chef Great Lakes,Semifinalist,2024,Erik Bentz,Cafe Mochiko,"Cincinatti, Ohio"
Outstanding Chef,Nominee,2024,David Uygur,Lucia,"Dallas, Texas"
Best Chef Great Lakes,Semifinalist,2024,Daniel Klenotic,Bellflower,"Ypsilanti, Michigan"
Best Chef Great Lakes,Semifinalist,2024,Joseph Fontelera,Boonie's Filipino Restaurant,"Chicago, Illinois"
Best Chef Great Lakes,Semifinalist,2024,Salvador Fernandez,Bridges Craft Pizza & Wine Bar,"Greencastle, Indiana"
Outstanding Wine & Other Beverages Program,Semifinalist,2024,Bufalina,"Austin, Texas",NA
Emerging Chef of the Year,Semifinalist,2024,Bryce Stevenson,Miijim,"La Pointe, Wisconsin"
Best New Restaurant,Semifinalist,2024,Sắp Sửa,"Denver, Colorado",NA
Best Chef Great Lakes,Nominee,2024,Sujan Sarkar,Indienne,"Chicago, Illinois"
Outstanding Bakery,Semifinalist,2024,Make My Cake,"New York, New York",NA
Best Chef Great Lakes,Semifinalist,2024,Diana Dávila Boldin,Mi Tocaya Antojeria,"Chicago, Illinois"
Best Chef Great Lakes,Nominee,2024,Jose Salazar,Mita’s,"Cincinatti, Ohio"
Best Chef Great Lakes,Semifinalist,2024,Jeffery Harris,Nolia Kitchen,"Cincinatti, Ohio"
Best Chef Mid-Atlantic,Semifinalist,2024,Kate Lasky,Apteka,"Pittsburgh, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,Omar Tate,Honeysuckle Provisions,"Philadelphia, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,Najmieh Batmanglij,Joon,"Vienna, Virginia"
Best Chef Mid-Atlantic,Semifinalist,2024,Christopher Morgan,Joon,"Vienna, Virginia"
Outstanding Bakery,Semifinalist,2024,Koffeteria,"Houston, Texas",NA
Best Chef Mid-Atlantic,Winner,2024,Harley Peet,Bas Rouge,"Easton, Maryland"
Emerging Chef of the Year,Semifinalist,2024,Kenneth Wan,MAKfam,"Denver, Colorado"
Best Chef Mid-Atlantic,Semifinalist,2024,Amy Brandwein,Centrolina,"Washington, District of Columbia"
Outstanding Restaurateur,Semifinalist,2024,Laile Fairbairn,"Locally Grown Restaurants (Snow City Cafe, South Restaurant + Coffeehouse, and Spenard Roadhouse)","Anchorage, Alaska"
Best Chef Mid-Atlantic,Semifinalist,2024,Nur-E Gulshan Rahman,Korai Kitchen,"Jersey City, New Jersey"
Best Chef Mid-Atlantic,Nominee,2024,Matthew Kern,One Coastal,"Fenwick Island, Delaware"
Best Chef Mid-Atlantic,Semifinalist,2024,Mona Tongdee,Pusadee’s Garden,"Pittsburgh, Pennsylvania"
Best Chef Mid-Atlantic,Semifinalist,2024,Yuan Tang,Rooster & Owl,"Washington, District of Columbia"
Best Chef Mid-Atlantic,Nominee,2024,Jesse Ito,Royal Sushi & Izakaya,"Philadelphia, Pennsylvania"
Best Chef Midwest,Semifinalist,2024,Heath Stocks,Anima Cucina,"Bismarck, North Dakota"
Best Chef Midwest,Nominee,2024,Dan Jacobs,EsterEv,"Milwaukee, Wisconsin"
Best Chef Midwest,Semifinalist,2024,Kyle Knall,Birch,"Milwaukee, Wisconsin"
Best Chef Midwest,Nominee,2024,Rob Connoley,Bulrush,"St. Louis, Missouri"
Outstanding Wine & Other Beverages Program,Semifinalist,2024,Middle Brow ,"Chicago, Illinois",NA
Best Chef Midwest,Semifinalist,2024,Lisa Jean Carlson,Chef Shack Bay City,"Bay City, Wisconsin"
Best Chef Midwest,Semifinalist,2024,Sanaa Abourezk,Sanaa's Gourmet Mediterranean,"Sioux Falls, South Dakota"
Best Chef Midwest,Nominee,2024,Tim Nicholson,The Boiler Room,"Omaha, Nebraska"
Best Chef Midwest,Semifinalist,2024,Romain Monnoyeur,Westport Cafe and Bar,"Kansas City, Missouri"
Best Chef Mountain,Semifinalist,2024,Salvador Alamilla,Amano,"Caldwell, Idaho"
Best Chef Mountain,Semifinalist,2024,Charley Graham,Little Star Diner,"Bozeman, Montana"
Best Chef Mountain,Semifinalist,2024,Robb Jones,Log Haven,"Salt Lake City, Utah"
Best Chef Mountain,Semifinalist,2024,Diego Coconati,Lucina Eatery & Bar,"Denver, Colorado"
Best Chef Mountain,Semifinalist,2024,Theo Adley,Marigold,"Lyons, Colorado"
Outstanding Pastry Chef,Semifinalist,2024,Kimberly Mcintosh,MILKFISH Bakeshop,"Las Vegas, Nevada"
Best Chef Mountain,Semifinalist,2024,Lee Johnson,MontAsia,"Fishtail, Montana"
Best Chef Mountain,Nominee,2024,Brandon Cunningham,Social Haus ,"Greenough, Montana"
Best Chef Mountain,Semifinalist,2024,Benjamin Barlow,Stanley Supper Club,"Stanley, Idaho"
Best New Restaurant,Semifinalist,2024,Sado,"Louis, Missouri",NA
Best Chef Northwest & Pacific,Semifinalist,2024,Jason Peel,Nami Kaze,"Honolulu, Hawaii"
Best Chef Northwest & Pacific,Semifinalist,2024,Jason Peel,Nami Kaze,"Honolulu, Hawaii"
Best Chef Northwest & Pacific,Semifinalist,2024,Nae Ogawa,natuRe Waikiki,"Honolulu, Hawaii"
Best Chef Northwest & Pacific,Semifinalist,2024,Matthew Lightner,okta,"McMinnville, Oregon"
Best Chef Northwest & Pacific,Semifinalist,2024,Andrew Le,The Pig and the Lady,"Honolulu, Hawaii"
Best Chef Northwest & Pacific,Semifinalist,2024,Sheldon Simeon,Tiffany’s,"Wailuku, Hawaii"
Best Chef Midwest,Winner,2024,Christina Nguyen,Hai Hai,"Minneapolis, Minnesota"
Best Chef South,Semifinalist,2024,Matthew Cooper,Conifer,"Bentonville, Arkansas"
Best Chef South,Nominee,2024,Hunter Evans,Elvie's,"Jackson, Mississippi"
Best Chef South,Semifinalist,2024,Henry Moso,Kabooki Sushi,"Orlando, Florida"
Best Chef South,Semifinalist,2024,Jennifer Berdin,Kadence,"Orlando, Florida"
Best Chef South,Semifinalist,2024,Ruben Guzman,Leña Eh Food Truck,"San Juan, Puerto Rico"
Best Chef South,Winner,2024,Valerie Chang,Maty's,"Miami, Florida"
Best Chef South,Semifinalist,2024,Tristen Epps,Ocean Social,"Miami, Florida"
Best Chef South,Nominee,2024,Carlos Portela,Orujo,"San Juan, Puerto Rico"
Outstanding Pastry Chef,Semifinalist,2024,Joshua Mcintosh,MILKFISH Bakeshop,"Las Vegas, Nevada"
Best Chef South,Nominee,2024,Arvinder Vilkhu,Saffron,"New Orleans, Louisiana"
Best Chef South,Nominee,2024,Gabriel Hernández,Verde Mesa,"San Juan, Puerto Rico"
Best Chef South,Semifinalist,2024,Rafael Rios,Yeyo's El Alma de Mexico,"Bentonville, Arkansas"
Best Chef Southeast,Winner,2024,Paul Smith,1010 Bridge,"Charleston, West Virginia"
Best Chef Southeast,Semifinalist,2024,Scott Macgregor,Appalachia Kitchen,"Snowshoe, West Virginia"
Best Chef Southeast,Semifinalist,2024,Preeti Waas,Cheeni Indian Food Emporium,"Raleigh, North Carolina"
Best Chef Southeast,Nominee,2024,James London,Chubby Fish,"Charleston, South Carolina"
Emerging Chef of the Year,Semifinalist,2024,Kenneth Wan,MAKfam,"Denver, Colorado"
Emerging Chef of the Year,Semifinalist,2024,Bryce Stevenson,Miijim,"La Pointe, Wisconsin"
Best Chef Southeast,Semifinalist,2024,Kitwanda Cyrus,Kiki's Chicken and Waffles,"Columbia, South Carolina"
Best Chef Southeast,Semifinalist,2024,Tyrone Cyrus,Kiki's Chicken and Waffles,"Columbia, South Carolina"
Best Chef Midwest,Nominee,2024,Ann Ahmed,Khâluna,"Minneapolis, Minnesota"
Best Chef Southeast,Semifinalist,2024,Pete Amadhanirundr,Puma Yu's,"Athens, Georgia"
Best Chef Southeast,Semifinalist,2024,Daris Leatherwood,Supper Club on 2nd,"Memphis, Tennessee"
Best Chef Southeast,Semifinalist,2024,Dallas McGarity,The Fat Lamb,"Louisville, Kentucky"
Best Chef Southwest,Nominee,2024,Steve Kestler,Aroma Latin American Cocina,"Henderson, Nevada"
Best Chef Southwest,Winner,2024,Rene Andrade,Bacanora,"Phoenix, Arizona"
Best Chef Southwest,Semifinalist,2024,Chris Bethoney,Campo at Los Poblanos,"Albuquerque, New Mexico"
Best Chef Southwest,Semifinalist,2024,Josefina Garcilazo,Chope's,"La Mesa, New Mexico"
Best Chef Southwest,Semifinalist,2024,Sam Greenhalgh,Forêt,"Flagstaff, Arizona"
Best Chef Southwest,Semifinalist,2024,Pornsupak Bunnag,Glai Baan,"Phoenix, Arizona"
Best Chef Southwest,Semifinalist,2024,Marc Quinones,Level 5,"Albuquerque, New Mexico"
Best Chef Southwest,Nominee,2024,Jeff Chanchaleune,Ma Der Lao Kitchen,"Oklahoma City, Oklahoma"
Best Chef Southwest,Semifinalist,2024,Claudio Urciuoli,Source,"Gilbert, Arizona"
Outstanding Restaurateur,Semifinalist,2024,Laile Fairbairn,"Locally Grown Restaurants (Snow City Cafe, South Restaurant + Coffeehouse, and Spenard Roadhouse)","Anchorage, Alaska"
Best Chef Southwest,Semifinalist,2024,Wendy Garcia,Tumerico,"Tucson, Arizona"
Best Chef Southwest,Nominee,2024,Eduardo Rodriguez,Zacatlan,"Santa Fe, New Mexico"
Best Chef Texas,Semifinalist,2024,Sean Wen,Curry Boys BBQ,"San Antonio, Texas"
Best Chef Texas,Winner,2024,Ana Liz Pulido,Ana Liz Taqueria,"Mission, Texas"
Best Chef Texas,Semifinalist,2024,Jennifer Dobbertin,Best Quality Daughter,"San Antonio, Texas"
Best Chef Texas,Nominee,2024,Tracy Malechek-Ezekiel,Birdie's,"Austin, Texas"
Outstanding Restaurant,Semifinalist,2024,Bywater,"Warren, Rhode Island",NA
Best Chef Texas,Semifinalist,2024,Joseph Gomez,Con Todo,"Austin, Texas"
Best Chef Texas,Semifinalist,2024,Emiliano Marentes,Elemi,"El Paso, Texas"
Best Chef Texas,Semifinalist,2024,Anastacia Quiñones-Pittman,José,"Dallas, Texas"
Best Chef Texas,Semifinalist,2024,Sandra Rojas,Purépecha,"Dallas, Texas"
Best Chef Texas,Semifinalist,2024,Mark Clayton,Squable,"Houston, Texas"
Best Chef Texas,Nominee,2024,Emmanuel Chavez,Tatemó,"Houston, Texas"
Best Chef Midwest,Semifinalist,2024,Sean Pharr,Mint Mark,"Madison, Wisconsin"
Outstanding Bar,Semifinalist,2024,Amalga Distillery,"Juneau, Alaska",NA
Outstanding Bakery,Nominee,2024,The Burque Bakehouse,"Albuquerque, New Mexico",NA
Outstanding Pastry Chef,Winner,2024,Atsuko Fujimoto,Norimoto Bakery,"Portland, Maine"
Outstanding Chef,Semifinalist,2024,Dan Kluger,Loring Place,"New York, New York"
Best New Restaurant,Nominee,2024,Shan,"Bozeman, Montana",NA
Outstanding Restaurateur,Semifinalist,2024,Nicolas Poilevey,"Obelix, Le Bouchon, Taqueria Chingón","Chicago, Illinois"
Best New Restaurant,Semifinalist,2024,Ajja,"Raleigh, North Carolina",NA
Outstanding Bakery,Semifinalist,2024,Shatila Bakery,"Dearborn, Michigan",NA
Outstanding Pastry Chef,Semifinalist,2024,Kristina Costa,Loquat,"San Francisco, California"
Outstanding Restaurateur,Semifinalist,2024,Oliver Poilevey,"Obelix, Le Bouchon, Taqueria Chingón","Chicago, Illinois"
Best New Restaurant,Nominee,2024,Comfort Kitchen,"Dorchester, Massachusetts",NA
Best New Restaurant,Semifinalist,2024,Ava Bakery,"Phoenix, Arizona",NA
Best Chef California,Semifinalist,2024,C-Y Chia,Lion Dance Café,"Oakland, California"
Best Chef California,Semifinalist,2024,Shane Stanbridge,Lion Dance Café,"Oakland, California"
Best Chef California,Nominee,2024,Tara Monsod,Animae,"San Diego, California"
Best Chef California,Nominee,2024,Rogelio Garcia,Auro,"Calistoga, California"
Best Chef California,Semifinalist,2024,Laura Ozyilmaz,Dalida,"San Francisco, California"
Best Chef California,Semifinalist,2024,Zak Stern,Daytrip,"Oakland, California"
Best Chef California,Semifinalist,2024,Alex Garcia,Evil Cooks,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Kristina Liedags Compton,Hilda and Jesse,"San Francisco, California"
Best Chef California,Semifinalist,2024,Stefano Procaccini,La Parolaccia,"Long Beach, California"
Best Chef California,Semifinalist,2024,Michael Procaccini,La Parolaccia,"Long Beach, California"
Best Chef California,Semifinalist,2024,Jihee Kim,Perilla,"Los Angeles, California"
Best Chef California,Semifinalist,2024,Diego Argoti,Poltergeist,"Los Angeles, California"
Best New Restaurant,Semifinalist,2024,Sắp Sửa,"Denver, Colorado",NA
Best Chef Great Lakes,Semifinalist,2024,Erik Bentz,Cafe Mochiko,"Cincinatti, Ohio"
Outstanding Pastry Chef,Semifinalist,2024,Kimberly Mcintosh,MILKFISH Bakeshop,"Las Vegas, Nevada"
Outstanding Wine & Other Beverages Program,Semifinalist,2024,Bufalina,"Austin, Texas",NA
