individual,year,year_recode,season,locality,sex,body_mass_grams,body_condition_index,straight_carapace_length_mm
1081,2010,3,Spring,Plateau,m,1036,5.726287862,180.92
1081,2017,10,Spring,Plateau,m,1106,6.144444444,180
1081,2017,10,Summer,Plateau,m,1198,6.510869565,184
1081,2018,11,Summer,Plateau,m,1191,6.543956044,182
1081,2021,14,Spring,Plateau,m,1077,5.885245902,183
1083,2009,2,Spring,Plateau,m,952,5.637138797,168.88
1083,2010,3,Spring,Plateau,m,946,5.574543312,169.7
1083,2010,3,Spring,Plateau,m,948,5.609467456,169
1084,2009,2,Spring,Plateau,m,1305.5,7.1066957,183.7
1084,2010,3,Spring,Plateau,m,1385,7.798423423,177.6
1085,2009,2,Summer,Plateau,m,843,5.140243902,164
1085,2009,2,Spring,Plateau,m,857,5.271251076,162.58
1085,2016,9,Spring,Plateau,m,893,5.445121951,164
1085,2016,9,Spring,Plateau,m,912,5.56097561,164
1085,2018,11,Summer,Plateau,m,913,5.5,166
1085,2019,12,Spring,Plateau,m,869,5.331288344,163
1085,2023,16,Summer,Plateau,m,890,5.361445783,166
1086,2009,2,Spring,Plateau,m,800,4.694835681,170.4
1086,2015,8,Summer,Plateau,m,928,5.38595473,172.3
1087,2009,2,Spring,Plateau,m,808,4.932844933,163.8
1087,2010,3,Spring,Plateau,m,859,5.207322987,164.96
1087,2011,4,Spring,Plateau,m,765,4.633555421,165.1
1087,2016,9,Spring,Plateau,m,949,5.615384615,169
1088,2009,2,Spring,Plateau,m,1455.5,7.984092156,182.3
1088,2011,4,Summer,Plateau,m,1443,7.457364341,193.5
1088,2012,5,Spring,Plateau,m,1445,7.498702647,192.7
1088,2016,9,Spring,Plateau,m,1567,7.894206549,198.5
1088,2016,9,Spring,Plateau,m,1515,7.769230769,195
1088,2017,10,Spring,Plateau,m,1446,7.415384615,195
1088,2018,11,Spring,Plateau,m,1488,7.670103093,194
1088,2019,12,Summer,Plateau,m,1526,7.8256410259999996,195
1088,2020,13,Summer,Plateau,m,1444,7.405128205,195
1088,2021,14,Spring,Plateau,m,1450,7.474226804,194
1088,2022,15,Summer,Plateau,m,1566,7.989795918,196
1088,2023,16,Summer,Plateau,m,1559,8.077720207,193
109,2008,1,Spring,Plateau,m,954,5.559440559,171.6
109,2008,1,Summer,Plateau,m,938,5.510192093,170.23
109,2010,3,Spring,Plateau,m,1010,5.801263642,174.1
109,2011,4,Summer,Plateau,m,1038,6.052478134,171.5
109,2013,6,Spring,Plateau,m,997.3,5.866470588,170
1090,2009,2,Spring,Beach,m,1178,6.427675015,183.27
1091,2009,2,Summer,Beach,m,694,4.553805774,152.4
1091,2010,3,Spring,Beach,m,685,4.539430086,150.9
1091,2011,4,Spring,Beach,m,687,4.5256917,151.8
1091,2011,4,Summer,Beach,m,696,4.609271523,151
1091,2012,5,Spring,Beach,m,679,4.484808454,151.4
1091,2013,6,Spring,Beach,m,685,4.56362425,150.1
1091,2016,9,Spring,Beach,m,695,4.630246502,150.1
1096,2018,11,Summer,Beach,f,854,5.655629139,151
1096,2019,12,Spring,Beach,f,843,5.546052632,152
1096,2020,13,Summer,Beach,f,933,6.058441558,154
1096,2022,15,Spring,Beach,f,959,6.108280255,157
1096,2023,16,Spring,Beach,f,957,6.134615385,156
11,2008,1,Spring,Beach,m,708,4.676971859,151.38
11,2009,2,Spring,Beach,m,755,4.97102976,151.88
11,2010,3,Spring,Beach,m,764,4.847715736,157.6
11,2011,4,Spring,Beach,m,772,4.917197452,157
11,2012,5,Spring,Beach,m,767,4.916666667,156
11,2012,5,Summer,Beach,m,803,5.043969849,159.2
11,2016,9,Spring,Beach,m,923,5.732919255,161
110,2008,1,Spring,Plateau,m,1157,6.357142857,182
110,2009,2,Summer,Plateau,m,1132,6.212952799,182.2
110,2010,3,Summer,Plateau,m,1145,6.253413435,183.1
110,2012,5,Spring,Plateau,m,1140,6.256860593,182.2
110,2016,9,Spring,Plateau,m,1223,6.71978022,182
1100,2009,2,Spring,Beach,f,1433,7.731736268,185.34
1100,2010,3,Spring,Beach,f,1362,7.194168603,189.32
1100,2011,4,Summer,Beach,f,1310,6.986666667,187.5
1100,2011,4,Spring,Beach,f,1279,6.887452881,185.7
1100,2012,5,Spring,Beach,f,1339,7.122340426,188
1100,2016,9,Spring,Beach,f,1379,7.433962264,185.5
1100,2019,12,Spring,Beach,f,1145,6.122994652,187
1100,2021,14,Spring,Beach,f,1411,7.505319149,188
1100,2022,15,Spring,Beach,f,1402,7.497326203,187
1100,2022,15,Summer,Beach,f,1501,7.984042553,188
1101,2009,2,Spring,Beach,f,1273,7.03937182,180.84
1101,2010,3,Spring,Beach,f,1158,6.411960133,180.6
1101,2011,4,Summer,Beach,f,1135,6.340782123,179
1101,2011,4,Summer,Beach,f,1197,6.576923077,182
1101,2012,5,Summer,Beach,f,1255,6.933701657,181
1101,2012,5,Spring,Beach,f,1214,6.699779249,181.2
1101,2015,8,Summer,Beach,f,1225,6.730769231,182
1101,2016,9,Spring,Beach,f,1201,6.653739612,180.5
1101,2017,10,Spring,Beach,f,1221,6.783333333,180
1101,2018,11,Summer,Beach,f,1114,6.154696133,181
1101,2019,12,Spring,Beach,f,1210,6.759776536,179
1101,2022,15,Spring,Beach,f,1188,6.636871508,179
1101,2022,15,Summer,Beach,f,1247,6.966480447,179
1101,2023,16,Summer,Beach,f,1204,6.688888889,180
111,2008,1,Spring,Plateau,m,811,4.963280294,163.4
111,2008,1,Summer,Plateau,m,834,5.102790015,163.44
111,2009,2,Spring,Plateau,m,881,5.375228798,163.9
111,2010,3,Spring,Plateau,m,893,5.438489647,164.2
111,2011,4,Summer,Plateau,m,827,5.073619632,163
111,2011,4,Summer,Plateau,m,873,5.290909091,165
111,2011,4,Summer,Plateau,m,809,5.078468299,159.3
111,2012,5,Spring,Plateau,m,908,5.570552147,163
111,2015,8,Summer,Plateau,m,920,5.535499398,166.2
111,2016,9,Spring,Plateau,m,888,5.381818182,165
1110,2009,2,Spring,Plateau,m,802,5.15755627,155.5
1110,2011,4,Summer,Plateau,m,882,5.47826087,161
1110,2012,5,Spring,Plateau,m,835,5.318471338,157
1110,2013,6,Spring,Plateau,m,904,5.685534591,159
1110,2016,9,Summer,Plateau,m,904,5.54601227,163
1110,2022,15,Summer,Plateau,m,987,5.981818182,165
1110,2023,16,Summer,Plateau,m,996,6.036363636,165
1111,2009,2,Spring,Plateau,m,1013.5,5.550383352,182.6
1111,2009,2,Summer,Plateau,m,1049,6.130917592,171.1
1111,2010,3,Spring,Plateau,m,1061,5.842511013,181.6
1111,2012,5,Summer,Plateau,m,1018,5.627418463,180.9
1111,2012,5,Spring,Plateau,m,1043,5.794444444,180
1111,2017,10,Spring,Plateau,m,1056,5.866666667,180
1112,2009,2,Spring,Plateau,m,769.5,4.864096081,158.2
1112,2010,3,Spring,Plateau,m,796,5.125563426,155.3
1112,2011,4,Summer,Plateau,m,804,5.072555205,158.5
1112,2011,4,Summer,Plateau,m,761,4.909677419,155
1112,2013,6,Spring,Plateau,m,812.7,5.192971246,156.5
1112,2016,9,Spring,Plateau,m,858,5.5,156
1112,2017,10,Spring,Plateau,m,793,5.116129032,155
1113,2009,2,Spring,Beach,m,1223.5,6.556806002,186.6
1113,2011,4,Summer,Beach,m,1341,7.114058355,188.5
1113,2012,5,Spring,Beach,m,1300,6.896551724,188.5
1113,2012,5,Spring,Beach,m,1316,6.977730647,188.6
1113,2014,7,Summer,Beach,m,1334,7.065677966,188.8
1113,2015,8,Summer,Beach,m,1396,7.289817232,191.5
1113,2016,9,Spring,Beach,m,1310,6.931216931,189
1114,2009,2,Spring,Plateau,m,1017.5,5.794419134,175.6
1114,2010,3,Spring,Plateau,m,1045,5.979629206,174.76
1114,2011,4,Spring,Plateau,m,974,5.581661891,174.5
1114,2011,4,Summer,Plateau,m,1054,5.971671388,176.5
1114,2013,6,Spring,Plateau,m,1046,5.943181818,176
1114,2015,8,Summer,Plateau,m,1064,6.035167328,176.3
1114,2016,9,Spring,Plateau,m,1058,6.045714286,175
1114,2017,10,Summer,Plateau,m,996,5.724137931,174
1114,2017,10,Spring,Plateau,m,1068,6.137931034,174
1114,2018,11,Spring,Plateau,m,1044,6.034682081,173
1114,2019,12,Summer,Plateau,m,1010,5.738636364,176
1114,2020,13,Summer,Plateau,m,985,5.628571429,175
1114,2021,14,Summer,Plateau,m,1054,6.092485549,173
1115,2009,2,Spring,Plateau,m,877.5,5.430074257,161.6
1115,2011,4,Summer,Plateau,m,901,5.493902439,164
1115,2015,8,Summer,Plateau,m,925,5.572289157,166
1115,2016,9,Spring,Plateau,m,945,5.692771084,166
1115,2016,9,Summer,Plateau,m,992,6.012121212,165
1115,2017,10,Spring,Plateau,m,941,5.808641975,162
1115,2019,12,Spring,Plateau,m,947,5.809815951,163
1115,2022,15,Summer,Plateau,m,940,5.696969697,165
1116,2009,2,Spring,Plateau,m,1242,6.720779221,184.8
1116,2009,2,Summer,Plateau,m,1320,7.08915145,186.2
1116,2010,3,Spring,Plateau,m,1331,7.231337607,184.06
1116,2012,5,Spring,Plateau,m,1308,7.108695652,184
