Year,Sex,Name,Number,Rank
1998,Girl,Marria,3,3848
1998,Girl,Marriam,3,3848
1998,Girl,Marriyah,4,3142
1998,Girl,Marsha,7,2165
1998,Girl,Marta,6,2407
1998,Girl,Martha,289,158
1998,Girl,Martina,29,787
1998,Girl,Martine,20,1036
1998,Girl,Martinique,3,3848
1998,Girl,Marwa,16,1211
1998,Girl,Mary,350,133
1998,Girl,Mary-Ann,8,1979
1998,Girl,Mary-Anne,10,1697
1998,Girl,Mary-Ellen,3,3848
1998,Girl,Mary-Jane,7,2165
1998,Girl,Mary-Kate,5,2701
1998,Girl,Marya,12,1480
1998,Girl,Maryah,5,2701
1998,Girl,Maryam,215,199
1998,Girl,Maryama,3,3848
1998,Girl,Maryan,4,3142
1998,Girl,Maryann,12,1480
1998,Girl,Maryanne,6,2407
1998,Girl,Marybeth,3,3848
1998,Girl,Maryum,8,1979
1998,Girl,Marzana,3,3848
1998,Girl,Mashal,3,3848
1998,Girl,Masie,7,2165
1998,Girl,Masooma,3,3848
1998,Girl,Masuma,20,1036
1998,Girl,Mathilda,25,869
1998,Girl,Mathilde,17,1165
1998,Girl,Mathura,4,3142
1998,Girl,Matilda,249,174
1998,Girl,Mattea,3,3848
1998,Girl,Maud,3,3848
1998,Girl,Maude,4,3142
1998,Girl,Maura,7,2165
1998,Girl,Maureen,9,1823
1998,Girl,Mavish,4,3142
1998,Girl,Mawiyah,5,2701
1998,Girl,Maxine,29,787
1998,Girl,May,46,577
1998,Girl,Maya,250,173
1998,Girl,Mayah,4,3142
1998,Girl,Maymoona,3,3848
1998,Girl,Maymuna,4,3142
1998,Girl,Maymunah,4,3142
1998,Girl,Mayowa,3,3848
1998,Girl,Maysa,6,2407
1998,Girl,Mayu,3,3848
1998,Girl,Mayuri,3,3848
1998,Girl,Mazeda,4,3142
1998,Girl,Mazie,4,3142
1998,Girl,Mckenzie,14,1319
1998,Girl,Meadow,3,3848
1998,Girl,Meagan,16,1211
1998,Girl,Meaghan,19,1076
1998,Girl,Medina,10,1697
1998,Girl,Meena,6,2407
1998,Girl,Meera,22,955
1998,Girl,Meesha,6,2407
1998,Girl,Meg,65,457
1998,Girl,Megan,6247,3
1998,Girl,Megan-Louise,5,2701
1998,Girl,Megan-Rose,5,2701
1998,Girl,Megann,5,2701
1998,Girl,Meganne,4,3142
1998,Girl,Meggan,7,2165
1998,Girl,Megha,4,3142
1998,Girl,Meghan,173,237
1998,Girl,Meghann,8,1979
1998,Girl,Meghna,6,2407
1998,Girl,Meha,3,3848
1998,Girl,Mehek,4,3142
1998,Girl,Mehmoona,4,3142
1998,Girl,Mehreen,11,1571
1998,Girl,Mehvish,11,1571
1998,Girl,Mehwish,3,3848
1998,Girl,Mei,3,3848
1998,Girl,Meisha,8,1979
1998,Girl,Melanie,132,284
1998,Girl,Melek,6,2407
1998,Girl,Meleri,3,3848
1998,Girl,Melika,3,3848
1998,Girl,Melike,4,3142
1998,Girl,Melina,10,1697
1998,Girl,Melinda,9,1823
1998,Girl,Melis,4,3142
1998,Girl,Melisa,30,758
1998,Girl,Melisha,3,3848
1998,Girl,Melissa,1009,54
1998,Girl,Mellisa,10,1697
1998,Girl,Mellissa,17,1165
1998,Girl,Melodie,6,2407
1998,Girl,Melody,30,758
1998,Girl,Meltem,3,3848
1998,Girl,Melyssa,3,3848
1998,Girl,Mena,3,3848
1998,Girl,Menna,24,898
1998,Girl,Mercedes,59,483
1998,Girl,Mercy,10,1697
1998,Girl,Meredith,26,846
1998,Girl,Meriam,4,3142
1998,Girl,Meriel,5,2701
1998,Girl,Merle,3,3848
1998,Girl,Merlyn,3,3848
1998,Girl,Merryn,14,1319
1998,Girl,Merve,10,1697
1998,Girl,Meryem,8,1979
1998,Girl,Mesha,4,3142
1998,Girl,Mhairi,12,1480
1998,Girl,Mhari,5,2701
1998,Girl,Mia,721,75
1998,Girl,Miah,17,1165
1998,Girl,Mica,79,396
1998,Girl,Micaela,8,1979
1998,Girl,Micah,5,2701
1998,Girl,Micha,14,1319
1998,Girl,Michaela,275,163
1998,Girl,Michaella,11,1571
1998,Girl,Michal,3,3848
1998,Girl,Michala,3,3848
1998,Girl,Micheala,8,1979
1998,Girl,Michela,12,1480
1998,Girl,Michele,4,3142
1998,Girl,Michelle,186,223
1998,Girl,Mickayla,5,2701
1998,Girl,Miesha,4,3142
1998,Girl,Mihriban,3,3848
1998,Girl,Mika,5,2701
1998,Girl,Mikaela,23,925
1998,Girl,Mikala,3,3848
1998,Girl,Mikayla,22,955
1998,Girl,Mikila,3,3848
1998,Girl,Mikki,4,3142
1998,Girl,Mila,5,2701
1998,Girl,Milan,12,1480
1998,Girl,Milena,4,3142
1998,Girl,Milissa,4,3142
1998,Girl,Milla,3,3848
1998,Girl,Milli,19,1076
1998,Girl,Millicent,143,273
1998,Girl,Millie,813,67
1998,Girl,Millie-Mae,4,3142
1998,Girl,Milly,115,312
1998,Girl,Mimi,16,1211
1998,Girl,Mina,15,1259
1998,Girl,Minahil,4,3142
1998,Girl,Mindy,5,2701
1998,Girl,Mine,3,3848
1998,Girl,Minna,7,2165
1998,Girl,Minnie,18,1122
1998,Girl,Mio,3,3848
1998,Girl,Mir,5,2701
1998,Girl,Mira,6,2407
1998,Girl,Miranda,94,356
1998,Girl,Miri,4,3142
1998,Girl,Miriam,126,292
1998,Girl,Mirren,9,1823
1998,Girl,Miryam,4,3142
1998,Girl,Mirza,4,3142
1998,Girl,Misbah,36,672
1998,Girl,Mischa,12,1480
