ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Grand Total,0,210,187,23135,4813,983,244,7,29579,48,2487
Unbranded,0,98,65,13060,186,743,230,5,14387,48,2487
The Coca-Cola Company,0,0,2,464,1607,17,0,0,2090,48,2487
SUZA Group of Companies,0,0,0,0,1125,0,0,0,1125,48,2487
Knjaz Miloš a.d.,0,0,0,0,713,0,0,0,713,48,2487
Slammers Energy Drink,0,0,0,710,0,0,0,0,710,48,2487
Trebjesa brewery,0,0,0,643,0,0,0,0,643,48,2487
Redbull,0,0,0,536,0,0,0,0,536,48,2487
Heineken International,0,0,0,441,0,0,0,0,441,48,2487
Philip Morris,0,0,10,411,0,0,0,0,421,48,2487
Ola,0,0,0,359,0,0,0,0,359,48,2487
Red Bull,0,0,0,323,0,0,0,0,323,48,2487
McDonald's Corporation,0,0,0,301,0,1,6,0,308,48,2487
PepsiCo,0,0,2,216,63,0,0,0,281,48,2487
"Mars, Incorporated",0,0,2,186,0,7,0,0,195,48,2487
Morshynska Company,0,0,0,45,124,1,0,0,170,48,2487
Aqua Bianca,0,0,0,0,162,0,0,0,162,48,2487
"Reynolds American, Inc.",0,0,0,161,0,0,0,0,161,48,2487
Antaflu,0,0,0,123,0,0,0,0,123,48,2487
Rauch,0,0,0,0,109,0,0,0,109,48,2487
Imperial Brands,0,0,0,109,0,0,0,0,109,48,2487
Nestlé,0,0,0,88,19,0,0,0,107,48,2487
Haribo,0,0,0,95,0,0,0,0,95,48,2487
Ferrero Group,0,0,2,81,0,8,0,0,91,48,2487
Spa,0,0,0,90,0,0,0,0,90,48,2487
Чернігівське,0,0,0,35,53,0,0,0,88,48,2487
Loewenbrau Beer,0,0,0,83,0,0,0,0,83,48,2487
Molson Coors Europe,0,0,0,77,0,0,0,0,77,48,2487
Feldschlösschen,0,0,0,72,0,0,0,0,72,48,2487
Bavaria,0,0,0,69,0,0,0,0,69,48,2487
Mondelez International,0,0,0,64,0,4,0,0,68,48,2487
Roshen,0,0,0,56,0,12,0,0,68,48,2487
British American Tobacco,0,0,0,68,0,0,0,0,68,48,2487
Хлібний Дар,0,0,0,67,0,0,0,0,67,48,2487
Perfetti van Melle,0,0,0,66,0,0,0,0,66,48,2487
Albert Heijn,0,0,0,59,0,0,0,0,59,48,2487
Jumbo,0,0,0,59,0,0,0,0,59,48,2487
Danone,0,20,0,8,7,20,0,0,55,48,2487
Caprison,0,0,0,54,0,0,0,0,54,48,2487
Agrokor,0,0,0,54,0,0,0,0,54,48,2487
Aa Drink,0,0,0,52,0,0,0,0,52,48,2487
Cedevita,0,0,0,0,49,0,0,0,49,48,2487
Bullit,0,0,0,47,0,0,0,0,47,48,2487
Shake,0,0,0,47,0,0,0,0,47,48,2487
Union Laško (Heineken),0,1,0,23,22,0,0,0,46,48,2487
Grolsch,0,0,0,46,0,0,0,0,46,48,2487
Steviasun Corporation,0,0,0,44,0,0,0,0,44,48,2487
Lidl,0,0,0,41,0,1,0,0,42,48,2487
Diva Voda,0,0,0,0,41,0,0,0,41,48,2487
Хортиця,0,0,0,40,0,0,0,0,40,48,2487
Goldenpower,0,0,0,39,0,0,0,0,39,48,2487
Beer Market,0,0,0,11,27,0,0,0,38,48,2487
Коблево,0,0,0,35,0,0,0,0,35,48,2487
Hertog Jan,0,0,0,34,0,0,0,0,34,48,2487
Оболонь,0,0,0,17,17,0,0,0,34,48,2487
Cesu Premium,0,0,0,32,0,0,0,0,32,48,2487
Carlsberg,0,0,0,31,0,0,0,0,31,48,2487
Icetea,0,0,0,31,0,0,0,0,31,48,2487
Jupiler,0,0,0,31,0,0,0,0,31,48,2487
Sourcy,0,0,0,30,0,0,0,0,30,48,2487
Wicky,0,0,0,30,0,0,0,0,30,48,2487
Garage,0,0,0,30,0,0,0,0,30,48,2487
Zajecar Beer,0,0,0,30,0,0,0,0,30,48,2487
Srna,0,29,0,0,0,0,0,0,29,48,2487
Рудь,0,0,5,19,0,0,5,0,29,48,2487
Nemiroff,0,0,0,28,0,0,0,0,28,48,2487
Ооо «Vegetus»,0,1,0,27,0,0,0,0,28,48,2487
Атб,0,11,15,0,0,0,0,0,26,48,2487
Розумний Вибір,0,2,0,2,14,8,0,0,26,48,2487
Козацька Рада,0,0,0,26,0,0,0,0,26,48,2487
Migros,0,0,0,17,8,0,0,0,25,48,2487
Parlament,0,0,0,24,0,0,0,0,24,48,2487
Saskia,0,0,0,19,0,5,0,0,24,48,2487
Implek,0,24,0,0,0,0,0,0,24,48,2487
Sportlife,0,0,0,24,0,0,0,0,24,48,2487
Heets,0,0,0,23,0,0,0,0,23,48,2487
Aldaris,0,0,0,23,0,0,0,0,23,48,2487
Fernandes,0,0,0,23,0,0,0,0,23,48,2487
Reckitt Benckiser,0,0,0,11,0,12,0,0,23,48,2487
Fishdream,0,0,0,22,0,0,0,0,22,48,2487
Carlsberg Serbia,0,0,0,22,0,0,0,0,22,48,2487
Cesu Alus,0,0,0,22,0,0,0,0,22,48,2487
Сан Санич,0,0,0,22,0,0,0,0,22,48,2487
Taksi,0,0,0,22,0,0,0,0,22,48,2487
Бомба (Фоп Скачков),0,0,0,22,0,0,0,0,22,48,2487
Ld,0,0,0,22,0,0,0,0,22,48,2487
Chocomel,0,0,0,22,0,0,0,0,22,48,2487
Apps,0,0,0,0,21,0,0,0,21,48,2487
Gulpener,0,0,0,21,0,0,0,0,21,48,2487
Київхліб,0,0,7,14,0,0,0,0,21,48,2487
Повна Чаша,0,0,0,12,8,0,0,0,20,48,2487
Lm,0,0,0,20,0,0,0,0,20,48,2487
Shabo,0,0,0,20,0,0,0,0,20,48,2487
Villa Krim,0,0,0,20,0,0,0,0,20,48,2487
Aroma Kava,0,0,0,19,0,0,0,0,19,48,2487
Solo Cup Co.,0,0,0,0,19,0,0,0,19,48,2487
Мороша,0,0,0,19,0,0,0,0,19,48,2487
Prolom Voda,0,0,0,0,19,0,0,0,19,48,2487
Мікадо,0,0,0,18,0,0,0,0,18,48,2487
Sultana,0,0,0,18,0,0,0,0,18,48,2487
Pallmall,0,0,0,18,0,0,0,0,18,48,2487
Corona,0,0,0,18,0,0,0,0,18,48,2487
Freeway,0,0,0,16,0,2,0,0,18,48,2487
Fristi,0,0,0,18,0,0,0,0,18,48,2487
Bueno,0,0,0,17,0,0,0,0,17,48,2487
Tempo,0,0,0,17,0,0,0,0,17,48,2487
Рошен,0,0,15,2,0,0,0,0,17,48,2487
Chaudfontaine,0,0,0,17,0,0,0,0,17,48,2487
Strong,0,0,0,17,0,0,0,0,17,48,2487
Яготинське,0,0,1,12,0,4,0,0,17,48,2487
Unilever,0,0,0,17,0,0,0,0,17,48,2487
Black Energy,0,0,0,0,17,0,0,0,17,48,2487
Longer,0,0,0,16,0,0,0,0,16,48,2487
Luckystrike,0,0,0,16,0,0,0,0,16,48,2487
Capri Sun Group Holding,0,0,0,16,0,0,0,0,16,48,2487
Monster Energy,0,0,0,16,0,0,0,0,16,48,2487
Sandora,0,0,0,15,1,0,0,0,16,48,2487
Dorina,0,0,0,16,0,0,0,0,16,48,2487
Цельсій,0,0,0,16,0,0,0,0,16,48,2487
Тетерів (Сан Інбев Україна),0,0,0,0,16,0,0,0,16,48,2487
Mascotte,0,0,0,15,0,0,0,0,15,48,2487
Lacplesis,0,0,0,15,0,0,0,0,15,48,2487
Prime,0,0,0,15,0,0,0,0,15,48,2487
Winston (Itg Brands - Imperial Tobbaco),0,0,0,15,0,0,0,0,15,48,2487
Борисфен,0,0,0,15,0,0,0,0,15,48,2487
Knoppers,0,0,0,15,0,0,0,0,15,48,2487
Банки Ноу Нейм,0,0,0,15,0,0,0,0,15,48,2487
MacDonald,0,0,0,0,15,0,0,0,15,48,2487
Schultenbrau,0,0,0,14,0,0,0,0,14,48,2487
Coop,0,0,0,14,0,0,0,0,14,48,2487
"Тов ""Уссп Ко Хлібопекарський Комплекс""",0,0,0,14,0,0,0,0,14,48,2487
Restaurant Brands International,0,0,0,14,0,0,0,0,14,48,2487
Desperados,0,0,0,14,0,0,0,0,14,48,2487
Valser,0,0,0,1,5,7,0,0,13,48,2487
KFC,0,0,0,13,0,0,0,0,13,48,2487
Starbucks,0,0,0,13,0,0,0,0,13,48,2487
Чернігівське (Сан Інбев Україна),0,0,0,3,10,0,0,0,13,48,2487
Breaker,0,0,0,13,0,0,0,0,13,48,2487
Liga,0,0,0,13,0,0,0,0,13,48,2487
Fuzetea,0,0,0,7,6,0,0,0,13,48,2487
Kruitvat,0,0,0,13,0,0,0,0,13,48,2487
Intafact Beverages Limited,0,0,0,12,0,0,0,0,12,48,2487
Sobranie,0,0,0,12,0,0,0,0,12,48,2487
"Тм Хлібний Дар, Виробник «Національної Горілчаної Компанії»",0,0,0,12,0,0,0,0,12,48,2487
Wilhemina,0,0,0,12,0,0,0,0,12,48,2487
Pit Bull,0,0,0,0,12,0,0,0,12,48,2487
Flint (Тов Фактор),0,0,0,12,0,0,0,0,12,48,2487
Somersby,0,0,0,8,4,0,0,0,12,48,2487
Простоквашино,0,0,0,6,4,1,0,0,11,48,2487
Danacol,0,0,0,11,0,0,0,0,11,48,2487
"Оболонь Пиво ""Своя Лінія""",0,0,0,0,11,0,0,0,11,48,2487
Morshynska,0,0,0,0,10,0,0,0,10,48,2487
Jellies,0,0,0,10,0,0,0,0,10,48,2487
Арсенал,0,0,0,0,10,0,0,0,10,48,2487
S.A. Damm,0,0,0,10,0,0,0,0,10,48,2487
Kellogg Company,0,0,0,10,0,0,0,0,10,48,2487
"Глоду Настойка, Виробник Фітофарм",0,0,0,10,0,0,0,0,10,48,2487
7 Days,0,0,0,10,0,0,0,0,10,48,2487
Latvijas Balzams,0,0,0,10,0,0,0,0,10,48,2487
Mercator (Agrokor),0,0,1,7,2,0,0,0,10,48,2487
"Миргородська, Ids",0,0,0,0,10,0,0,0,10,48,2487
Fanatic (Тов Фанатік),0,0,0,10,0,0,0,0,10,48,2487
Fanatic,0,0,0,10,0,0,0,0,10,48,2487
Parisienne,0,0,0,10,0,0,0,0,10,48,2487
Douwe Egberts,0,0,0,10,0,0,0,0,10,48,2487
Rivella,0,0,0,2,4,4,0,0,10,48,2487
Тм Яготинське,0,0,0,8,1,1,0,0,10,48,2487
Real Fish,0,0,0,10,0,0,0,0,10,48,2487
"Тм Хортиця, Виробник Удк",0,0,0,10,0,0,0,0,10,48,2487
Світоч,0,0,0,10,0,0,0,0,10,48,2487
Frutabela,0,0,0,10,0,0,0,0,10,48,2487
Сир Тофу (Агропрот Тов),0,0,0,9,0,0,0,0,9,48,2487
Superflash,0,0,0,9,0,0,0,0,9,48,2487
Kong Strong,0,0,0,9,0,0,0,0,9,48,2487
Urban Coffee,0,0,0,9,0,0,0,0,9,48,2487
The Hershey Company,0,0,0,9,0,0,0,0,9,48,2487
Ikea,0,0,0,9,0,0,0,0,9,48,2487
Своя Лінія,0,0,0,9,0,0,0,0,9,48,2487
Gralsburg,0,0,0,9,0,0,0,0,9,48,2487
"Тов ""Перший Столичний Хлібзавод""",0,0,0,8,0,0,0,0,8,48,2487
Тов Формакс,0,0,0,8,0,0,0,0,8,48,2487
Перша Пивна Броварня (Сан Інбев Україна),0,0,0,2,6,0,0,0,8,48,2487
Adazu,0,0,0,8,0,0,0,0,8,48,2487
Farmer,0,0,0,1,7,0,0,0,8,48,2487
Cocktail Hacendado,0,0,0,8,0,0,0,0,8,48,2487
Dalphin,0,0,0,8,0,0,0,0,8,48,2487
Highway,0,0,0,8,0,0,0,0,8,48,2487
Хрусteam,0,0,0,8,0,0,0,0,8,48,2487
Dana,0,0,0,2,6,0,0,0,8,48,2487
KULT,0,0,0,0,0,8,0,0,8,48,2487
Прима,0,0,0,8,0,0,0,0,8,48,2487
Садочок,0,0,0,8,0,0,0,0,8,48,2487
Melkunie,0,0,0,8,0,0,0,0,8,48,2487
Компания «Київський Бкк»,0,0,0,8,0,0,0,0,8,48,2487
River,0,0,0,8,0,0,0,0,8,48,2487
Quöllfrisch,0,0,0,8,0,0,0,0,8,48,2487
Vasos De Plástico,0,0,0,8,0,0,0,0,8,48,2487
Red Band,0,0,0,8,0,0,0,0,8,48,2487
Авк,0,0,0,0,0,8,0,0,8,48,2487
Tuc (Mondelez),0,0,0,8,0,0,0,0,8,48,2487
Велмарт,0,0,0,8,0,0,0,0,8,48,2487
Tuc,0,0,0,6,0,2,0,0,8,48,2487
Козацька Слава,0,0,0,8,0,0,0,0,8,48,2487
Risi,0,0,0,8,0,0,0,0,8,48,2487
Petrol,0,0,0,7,1,0,0,0,8,48,2487
Нестле,0,0,8,0,0,0,0,0,8,48,2487
Top Series (Пп Пріора),0,0,0,8,0,0,0,0,8,48,2487
Bifi,0,0,0,8,0,0,0,0,8,48,2487
Good Food Company,0,0,0,7,0,0,0,0,7,48,2487
Campina,0,0,0,7,0,0,0,0,7,48,2487
Staropramen,0,0,0,5,2,0,0,0,7,48,2487
Venco,0,0,0,7,0,0,0,0,7,48,2487
Storck,0,0,0,7,0,0,0,0,7,48,2487
Sisi,0,0,0,7,0,0,0,0,7,48,2487
Triskis Risi,0,0,0,7,0,0,0,0,7,48,2487
Bond,0,0,0,7,0,0,0,0,7,48,2487
Rocket Espresso,0,0,0,7,0,0,0,0,7,48,2487
Brunette,0,0,0,7,0,0,0,0,7,48,2487
Bros,0,0,0,7,0,0,0,0,7,48,2487
Romashka Roshen,0,0,0,7,0,0,0,0,7,48,2487
West Imperial Brands Tobacco Company),0,0,0,7,0,0,0,0,7,48,2487
Marvel,0,0,0,7,0,0,0,0,7,48,2487
West (Imperial Tobacco),0,0,0,7,0,0,0,0,7,48,2487
Blanc 1664,0,0,0,7,0,0,0,0,7,48,2487
"Сompany ""August Storck Kg""",0,0,0,7,0,0,0,0,7,48,2487
Cesu Bruzu Gaisais,0,0,0,7,0,0,0,0,7,48,2487
Pascual Bifrutas,0,0,0,7,0,0,0,0,7,48,2487
Галичина,0,0,0,5,2,0,0,0,7,48,2487
Napoleon,0,0,0,7,0,0,0,0,7,48,2487
Олком,0,0,0,7,0,0,0,0,7,48,2487
Anker Innovations,0,0,0,7,0,0,0,0,7,48,2487
Jacobs,0,0,0,7,0,0,0,0,7,48,2487
Winstone,0,0,0,7,0,0,0,0,7,48,2487
Прилуки,0,0,0,7,0,0,0,0,7,48,2487
Ls,0,0,0,6,0,0,0,0,6,48,2487
Swiss Alpina,0,0,0,0,3,3,0,0,6,48,2487
Lucky Strike (Brittish American Tobbaco Group),0,0,0,6,0,0,0,0,6,48,2487
Чумак,0,0,0,6,0,0,0,0,6,48,2487
Fuse Tea,0,0,0,2,4,0,0,0,6,48,2487
Tatto Gim,0,0,0,0,0,6,0,0,6,48,2487
Перша Приватна Броварня,0,0,0,0,6,0,0,0,6,48,2487
Пп Свинцов,0,0,0,6,0,0,0,0,6,48,2487
Львівське 1715,0,0,0,5,1,0,0,0,6,48,2487
Фора,0,0,6,0,0,0,0,0,6,48,2487
Snickers (Mars),0,0,2,4,0,0,0,0,6,48,2487
Премія,0,0,0,6,0,0,0,0,6,48,2487
Wilhelminapepermunt,0,0,0,6,0,0,0,0,6,48,2487
Лакомка,0,0,0,6,0,0,0,0,6,48,2487
Novus,0,0,0,6,0,0,0,0,6,48,2487
P&S,0,0,0,6,0,0,0,0,6,48,2487
Jumpers,0,0,0,6,0,0,0,0,6,48,2487
Grimberger,0,0,0,6,0,0,0,0,6,48,2487
"Тов ""Атб-Маркет""",0,0,0,6,0,0,0,0,6,48,2487
Vanilla Dream,0,0,0,6,0,0,0,0,6,48,2487
HUG,0,0,0,6,0,0,0,0,6,48,2487
Jojitos,0,0,0,6,0,0,0,0,6,48,2487
Yogur Liquido Hacendado,0,6,0,0,0,0,0,0,6,48,2487
Villiger-Kiel,0,0,0,6,0,0,0,0,6,48,2487
Pipas,0,0,0,6,0,0,0,0,6,48,2487
Оболонська Мінеральна Вода,0,0,0,0,6,0,0,0,6,48,2487
"Карпатська Джерельна, Тов «Карпатські Мінеральні Води»",0,0,0,0,6,0,0,0,6,48,2487
P&G,0,0,0,6,0,0,0,0,6,48,2487
Denner,0,0,0,6,0,0,0,0,6,48,2487
Acqua Bonna,0,0,0,6,0,0,0,0,6,48,2487
Caramelos Haribo,0,0,0,6,0,0,0,0,6,48,2487
Cesu Light,0,0,0,6,0,0,0,0,6,48,2487
Lāčplēsis,0,0,0,0,5,0,0,0,5,48,2487
Tena,0,0,0,5,0,0,0,0,5,48,2487
Tervete,0,0,0,5,0,0,0,0,5,48,2487
Mangaļi,0,0,0,0,5,0,0,0,5,48,2487
Isla,0,0,0,5,0,0,0,0,5,48,2487
Patatas Añavieja,0,0,0,5,0,0,0,0,5,48,2487
"Молокія - ""Тернопільський Молокозавод""",0,0,0,5,0,0,0,0,5,48,2487
Rothmans (International),0,0,0,5,0,0,0,0,5,48,2487
Vitell,0,0,0,0,0,5,0,0,5,48,2487
Karums,0,0,0,5,0,0,0,0,5,48,2487
Choco Crack,0,0,0,5,0,0,0,0,5,48,2487
PMFTC,0,0,0,5,0,0,0,0,5,48,2487
Megaforce,0,0,0,5,0,0,0,0,5,48,2487
Frasassi,0,0,0,0,5,0,0,0,5,48,2487
"Big Bob, Тов ""Снек Продакшн""",0,0,0,5,0,0,0,0,5,48,2487
Baltica,0,0,0,5,0,0,0,0,5,48,2487
Vifit,0,0,0,5,0,0,0,0,5,48,2487
Ideal Nemoloko,0,0,0,5,0,0,0,0,5,48,2487
Darvida,0,0,0,5,0,0,0,0,5,48,2487
Frutabella,0,0,5,0,0,0,0,0,5,48,2487
"O, Organic Milk",0,0,0,0,5,0,0,0,5,48,2487
Bolletje,0,0,0,5,0,0,0,0,5,48,2487
Aperitivo Marjo,0,0,0,5,0,0,0,0,5,48,2487
Artek,0,0,0,5,0,0,0,0,5,48,2487
Valora,0,0,0,5,0,0,0,0,5,48,2487
Schoko Bons,0,0,0,5,0,0,0,0,5,48,2487
Schutters,0,0,0,5,0,0,0,0,5,48,2487
"Тм Мороша, Виробник Удк",0,0,0,5,0,0,0,0,5,48,2487
Long Drink Cesu,0,0,0,0,5,0,0,0,5,48,2487
"Тм Первак, Виробник Удк",0,0,0,5,0,0,0,0,5,48,2487
Black Honey,0,0,0,5,0,0,0,0,5,48,2487
Staburags,0,0,0,5,0,0,0,0,5,48,2487
Aldi,0,0,0,5,0,0,0,0,5,48,2487
Zest-O Corporation,0,0,0,5,0,0,0,0,5,48,2487
Qurellbrunn,0,0,0,5,0,0,0,0,5,48,2487
Львівське (Карлсберг),0,0,0,5,0,0,0,0,5,48,2487
Zelta Cider,0,0,0,5,0,0,0,0,5,48,2487
L&M (Philip Morris),0,0,0,5,0,0,0,0,5,48,2487
Blendergroup,0,0,0,0,4,0,0,0,4,48,2487
Okko,0,0,0,4,0,0,0,0,4,48,2487
Балтика,0,0,1,2,1,0,0,0,4,48,2487
Street Ads,0,0,0,4,0,0,0,0,4,48,2487
"Тов ""Клуб Сиру""",0,0,0,4,0,0,0,0,4,48,2487
Преміум Екстра Брю Оболонь,0,0,0,0,4,0,0,0,4,48,2487
SAN MIGUEL,0,0,0,4,0,0,0,0,4,48,2487
Світле Оболонь,0,0,0,1,3,0,0,0,4,48,2487
Bud Пиво (Сан Інбев Україна),0,0,0,4,0,0,0,0,4,48,2487
Frey,0,0,0,4,0,0,0,0,4,48,2487
Bud Пиво,0,0,0,4,0,0,0,0,4,48,2487
Dr Pepper Snapple Group,0,0,0,0,4,0,0,0,4,48,2487
Zweifel,0,0,0,4,0,0,0,0,4,48,2487
Oriflame,0,0,0,4,0,0,0,0,4,48,2487
Zoriane Siayvo,0,0,0,4,0,0,0,0,4,48,2487
Protein Bar,0,0,0,2,1,1,0,0,4,48,2487
La Café,0,0,0,4,0,0,0,0,4,48,2487
Stimorol,0,0,0,4,0,0,0,0,4,48,2487
Загора,0,0,0,4,0,0,0,0,4,48,2487
Helado,0,0,0,4,0,0,0,0,4,48,2487
Mortadela,0,0,0,2,0,2,0,0,4,48,2487
Diageo,0,0,0,4,0,0,0,0,4,48,2487
Закарпатське Пиво (Сан Інбев Україна),0,0,0,0,4,0,0,0,4,48,2487
"Тм Миронівська, Виробник Лікеро-Горілчаний Завод Прайм",0,0,0,4,0,0,0,0,4,48,2487
Latte Menta,0,0,0,0,0,4,0,0,4,48,2487
Agua Peñaclara,0,4,0,0,0,0,0,0,4,48,2487
Закарпатське Пиво,0,0,0,0,4,0,0,0,4,48,2487
"Пиво ""Корона""",0,0,0,4,0,0,0,0,4,48,2487
"Пиво ""Корона"" (Сан Інбев Україна)",0,0,0,4,0,0,0,0,4,48,2487
Borjomi,0,0,0,1,3,0,0,0,4,48,2487
"Тм Шустов, Виробник Одеський Коньячний Завод",0,0,0,4,0,0,0,0,4,48,2487
Berg Konig,0,0,0,4,0,0,0,0,4,48,2487
Glusco,0,0,0,4,0,0,0,0,4,48,2487
Київ,0,0,0,4,0,0,0,0,4,48,2487
Оболонь Пиво Світле,0,0,0,4,0,0,0,0,4,48,2487
Bebida Gourmet,0,0,0,0,4,0,0,0,4,48,2487
Gelees,0,0,0,0,0,4,0,0,4,48,2487
"Тов Акама (""Своя Лінія"")",0,0,0,4,0,0,0,0,4,48,2487
Staropramen (Сан Інбев Україна),0,0,0,1,3,0,0,0,4,48,2487
"Lactel - ""Дольче""",0,0,0,4,0,0,0,0,4,48,2487
sorgesana,0,0,0,0,4,0,0,0,4,48,2487
Wog,0,0,0,4,0,0,0,0,4,48,2487
"Фоп ""Попше Н.В""",0,0,0,4,0,0,0,0,4,48,2487
Wipes,0,0,0,4,0,0,0,0,4,48,2487
Старий Мельник (Сан Інбев Україна),0,0,0,4,0,0,0,0,4,48,2487
Bounty (Mars),0,0,0,4,0,0,0,0,4,48,2487
Konti,0,0,0,4,0,0,0,0,4,48,2487
Старий Мельник,0,0,0,4,0,0,0,0,4,48,2487
Patatas Fritas Día,0,0,0,4,0,0,0,0,4,48,2487
Maketti,0,0,0,4,0,0,0,0,4,48,2487
Pringles(Kellog Europe Trading Limited),0,0,0,4,0,0,0,0,4,48,2487
Kronenburg,0,0,0,4,0,0,0,0,4,48,2487
Chesterfield (Philip Morris),0,0,0,4,0,0,0,0,4,48,2487
Šumi,0,0,0,0,0,4,0,0,4,48,2487
Кока Кола,0,0,0,0,4,0,0,0,4,48,2487
Fizzy,0,0,0,0,0,4,0,0,4,48,2487
Emmi,0,0,0,0,0,4,0,0,4,48,2487
Хрусteam (Sandora),0,0,0,4,0,0,0,0,4,48,2487
Vogue,0,0,0,4,0,0,0,0,4,48,2487
Choco Rice,0,0,0,4,0,0,0,0,4,48,2487
Livu Alus,0,0,0,0,4,0,0,0,4,48,2487
Bronhi,0,0,0,0,0,4,0,0,4,48,2487
Megamix,0,0,0,4,0,0,0,0,4,48,2487
Chocolat Halba,0,0,0,3,0,0,0,0,3,48,2487
"Semki, Ipg Crisps Production",0,0,0,3,0,0,0,0,3,48,2487
Löwenbräu,0,0,0,3,0,0,0,0,3,48,2487
Luglio,0,0,0,3,0,0,0,0,3,48,2487
Stella Artois,0,0,0,3,0,0,0,0,3,48,2487
Тм Золотий Резерв,0,0,0,3,0,0,0,0,3,48,2487
Aspil,0,0,0,3,0,0,0,0,3,48,2487
"Слов'Яночка - ""Вімм - Білль - Данн""",0,0,0,1,2,0,0,0,3,48,2487
Monster (Beverage Corporation),0,0,0,3,0,0,0,0,3,48,2487
Закарпатське,0,0,0,1,2,0,0,0,3,48,2487
Morshinska,0,0,0,0,3,0,0,0,3,48,2487
Solares,0,3,0,0,0,0,0,0,3,48,2487
Airwaves (Wrigley),0,0,0,3,0,0,0,0,3,48,2487
Symply,0,0,0,3,0,0,0,0,3,48,2487
Sendvič*,0,0,0,0,0,3,0,0,3,48,2487
Cido,0,0,0,3,0,0,0,0,3,48,2487
Jägermeister,0,0,0,3,0,0,0,0,3,48,2487
Рогань,0,0,0,0,3,0,0,0,3,48,2487
Санта Бремор,0,0,0,3,0,0,0,0,3,48,2487
Toffi,0,0,0,3,0,0,0,0,3,48,2487
Jack Daniels Whiskey,0,0,0,0,3,0,0,0,3,48,2487
"Тм ""Ама""",0,0,2,1,0,0,0,0,3,48,2487
Akvile Still,0,0,0,0,3,0,0,0,3,48,2487
Blevita,0,0,0,3,0,0,0,0,3,48,2487
Simid Dobrudzha,0,0,0,0,0,3,0,0,3,48,2487
Migros (M Budget),0,0,0,3,0,0,0,0,3,48,2487
"Тм Nemiroff, Виробник Лвн Лимитед",0,0,0,3,0,0,0,0,3,48,2487
Gusanitos Risi,0,0,0,3,0,0,0,0,3,48,2487
Shwerwood Cider,0,0,0,0,3,0,0,0,3,48,2487
"Heineken, Виробник Родомишленик",0,0,0,3,0,0,0,0,3,48,2487
Ice Beer,0,0,0,3,0,0,0,0,3,48,2487
Терра Фуд (Тмзолотий Резерв),0,0,0,3,0,0,0,0,3,48,2487
Рогань (Сан Інбев Україна),0,0,0,0,3,0,0,0,3,48,2487
Altes Tramdepot (Bern),0,0,0,3,0,0,0,0,3,48,2487
Teva,0,0,0,3,0,0,0,0,3,48,2487
Mitava,0,0,0,3,0,0,0,0,3,48,2487
Ашан,0,0,0,2,0,0,1,0,3,48,2487
Société Bic,0,0,0,3,0,0,0,0,3,48,2487
Природне Джерело,0,0,0,3,0,0,0,0,3,48,2487
Kredens Café,0,0,0,3,0,0,0,0,3,48,2487
Tuborg,0,0,0,3,0,0,0,0,3,48,2487
Казкове Молоко Молокія,0,0,0,3,0,0,0,0,3,48,2487
Миргородська,0,0,0,3,0,0,0,0,3,48,2487
Enjoy,0,0,0,2,1,0,0,0,3,48,2487
Salalat,0,0,0,3,0,0,0,0,3,48,2487
Zelta Premium,0,0,0,3,0,0,0,0,3,48,2487
Fruitella,0,0,0,3,0,0,0,0,3,48,2487
Fried,0,0,0,0,0,3,0,0,3,48,2487
"Тов ""Фірма ""Фавор"" (Тм ""Ама"")",0,0,0,3,0,0,0,0,3,48,2487
Zala - Union Laško (Heineken),0,0,0,0,0,3,0,0,3,48,2487
Макдональдз,0,0,0,3,0,0,0,0,3,48,2487
Vegetus Соус,0,0,0,3,0,0,0,0,3,48,2487
Марс,0,0,3,0,0,0,0,0,3,48,2487
Fini,0,0,0,3,0,0,0,0,3,48,2487
spa,0,0,0,0,3,0,0,0,3,48,2487
Underberg,0,1,1,1,0,0,0,0,3,48,2487
Rocchetta,0,0,0,0,0,3,0,0,3,48,2487
Peroni,0,0,0,3,0,0,0,0,3,48,2487
1715,0,0,0,3,0,0,0,0,3,48,2487
Агуша,0,0,0,3,0,0,0,0,3,48,2487
Sausage,0,0,0,3,0,0,0,0,3,48,2487
Burn,0,0,0,3,0,0,0,0,3,48,2487
RBC Group,0,0,0,1,2,0,0,0,3,48,2487
Active Nutrition,0,0,0,3,0,0,0,0,3,48,2487
Ямуна,0,0,0,3,0,0,0,0,3,48,2487
Union,0,0,0,3,0,0,0,0,3,48,2487
Щедро,0,0,0,3,0,0,0,0,3,48,2487
Пенное Пиво Оболонь,0,0,0,0,3,0,0,0,3,48,2487
Кулиничі,0,0,3,0,0,0,0,0,3,48,2487
Pipas Tijuana,0,0,0,2,0,0,0,0,2,48,2487
Luky Strike,0,0,0,2,0,0,0,0,2,48,2487
Cailler,0,0,0,2,0,0,0,0,2,48,2487
Sony,0,0,0,2,0,0,0,0,2,48,2487
Choco & Caramel,0,0,0,0,0,2,0,0,2,48,2487
Ricola,0,0,0,2,0,0,0,0,2,48,2487
Blue Sky,0,0,0,0,0,2,0,0,2,48,2487
Lučka,0,0,0,0,0,2,0,0,2,48,2487
Круїзпродукт,0,0,0,2,0,0,0,0,2,48,2487
"Селянське - ""Люстдорф""",0,0,0,2,0,0,0,0,2,48,2487
