song_id,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity
Redneck FriendJackson Browne,Jackson Browne,Redneck Friend,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0Idxq1IPvjjctgd7lRxSBh,https://p.scdn.co/mp3-preview/8448c02238f255d1c2ee9f70fc64adabeecb7ce9?cid=b8d3901151d34489a160e3cf0ab1fa94,271013,FALSE,Solo Acoustic Volume 2,0.496,0.464,3,-9.221,1,0.0665,0.809,7.42e-5,0.705,0.625,152.614,4,20
Redneck GamesJeff Foxworthy With Alan Jackson,Jeff Foxworthy With Alan Jackson,Redneck Games,NA,6oZwD4YevotSwILeiigaPt,https://p.scdn.co/mp3-preview/925067aa8b5883cfa496b01aa7b8aa8601eb7d86?cid=b8d3901151d34489a160e3cf0ab1fa94,207773,FALSE,Greatest Bits,0.759,0.667,4,-9.569,1,0.0575,0.102,0,0.324,0.599,120.082,4,17
Redneck StompJeff Foxworthy,Jeff Foxworthy,Redneck Stomp,"['clean comedy', 'comedy', 'comic']",5IoT4k9euck5Odi3QJdvak,https://p.scdn.co/mp3-preview/f63ed93657374d77fe527d432636492dcc0a704f?cid=b8d3901151d34489a160e3cf0ab1fa94,177933,FALSE,Greatest Bits,0.713,0.966,8,-6.256,1,0.198,0.144,0,0.303,0.73,107.218,4,13
Redneck WomanGretchen Wilson,Gretchen Wilson,Redneck Woman,"['contemporary country', 'country', 'country dawn', 'country road']",26bL4gSULWDgdIMX0pRFrG,https://p.scdn.co/mp3-preview/ad66fb50ac360c1e91fd053e5ec0add7fcffc724?cid=b8d3901151d34489a160e3cf0ab1fa94,221333,FALSE,Here For The Party,0.499,0.825,6,-5.146,1,0.177,0.13,0,0.306,0.753,185.069,4,58
Redneck Yacht ClubCraig Morgan,Craig Morgan,Redneck Yacht Club,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",4etE2X6t7GmyiuYLIdI8H5,https://p.scdn.co/mp3-preview/180550eb9cb41abf4444242dc35f342143a499bf?cid=b8d3901151d34489a160e3cf0ab1fa94,230373,FALSE,My Kind Of Livin',0.49,0.817,8,-5.405,1,0.0355,0.455,0,0.0885,0.808,168.115,4,65
RedTaylor Swift,Taylor Swift,Red,"['pop', 'post-teen pop']",0cITLOYn1Sv4q27zZPqlNK,NA,220826,FALSE,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'available_markets': ['CA', 'US'], 'external_urls': {'spotify': 'https://open.spotify.com/album/1EoDsNmgTLtmwe1BDAVxV5'}, 'href': 'https://api.spotify.com/v1/albums/1EoDsNmgTLtmwe1BDAVxV5', 'id': '1EoDsNmgTLtmwe1BDAVxV5', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27396384c98ac4f3e7c2440f5b5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0296384c98ac4f3e7c2440f5b5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485196384c98ac4f3e7c2440f5b5', 'width': 64}], 'name': 'Red', 'release_date': '2012-10-22', 'release_date_precision': 'day', 'total_tracks': 16, 'type': 'album', 'uri': 'spotify:album:1EoDsNmgTLtmwe1BDAVxV5'}",0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-5,0.091,0.641,124.978,4,62
Redwood TreeVan Morrison,Van Morrison,Redwood Tree,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",1mII4seqf75hdRck1MzKwz,https://p.scdn.co/mp3-preview/5b8698013962925e01db166329cf3f9e51645111?cid=b8d3901151d34489a160e3cf0ab1fa94,185200,FALSE,Saint Dominic's Preview,0.6,0.585,2,-9.38,1,0.0282,0.399,3.73e-6,0.23,0.862,120.495,4,42
Reelin' & Rockin'Chuck Berry,Chuck Berry,Reelin' & Rockin',"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",4goByJ8dubc57qxiT7AH9p,NA,195186,FALSE,One Dozen Berry's,0.615,0.721,0,-6.601,1,0.0531,0.812,0,0.0674,0.949,170.853,4,41
Reelin' And Rockin'The Dave Clark Five,The Dave Clark Five,Reelin' And Rockin',"['brill building pop', 'british invasion', 'bubblegum pop', 'classic garage rock', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']",1WFcTRgWV7v5Otur5li1QT,https://p.scdn.co/mp3-preview/1df579f5583fd544e9b849bfc6b8c0792054db4d?cid=b8d3901151d34489a160e3cf0ab1fa94,167360,FALSE,The Hits (2019 - Remaster),0.538,0.794,7,-8.145,1,0.0857,0.236,3.16e-6,0.085,0.95,91.11,4,15
Reeling In The YearsSteely Dan,Steely Dan,Reeling In The Years,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'yacht rock']",3Xe4JagghOfs9NF1xaqbb8,NA,278800,FALSE,A Decade Of Steely Dan,0.527,0.758,2,-10.294,1,0.0403,0.135,0,0.0808,0.77,135.2,4,39
Reflections Of My LifeThe Marmalade,The Marmalade,Reflections Of My Life,[],2DASj6MN2XNsc2bttRBRbq,https://p.scdn.co/mp3-preview/4eb5cfab664879d640d47dc0a45215cfe44e4105?cid=b8d3901151d34489a160e3cf0ab1fa94,306263,FALSE,In Concert,0.497,0.622,7,-6.404,1,0.0463,0.835,2.81e-5,0.944,0.407,94.712,4,24
ReflectionsDiana Ross & The Supremes,Diana Ross & The Supremes,Reflections,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",4yChgYDVcQrAgIEIErW27b,NA,169893,FALSE,Reflections (Expanded Edition),0.687,0.45,1,-10.379,1,0.0258,0.273,0,0.0694,0.752,99.832,4,51
ReflektorArcade Fire,Arcade Fire,Reflektor,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'chamber pop', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']",2LWMF10STZqYY9a3YqBiOG,NA,453949,FALSE,Reflektor,0.59,0.721,11,-8.32,0,0.0317,0.0438,0.0155,0.352,0.656,111.524,4,58
