yearofbirth,sex,age,percentile,dx,ex,llx,lx,mx,px,qx,sx
1876,female,38,5,364,35.8,69229,69410,0.0053,0.9948,0.0052,0.9948
1876,female,38,95,364,35.8,69229,69410,0.0053,0.9948,0.0052,0.9948
1876,female,38,median,364,35.8,69229,69410,0.0053,0.9948,0.0052,0.9948
1876,female,39,5,363,35,68865,69047,0.0053,0.9947,0.0053,0.9947
1876,female,39,95,363,35,68865,69047,0.0053,0.9947,0.0053,0.9947
1876,female,39,median,363,35,68865,69047,0.0053,0.9947,0.0053,0.9947
1876,female,40,5,368,34.2,68500,68684,0.0054,0.9946,0.0054,0.9938
1876,female,40,95,368,34.2,68500,68684,0.0054,0.9946,0.0054,0.9938
1876,female,40,median,368,34.2,68500,68684,0.0054,0.9946,0.0054,0.9938
1876,female,41,5,482,33.4,68075,68316,0.0071,0.9929,0.0071,0.9924
1876,female,41,95,482,33.4,68075,68316,0.0071,0.9929,0.0071,0.9924
1876,female,41,median,482,33.4,68075,68316,0.0071,0.9929,0.0071,0.9924
1876,female,42,5,559,32.6,67554,67834,0.0083,0.9918,0.0082,0.993
1876,female,42,95,559,32.6,67554,67834,0.0083,0.9918,0.0082,0.993
1876,female,42,median,559,32.6,67554,67834,0.0083,0.9918,0.0082,0.993
1876,female,43,5,393,31.9,67078,67275,0.0059,0.9942,0.0058,0.9933
1876,female,43,95,393,31.9,67078,67275,0.0059,0.9942,0.0058,0.9933
1876,female,43,median,393,31.9,67078,67275,0.0059,0.9942,0.0058,0.9933
1876,female,44,5,500,31.1,66632,66882,0.0075,0.9925,0.0075,0.9931
1876,female,44,95,500,31.1,66632,66882,0.0075,0.9925,0.0075,0.9931
1876,female,44,median,500,31.1,66632,66882,0.0075,0.9925,0.0075,0.9931
1876,female,45,5,424,30.3,66170,66382,0.0064,0.9936,0.0064,0.9939
1876,female,45,95,424,30.3,66170,66382,0.0064,0.9936,0.0064,0.9939
1876,female,45,median,424,30.3,66170,66382,0.0064,0.9936,0.0064,0.9939
1876,female,46,5,388,29.5,65764,65958,0.0059,0.9941,0.0059,0.9937
1876,female,46,95,388,29.5,65764,65958,0.0059,0.9941,0.0059,0.9937
1876,female,46,median,388,29.5,65764,65958,0.0059,0.9941,0.0059,0.9937
1876,female,47,5,441,28.7,65350,65570,0.0067,0.9933,0.0067,0.9928
1876,female,47,95,441,28.7,65350,65570,0.0067,0.9933,0.0067,0.9928
1876,female,47,median,441,28.7,65350,65570,0.0067,0.9933,0.0067,0.9928
1876,female,48,5,496,27.9,64882,65129,0.0076,0.9924,0.0076,0.9925
1876,female,48,95,496,27.9,64882,65129,0.0076,0.9924,0.0076,0.9925
1876,female,48,median,496,27.9,64882,65129,0.0076,0.9924,0.0076,0.9925
1876,female,49,5,478,27.1,64395,64634,0.0074,0.9926,0.0074,0.9921
1876,female,49,95,478,27.1,64395,64634,0.0074,0.9926,0.0074,0.9921
1876,female,49,median,478,27.1,64395,64634,0.0074,0.9926,0.0074,0.9921
1876,female,50,5,541,26.3,63885,64156,0.0085,0.9916,0.0084,0.9916
1876,female,50,95,541,26.3,63885,64156,0.0085,0.9916,0.0084,0.9916
1876,female,50,median,541,26.3,63885,64156,0.0085,0.9916,0.0084,0.9916
1876,female,51,5,538,25.5,63346,63615,0.0085,0.9915,0.0085,0.9911
1876,female,51,95,538,25.5,63346,63615,0.0085,0.9915,0.0085,0.9911
1876,female,51,median,538,25.5,63346,63615,0.0085,0.9915,0.0085,0.9911
1876,female,52,5,589,24.7,62782,63077,0.0094,0.9907,0.0093,0.9904
1876,female,52,95,589,24.7,62782,63077,0.0094,0.9907,0.0093,0.9904
1876,female,52,median,589,24.7,62782,63077,0.0094,0.9907,0.0093,0.9904
1876,female,53,5,618,23.9,62179,62488,0.0099,0.9901,0.0099,0.9901
1876,female,53,95,618,23.9,62179,62488,0.0099,0.9901,0.0099,0.9901
1876,female,53,median,618,23.9,62179,62488,0.0099,0.9901,0.0099,0.9901
1876,female,54,5,615,23.2,61562,61869,0.01,0.9901,0.0099,0.9895
1876,female,54,95,615,23.2,61562,61869,0.01,0.9901,0.0099,0.9895
1876,female,54,median,615,23.2,61562,61869,0.01,0.9901,0.0099,0.9895
1876,female,55,5,683,22.4,60913,61255,0.0112,0.9888,0.0112,0.9894
