Company,Pride Event Sponsored,"Sponsorship Amount, where available",Year,Source,True donor value
BFA Images Matter,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,BFA Images Matter
Binske,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
bio magazine,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,NA
Biomarin,SF Pride,Donor,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,"bioMarin
 bio marin"
Boston Scientific,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,Boston Scientific
Botanicals,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Brightline,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Brightline
Broadway Capitol Hill,Seattle Pridefest,Platinum Sponsors,2022,https://www.seattlepridefest.org/sponsors/,NA
"Brooklyn Pride, Inc",NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Bubbli Sparkling Wine,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,Bellini Bubbli
Bud Light,NYC Pride,Gold Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Budweiser
Bud Light,Houston Pride,Platinum,2022,https://pridehouston.org/pride-sponsors/,Budweiser
Bud Light,Houston Pride,Presenting Partners,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Budweiser
Budlight Seltzer,SF Pride,Commemorative Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Budweiser
Budlight Seltzer,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,Budweiser
c89.5,Seattle Pridefest,Media and Community Sponsors,2022,https://www.seattlepridefest.org/sponsors/,NA
Callen-Lorde,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Capital One,Miami Pride,Advocate Partners,2021,https://www.miamibeachpride.com/sponsor,Capital One
Capitol Hill Seattle Blog,Seattle Pridefest,Media and Community Sponsors,2022,https://www.seattlepridefest.org/sponsors/,NA
Celebrity X Cruises,Miami Pride,Presenting Partners,2021,https://www.miamibeachpride.com/sponsor,Royal Caribbean Group
CenterLink,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
CeraVe,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,L'Oreal
Chase,NYC Pride,Gold Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Chase
Chevron,Houston Pride,Bronze,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Chevron
Chiro One,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,NA
Citi,NYC Pride,Gold Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Citi
Clevelander South Beach,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Coca Cola,LA Pride,Activists,2022,https://lapride.org/2022-sponsors/,Coca Cola
Coca Cola,Atlanta Pride,Rainbow Sponsors,2021,https://www.atlantapride.org/our_partners/,Coca Cola
Coca Cola,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,Coca Cola
Come Out with Pride,Miami Pride,Advocate Partners,2021,https://www.miamibeachpride.com/sponsor,NA
conocoPhillips,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,conocoPhillips
Copenhagen Pride,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
COX,Atlanta Pride,Rainbow Sponsors,2021,https://www.atlantapride.org/our_partners/,Cox Enterprises
Culture,Seattle Pridefest,Silver Sponsors,2022,https://www.seattlepridefest.org/sponsors/,NA
Culture Builds Florida,Miami Pride,Platinum Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Cupcake Vineyards,Atlanta Pride,Gold Sponsors,2021,https://www.atlantapride.org/our_partners/,Cupcake Vineyards
CutCo,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,CutCo
Cutwater Spirits,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,Cutwater Spirits
Danone North America,NYC Pride,Silver Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Danone North America
Delta,Seattle Pridefest,Presenting Sponsor,2022,https://www.seattlepridefest.org/sponsors/,Delta
Delta,LA Pride,Activists,2022,https://lapride.org/2022-sponsors/,Delta
Delta,Atlanta Pride,Rainbow Sponsors,2021,https://www.atlantapride.org/our_partners/,Delta
Delta,Miami Pride,Platinum Partners,2021,https://www.miamibeachpride.com/sponsor,Delta
Demesmin & Dover,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Demesmin
Deutsche Bank,NYC Pride,Platinum Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Deutsche Bank
Diet Coke,NYC Pride,Gold Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Coca Cola
discovery+,LA Pride,Hero Sponsor,2022,https://lapride.org/2022-sponsors/,WarnerMedia
dntl Bar,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
edge media network,NYC Pride,Bronze media sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Edge Media Network
Emory Healthcare,Atlanta Pride,Bronze,2021,https://www.atlantapride.org/our_partners/,NA
Empire State Building Lighting Partner,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Entercom,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Audacy
Enterprise,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,Enterprise
Enterprise Holdings,Atlanta Pride,Rainbow Sponsors,2021,https://www.atlantapride.org/our_partners/,Enterprise
Equality New York,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Equifax,Atlanta Pride,Bronze,2021,https://www.atlantapride.org/our_partners/,Equifax
Equity Residential,LA Pride,Allies,2022,https://lapride.org/2022-sponsors/,Equity Residential
Family Equality Council,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Fed Ex,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Fed Ex
Fertility Centers of Illinois,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,NA
Fiserv,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,Fiserv
Florida Humanities,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Folsom Street East,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Football Unites Baptist Health,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Frameline45,SF Pride,Community Partners,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
Fresh from Florida,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Friendly John,Miami Pride,Bronze Partners,2021,https://www.miamibeachpride.com/sponsor,Friendly John
Front Runners New York,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Gabriel South Beath,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Hilton
Gay & Sober,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
gay travel,NYC Pride,promotional partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
gcn,NYC Pride,Silver Media Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Global Cycling Network
Geeks Out,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
GEICO,Seattle Pridefest,Silver Sponsors,2022,https://www.seattlepridefest.org/sponsors/,GEICO
GEICO,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,GEICO
GEICO,Houston Pride,Silver,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,GEICO
GEICO,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,GEICO
Gender Unlimited Global,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Georgia Power,Atlanta Pride,Silver,2021,https://www.atlantapride.org/our_partners/,"Southern Company (Georgia Power, Alabama Power, Mississipi Power)"
Georgia Voice,Atlanta Pride,Gold Sponsors,2021,https://www.atlantapride.org/our_partners/,NA
Get Out!,NYC Pride,Silver Media Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Gilead,Houston Pride,Gold,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Gilead
glaad,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
GLBT Historical Society Museum & Archives,SF Pride,Community Partners,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,NA
GLITS,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Global Black Gay Men Connect,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Glow Recipe,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
"GMHC, End AIDS",NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Go Pride,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,NA
Go! Magazine,NYC Pride,Gold Media Sponsor,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Modern Spin Media
God's Love We Deliver,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Gotham Cheer,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
GRAB,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,NA
Graduate Roosevelt Island,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Grady,Atlanta Pride,Gold Sponsors,2021,https://www.atlantapride.org/our_partners/,Grady Health
Greater Miami Convention & Visitors Bureau,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,NA
GreyStar,Houston Pride,Bronze,2022,https://pridehouston.org/pride-sponsors/,GreyStar
Grindr,LA Pride,Activists,2022,https://lapride.org/2022-sponsors/,Grindr
Gundlach Bundschu,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Gundlach Bundschu
Harlem Pride,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Heineken,Atlanta Pride,Rainbow Sponsors,2021,https://www.atlantapride.org/our_partners/,Heineken
Henrietta Hudson,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Herradura,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Hilton Americas-Houston,Houston Pride,Ruby,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Hilton
Hilton San Fransisco Union Square,SF Pride,Travel Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Hilton
Hornet,NYC Pride,Gold Media Sponsor,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Hornet
Hornitos,SF Pride,Supporting Partners,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,Hornitos
Hospital for Special Surgery,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Hospital for Special Surgery
Hot Spots Happening Out,Miami Pride,Media Partners,2021,https://www.miamibeachpride.com/sponsor,NA
HotelPlanner,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,hotelplanner
House Wine,Miami Pride,Advocate Partners,2021,https://www.miamibeachpride.com/sponsor,NA
Houston Dash,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NWSL
Houston Dynamo,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,MLS
hp,Houston Pride,Silver,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,HP
Human Rights Campaign,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Hyatt,NYC Pride,Platinum Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Hyatt
Hyatt,Atlanta Pride,Bronze,2021,https://www.atlantapride.org/our_partners/,Hyatt
IGLTA,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
iHeart 80S 103.7FM,SF Pride,Media Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,iHeart Media
iHeart Media,NYC Pride,Presenting Media Sponsor,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,iHeart Media
iHeart Radio,LA Pride,Media Partner,2022,https://lapride.org/2022-sponsors/,iHeart Media
IHG Hotels and Resorts,Atlanta Pride,Platinum Sponsors,2021,https://www.atlantapride.org/our_partners/,InterContinental Hotels Group
Immigration Equality,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Independent medical group,Miami Pride,Diamond Sponsors,2021,https://www.miamibeachpride.com/sponsor,"Independent Medical Group
 IMG"
Ink,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Ink Entertainment
InterPride,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Israel General Conulate to the Southwest,Houston Pride,Additional,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,NA
It Gets Better Projects,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Jack Daniel's,Houston Pride,Silver,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Jack Daniel's (Brown-Forman)
