Company,Pride Event Sponsored,"Sponsorship Amount, where available",Year,Source,True donor value
Smirnoff,Houston Pride,Ruby,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,Smirnoff
Smirnoff,Atlanta Pride,Diamond Sponsors,2021,https://www.atlantapride.org/our_partners/,Smirnoff
smithsonian,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Smithsonian Institution
Soul Foundation,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
South Beach Moxy,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Marriott
Star 101.3,SF Pride,Media Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,iHeart
Starbucks Pride Network,NYC Pride,Bronze Sponsors,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Starbucks
Starbucks Pride Network,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Starbucks
StateFarm,Atlanta Pride,Gold Sponsors,2021,https://www.atlantapride.org/our_partners/,State Farm
Staten Island Pridefest,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Stonewall Inn,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Suja Organic,Miami Pride,Silver Partners,2021,https://www.miamibeachpride.com/sponsor,Suja Organic
Super Coffee,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,Super Coffee
Sweet Hearts,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,Little Sister Creative
Swish ally fund,NYC Pride,Community Partners,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,NA
Sysco Spectrum,Miami Pride,Gold Partners,2021,https://www.miamibeachpride.com/sponsor,Sysco
T Mobile,SF Pride,Presenting Partner,2021,https://web.archive.org/web/20210601220640/https://sfpride.org/partners,T Mobile/Sprint
T Mobile,NYC Pride,Presenting Sponsor,2021,https://web.archive.org/web/20220218115115/https://www.nycpride.org/pride-partners/partners,T Mobile/Sprint
T Mobile,Seattle Pridefest,Diamond Sponsors,2022,https://www.seattlepridefest.org/sponsors/,T Mobile/Sprint
T Mobile,Chicago Pridefest,NA,2021,https://northalsted.com/pridefest/2021-sponsors/,T Mobile/Sprint
T Mobile,Houston Pride,Presenting Partners,2021,https://web.archive.org/web/20210625072957/https://pridehouston.org/pride-sponsors/,T Mobile/Sprint
T Mobile,Atlanta Pride,Gold Sponsors,2021,https://www.atlantapride.org/our_partners/,T Mobile/Sprint
