date,discipline_code,discipline_name,event_code,event_description,start_datetime_local,end_datetime_local,start_datetime_utc,end_datetime_utc,is_medal_event,is_training,venue_code,venue_name,venue_slug,location_name,location_code,session_code,estimated_start,day_of_week,start_time,end_time
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001001--,Mixed Doubles Round Robin Session 10,2026-02-08T10:05:00Z,2026-02-08T12:05:00Z,2026-02-08T09:05:00Z,2026-02-08T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet A,CUA,OCUR10,FALSE,Monday,10:05:00,12:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001002--,Mixed Doubles Round Robin Session 10,2026-02-08T10:05:00Z,2026-02-08T12:05:00Z,2026-02-08T09:05:00Z,2026-02-08T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet B,CUB,OCUR10,FALSE,Monday,10:05:00,12:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001101--,Mixed Doubles Round Robin Session 11,2026-02-08T14:35:00Z,2026-02-08T16:35:00Z,2026-02-08T13:35:00Z,2026-02-08T15:35:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet A,CUA,OCUR11,FALSE,Monday,14:35:00,16:35:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001102--,Mixed Doubles Round Robin Session 11,2026-02-08T14:35:00Z,2026-02-08T16:35:00Z,2026-02-08T13:35:00Z,2026-02-08T15:35:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet B,CUB,OCUR11,FALSE,Monday,14:35:00,16:35:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001103--,Mixed Doubles Round Robin Session 11,2026-02-08T14:35:00Z,2026-02-08T16:35:00Z,2026-02-08T13:35:00Z,2026-02-08T15:35:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet C,CUC,OCUR11,FALSE,Monday,14:35:00,16:35:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001104--,Mixed Doubles Round Robin Session 11,2026-02-08T14:35:00Z,2026-02-08T16:35:00Z,2026-02-08T13:35:00Z,2026-02-08T15:35:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet D,CUD,OCUR11,FALSE,Monday,14:35:00,16:35:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001201--,Mixed Doubles Round Robin Session 12,2026-02-08T19:05:00Z,2026-02-08T21:05:00Z,2026-02-08T18:05:00Z,2026-02-08T20:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet A,CUA,OCUR12,FALSE,Monday,19:05:00,21:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001202--,Mixed Doubles Round Robin Session 12,2026-02-08T19:05:00Z,2026-02-08T21:05:00Z,2026-02-08T18:05:00Z,2026-02-08T20:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet B,CUB,OCUR12,FALSE,Monday,19:05:00,21:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001203--,Mixed Doubles Round Robin Session 12,2026-02-08T19:05:00Z,2026-02-08T21:05:00Z,2026-02-08T18:05:00Z,2026-02-08T20:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet C,CUC,OCUR12,FALSE,Monday,19:05:00,21:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001204--,Mixed Doubles Round Robin Session 12,2026-02-08T19:05:00Z,2026-02-08T21:05:00Z,2026-02-08T18:05:00Z,2026-02-08T20:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet D,CUD,OCUR12,FALSE,Monday,19:05:00,21:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001301--,Mixed Doubles Round Robin Session 13,2026-02-09T10:05:00Z,2026-02-09T12:05:00Z,2026-02-09T09:05:00Z,2026-02-09T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet A,CUA,OCUR13,FALSE,Monday,10:05:00,12:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001302--,Mixed Doubles Round Robin Session 13,2026-02-09T10:05:00Z,2026-02-09T12:05:00Z,2026-02-09T09:05:00Z,2026-02-09T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet B,CUB,OCUR13,FALSE,Monday,10:05:00,12:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001303--,Mixed Doubles Round Robin Session 13,2026-02-09T10:05:00Z,2026-02-09T12:05:00Z,2026-02-09T09:05:00Z,2026-02-09T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet C,CUC,OCUR13,FALSE,Monday,10:05:00,12:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------PREL001304--,Mixed Doubles Round Robin Session 13,2026-02-09T10:05:00Z,2026-02-09T12:05:00Z,2026-02-09T09:05:00Z,2026-02-09T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet D,CUD,OCUR13,FALSE,Monday,10:05:00,12:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------SFNL000101--,Mixed Doubles Semi-final,2026-02-09T18:05:00Z,2026-02-09T20:05:00Z,2026-02-09T17:05:00Z,2026-02-09T19:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet B,CUB,OCUR14,FALSE,Monday,18:05:00,20:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------SFNL000102--,Mixed Doubles Semi-final,2026-02-09T18:05:00Z,2026-02-09T20:05:00Z,2026-02-09T17:05:00Z,2026-02-09T19:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet D,CUD,OCUR14,FALSE,Monday,18:05:00,20:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------FNL-000201--,Mixed Doubles Bronze Medal Game,2026-02-10T14:05:00Z,2026-02-10T16:05:00Z,2026-02-10T13:05:00Z,2026-02-10T15:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet C,CUC,OCUR15,FALSE,Monday,14:05:00,16:05:00
2026-02-09,CUR,Curling,CURXTEAM2-------------FNL-000101--,Mixed Doubles Gold Medal Game,2026-02-10T18:05:00Z,2026-02-10T20:05:00Z,2026-02-10T17:05:00Z,2026-02-10T19:05:00Z,TRUE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet C,CUC,OCUR16,FALSE,Monday,18:05:00,20:05:00
2026-02-09,FSK,Figure Skating,FSKXTEAM--------------FNL-0003PR--,Team Event - Pair Skating - FS,2026-02-08T19:30:00Z,2026-02-08T20:24:10Z,2026-02-08T18:30:00Z,2026-02-08T19:24:10Z,FALSE,FALSE,MSK,Milano Ice Skating Arena,milano-ice-skating-arena,Milano MSK-Competition Rink,MSC,OFSK03,FALSE,Monday,19:30:00,20:24:00
2026-02-09,FSK,Figure Skating,FSKXTEAM--------------FNL-0002LD--,Team Event - Women Single Skating - FS,2026-02-08T20:45:00Z,2026-02-08T21:31:55Z,2026-02-08T19:45:00Z,2026-02-08T20:31:55Z,FALSE,FALSE,MSK,Milano Ice Skating Arena,milano-ice-skating-arena,Milano MSK-Competition Rink,MSC,OFSK03,FALSE,Monday,20:45:00,21:31:00
2026-02-09,FSK,Figure Skating,FSKXTEAM--------------FNL-0001MN--,Team Event - Men Single Skating - FS,2026-02-08T21:55:00Z,2026-02-08T22:41:55Z,2026-02-08T20:55:00Z,2026-02-08T21:41:55Z,TRUE,FALSE,MSK,Milano Ice Skating Arena,milano-ice-skating-arena,Milano MSK-Competition Rink,MSC,OFSK03,FALSE,Monday,21:55:00,22:41:00
2026-02-09,FSK,Figure Skating,FSKXICEDANCE----------QUAL000100--,Ice Dance - Rhythm Dance,2026-02-09T19:20:00Z,2026-02-09T22:53:15Z,2026-02-09T18:20:00Z,2026-02-09T21:53:15Z,FALSE,FALSE,MSK,Milano Ice Skating Arena,milano-ice-skating-arena,Milano MSK-Competition Rink,MSC,OFSK04,FALSE,Monday,19:20:00,22:53:00
2026-02-09,FSK,Figure Skating,FSKMSINGLES-----------QUAL000100--,Men Single Skating - Short Program,2026-02-10T18:30:00Z,2026-02-10T22:43:40Z,2026-02-10T17:30:00Z,2026-02-10T21:43:40Z,FALSE,FALSE,MSK,Milano Ice Skating Arena,milano-ice-skating-arena,Milano MSK-Competition Rink,MSC,OFSK05,FALSE,Monday,18:30:00,22:43:00
