gutenberg_author_id,author,alias,birthdate,deathdate,wikipedia,aliases
50039,"Furlong, Thomas",NA,1844,NA,NA,NA
50041,"Pliny, the Elder",NA,23,79,https://en.wikipedia.org/wiki/Pliny_the_Elder,"Elder, Pliny the/Gaius Plinius Secundus/Secundus, Gaius Plinius/Secundus, Caius Plinius"
50042,"Hammond, William Jackson","Hammond, William J.",1896,NA,NA,"Hammond, William J."
50043,"Hammond, Margaret F.","Hammond, Margaret Ellen Forsyth",NA,NA,NA,"Hammond, Margaret Ellen Forsyth"
50044,"Newsholme, Arthur, Sir","Newsholme, Sir Arthur",1857,1943,https://en.wikipedia.org/wiki/Arthur_Newsholme,"Newsholme, Sir Arthur"
50045,"Flint, Charles Louis","Flint, C. L. (Charles Louis)",1824,1889,https://en.wikipedia.org/wiki/Charles_L._Flint,"Flint, C. L. (Charles Louis)"
50046,"Lewis, Edwin Herbert","Lewis, E. H. (Edwin Herbert)",1866,1938,NA,"Lewis, E. H. (Edwin Herbert)"
50047,"Conant, Roger William",NA,1895,NA,NA,"Lincoln, J. W./Conant, Roger W."
50048,"Desault, P.-J. (Pierre-Joseph)",NA,1738,1795,https://en.wikipedia.org/wiki/Pierre-Joseph_Desault|https://fr.wikipedia.org/wiki/Pierre_Joseph_Desault,"Desault, Pierre-Joseph/Desault, Monsieur (Pierre-Joseph)"
50050,"Briggs, Emily Edson",NA,1831,1910,https://en.wikipedia.org/wiki/Emily_Briggs,NA
50052,"Kennedy, Ben F.","Kennedy, Bernett Faulkner",1916,NA,NA,"Kennedy, Bernett Faulkner"
50053,"Porter, Charles W., III (Charles Wesley)","Porter, Charles Wesley",1904,1987,NA,"Porter, Charles Wesley"
50055,"Holloway, Robert",NA,NA,NA,NA,NA
50057,"Gregory, Arthur E. (Arthur Edwin)",NA,NA,1912,NA,NA
50058,"Handy, Amy L. (Amy Littlefield)","Handy, Amy Littlefield",1860,1941,NA,"Handy, Amy Littlefield"
50059,Colored National League,"League, Colored National",NA,NA,NA,"League, Colored National"
50060,"Safroni-Middleton, A. (Arnold)",NA,1873,1950,ebooks/author/40728|https://en.wikipedia.org/wiki/Arnold_Safroni-Middleton,"Saffroni, Arnold/Saffroni-Middleton, Arnold/Safroni-Middleton, George Arnold Haynes/Safroni-Middleton, Arnold/Middleton, George Arnold Haynes"
50061,"Grayson, Donald",NA,1867,1933,ebooks/author/42736,NA
50062,"Jerusalem, Else",NA,1877,1942,https://de.wikipedia.org/wiki/Else_Jerusalem,"Jerusalem-Kotányi, Else/Jerusalem-Kotanyi, Else"
50065,"Goldsborough, W. W. (William Worthington)","Goldsborough, William Worthington",1831,1901,NA,"Goldsborough, William Worthington"
50067,"Creer, Edwin",NA,NA,NA,NA,NA
50068,"Bridges, Roy",NA,1885,1952,https://en.wikipedia.org/wiki/Roy_Bridges_(author),NA
50069,"Hunter, Evan",NA,1926,2005,https://en.wikipedia.org/wiki/Evan_Hunter,"Lombino, S. A./Lombino, Salvatore Albert/Lombino, S.A."
50070,"Prokesch von Osten, Anton, Graf",NA,1795,1876,https://de.wikipedia.org/wiki/Anton_Prokesch_von_Osten,"Osten, Anton, Graf Prokesch von/Prokesch, Anton/Prokesch-Osten, Anton, Graf von/Von Osten, Anton, Graf Prokesch"
50071,"Torrund, Jassy","Mose, Josepha",1860,1943,NA,"Mose, Josepha"
50075,"Farnsworth, Edward Clarence",NA,NA,NA,NA,NA
50077,"Strong, Herbert A. (Herbert Augustus)","Strong, H. A. (Herbert Augustus)",1841,1918,https://en.wikipedia.org/wiki/Herbert_Strong,"Strong, H. A. (Herbert Augustus)"
50078,"Logeman, Willem Sijbrand","Logeman, Willem Sybrand",1850,1933,NA,"Logeman, Willem Sybrand"
50079,"Wheeler, Benjamin Ide",NA,1854,1927,https://en.wikipedia.org/wiki/Benjamin_Ide_Wheeler,NA
50080,"Ross, Gordon",NA,NA,NA,NA,NA
50081,"Hollister, Paul M. (Paul Merrick)","Hollister, Paul Merrick",1890,1970,NA,"Hollister, Paul Merrick"
50082,"Flugel, J. C. (John Carl)",NA,1884,1955,https://en.wikipedia.org/wiki/John_Fl%C3%BCgel,"Flügel, J. C./Flugel, John Carl"
50085,"Payne, George Henry",NA,1876,1945,https://en.wikipedia.org/wiki/George_Henry_Payne,NA
50086,"Clark, Marvin R.",NA,1840,NA,NA,NA
50087,"Grimaldi, Alphonse Leon",NA,NA,NA,NA,NA
50089,"Smith, Willard M.",NA,NA,NA,NA,NA
50090,"Abbot, Robert, cook",NA,NA,NA,NA,"Abbot, R. (Robert), cook/Abbot, Robert"
50091,"Wilson, Benjamin Franklin",NA,1867,NA,NA,NA
50094,"Soltau, G. W. (George W.)","Soltau, George W.",NA,NA,NA,"Soltau, George W."
50095,"Belot, Adolphe",NA,1829,1890,https://en.wikipedia.org/wiki/Adolphe_Belot|https://fr.wikipedia.org/wiki/Adolphe_Belot,NA
50096,"Delano, Edith Barnard",NA,1874,1946,https://en.wikipedia.org/wiki/Edith_Barnard_Delano,NA
50097,"Fenner, Earl",NA,1841,NA,NA,NA
50098,"Schmeil, O. (Otto)",NA,1860,1943,https://de.wikipedia.org/wiki/Otto_Schmeil,"Schmeil, Otto/Schmeil, Franz Otto/Shmeil, Otto"
50099,"Fitschen, Jost",NA,1869,1947,https://de.wikipedia.org/wiki/Jost_Fitschen,NA
50100,"Stimson, Julia C. (Julia Catherine)",NA,1881,1948,https://en.wikipedia.org/wiki/Julia_Catherine_Stimson,NA
50101,"Everett, Leo, Mrs.",NA,NA,1921,NA,"Everett, Caroline Kane Mills/Everett, Mrs. Leo"
50102,"Wilson, William Thomas",NA,NA,NA,NA,NA
50103,"Pember Reeves, Mrs.",NA,1865,1953,https://en.wikipedia.org/wiki/Maud_Pember_Reeves,"Reeves, M. S. (Magdalen Stuart)/Reeves, Magdalen Stuart/Reeves, Maud Pember"
50104,"Lauder, Thomas Dick, Sir",NA,1784,1848,https://en.wikipedia.org/wiki/Thomas_Dick_Lauder,"Lauder, Thomas Dick, Sir, bart./Montgomery, Charles Montague/Dick-Lauder, Thomas"
50105,"Schuyler, Montgomery",NA,1843,1914,https://en.wikipedia.org/wiki/Montgomery_Schuyler,NA
50107,"Miles, Eustace",NA,1868,1948,https://en.wikipedia.org/wiki/Eustace_Miles,"Miles, Eustace H./Miles, Eustace Hamilton"
50108,"Walker, Theodore J.","Walker, Theodore Joseph",NA,NA,NA,"Walker, Theodore Joseph"
50109,"Stillwell, Norma","Stillwell, Norma J.",NA,NA,NA,"Stillwell, Norma J."
50112,"M'Govan, James","McGovan, James",1845,1919,https://en.wikipedia.org/wiki/William_Crawford_Honeyman,"McGovan, James"
50114,"Firbank, Ronald","Firbank, Arthur Annesley Ronald",1886,1926,https://en.wikipedia.org/wiki/Ronald_Firbank,"Firbank, Arthur Annesley Ronald"
50117,"Torr, Cecil",NA,1857,1928,https://en.wikipedia.org/wiki/Cecil_Torr,NA
50119,"Moore, John",NA,1729,1802,https://en.wikipedia.org/wiki/John_Moore_(Scottish_physician),NA
50121,"Grant, Maude M.","Grant, Maude Margaret",1876,1941,NA,"Grant, Maude Margaret"
50122,"Arkawy, Norman","Arkawy, Norman M.",1927,2004,NA,"Arkawy, Norman M."
50123,"Henig, Stanley",NA,NA,NA,NA,NA
50124,"Smith, A. Freeman","Smith, Alfred Freeman",1847,1932,NA,"Smith, Alfred Freeman"
50135,"Carbery, Edward",NA,NA,NA,NA,NA
50136,"Cust, Anna Maria Elizabeth","Cust, Anna Maria",NA,NA,NA,"Cust, Anna Maria"
50137,"Woodruff, Jane Scott",NA,NA,NA,NA,NA
50139,"Townshend, Dorothea","Townshend, Letitia Jane Dorothea Baker",NA,NA,NA,"Townshend, Letitia Jane Dorothea Baker"
50140,"Mortimer, G. W.",NA,NA,NA,NA,NA
50141,"Hetschel, Dick",NA,NA,NA,NA,NA
50143,"Westcott, W. Wynn (William Wynn)","Westcott, William Wynn",1848,1925,https://en.wikipedia.org/wiki/William_Wynn_Westcott,"Westcott, William Wynn"
50144,"Burnaby, Fred","Burnaby, Frederick Gustavus",1842,1885,https://en.wikipedia.org/wiki/Frederick_Burnaby,"Burnaby, Frederick Gustavus"
50146,"Love, Joe",NA,NA,NA,NA,NA
50147,"Hesekiel, George","Hesekiel, Georg Ludwig",1819,1874,https://en.wikipedia.org/wiki/Johann_Georg_Ludwig_Hesekiel|https://de.wikipedia.org/wiki/George_Hesekiel,"Hesekiel, Georg Ludwig"
50148,"Feodora, Princess of Schleswig-Holstein-Sonderburg-Augustenburg","Hugin, F.",1874,1910,https://de.wikipedia.org/wiki/Feodora_von_Schleswig-Holstein-Sonderburg-Augustenburg,"Hugin, F."
50149,"Wood, Norman B. (Norman Barton)",NA,1857,1933,https://en.wikipedia.org/wiki/Norman_Barton_Wood,"Wood, Norman Barton/Wood, N. B. (Norman Barton)"
50150,"Stromer, Theodor",NA,1844,NA,NA,NA
50151,"Offutt, Andrew J.",NA,1934,2013,https://en.wikipedia.org/wiki/Andrew_J._Offutt,"Offutt, A. J./Offutt, Andy/Offutt, Andrew Jefferson/Offut, Andy"
50152,"Engel, Sigmund",NA,NA,NA,NA,NA
50153,"Wall, Mary Virginia",NA,NA,NA,NA,NA
50154,A lady,NA,NA,NA,NA,NA
50155,"Boyd, Thomas","Boyd, Thomas Alexander",1898,1935,https://en.wikipedia.org/wiki/Thomas_Alexander_Boyd,"Boyd, Thomas Alexander"
50156,"Allen, Charles Fletcher",NA,1849,1914,NA,NA
50157,"Boxall, George",NA,1836,1918,NA,"Boxall, George Eedes/Boxall, George E."
50159,"Mackellar, Dorothea",NA,1885,1968,https://en.wikipedia.org/wiki/Dorothea_Mackellar,NA
50160,"Heintze, Albert",NA,1831,1906,https://de.wikipedia.org/wiki/Albert_Heintze,NA
