gutenberg_id,subject_type,subject
86,lcsh,Time travel -- Fiction
86,lcsh,Americans -- Great Britain -- Fiction
86,lcsh,Kings and rulers -- Fiction
86,lcsh,Britons -- Fiction
86,lcc,PS
87,lcsh,"World politics -- Handbooks, manuals, etc."
87,lcsh,"Geography -- Handbooks, manuals, etc."
87,lcsh,"Political science -- Handbooks, manuals, etc."
87,lcsh,"Political statistics -- Handbooks, manuals, etc."
87,lcc,G
88,lcsh,Cost and standard of living
88,lcc,HG
89,lcsh,"Canada. Treaties, etc. 1992 Oct. 7"
89,lcsh,Tariff -- Law and legislation -- North America
89,lcsh,Free trade -- North America
89,lcsh,Foreign trade regulation -- North America
89,lcsh,Free trade -- United States
89,lcsh,Free trade -- Canada
89,lcsh,Free trade -- Mexico
89,lcc,KDZ
90,lcsh,Tarzan (Fictitious character) -- Fiction
90,lcsh,Fantasy fiction
90,lcsh,Adventure stories
90,lcc,PZ
90,lcc,PS
91,lcsh,Adventure stories
91,lcsh,"Sawyer, Tom (Fictitious character) -- Fiction"
91,lcsh,Balloon ascensions -- Fiction
91,lcsh,Americans -- Foreign countries -- Fiction
91,lcc,PS
92,lcsh,Tarzan (Fictitious character) -- Fiction
92,lcsh,Fantasy fiction
92,lcsh,Adventure stories
92,lcc,PS
93,lcsh,"Sawyer, Tom (Fictitious character) -- Fiction"
93,lcsh,Mystery fiction
93,lcc,PS
94,lcsh,Civil engineers -- Fiction
94,lcsh,London (England) -- Fiction
94,lcsh,Psychological fiction
94,lcsh,Married people -- Fiction
94,lcsh,Boston (Mass.) -- Fiction
94,lcsh,Mistresses -- Fiction
94,lcsh,Bridges -- Design and construction -- Fiction
94,lcc,PS
95,lcsh,Love stories
95,lcsh,Impostors and imposture -- Fiction
95,lcsh,Adventure stories
95,lcsh,British -- Foreign countries -- Fiction
95,lcsh,Kings and rulers -- Fiction
95,lcsh,Political kidnapping -- Fiction
95,lcc,PR
96,lcsh,Science fiction
96,lcsh,Fantasy fiction
96,lcc,PS
97,lcsh,Fourth dimension
