type,nationality,band,percent,year
Academic,Italy,5.5,0.05593688083781489,2024-2025
Academic,Italy,6,0.10833569204641946,2024-2025
Academic,Italy,6.5,0.15716105292952165,2024-2025
Academic,Italy,7,0.2069416926125106,2024-2025
Academic,Italy,7.5,0.24150863288989527,2024-2025
Academic,Italy,8,0.16745683555052363,2024-2025
Academic,Italy,8.5,0.032302575714690064,2024-2025
Academic,Italy,9,2.476648740447212e-4,2024-2025
Academic,Japan,<4,0.008108552331208796,2024-2025
Academic,Japan,4,0.024325656993626387,2024-2025
Academic,Japan,4.5,0.06360830578738792,2024-2025
Academic,Japan,5,0.14986211808535896,2024-2025
Academic,Japan,5.5,0.24111985682195883,2024-2025
Academic,Japan,6,0.21900396296363936,2024-2025
Academic,Japan,6.5,0.14856548021257557,2024-2025
Academic,Japan,7,0.08650948737147762,2024-2025
Academic,Japan,7.5,0.04059754917179539,2024-2025
Academic,Japan,8,0.014883941779133263,2024-2025
Academic,Japan,8.5,0.0033420384608360575,2024-2025
Academic,Japan,9,7.305002100188103e-5,2024-2025
Academic,Jordan,<4,0.004774103400093154,2024-2025
Academic,Jordan,4,0.011644154634373545,2024-2025
Academic,Jordan,4.5,0.03493246390312064,2024-2025
Academic,Jordan,5,0.0647414997671169,2024-2025
Academic,Jordan,5.5,0.10817419655333024,2024-2025
Academic,Jordan,6,0.15440149045179322,2024-2025
Academic,Jordan,6.5,0.17734047508150907,2024-2025
Academic,Jordan,7,0.16767582673497905,2024-2025
Academic,Jordan,7.5,0.1616208663251048,2024-2025
Academic,Jordan,8,0.09536562645551934,2024-2025
Academic,Jordan,8.5,0.019329296693060084,2024-2025
Academic,Jordan,9,0,2024-2025
Academic,Kazakhstan,<4,0.004632012352032939,2024-2025
Academic,Kazakhstan,4,0.010679361811631498,2024-2025
Academic,Kazakhstan,4.5,0.03648996397323726,2024-2025
Academic,Kazakhstan,5,0.08656716417910447,2024-2025
Academic,Kazakhstan,5.5,0.16278950077200205,2024-2025
Academic,Kazakhstan,6,0.2040658775090067,2024-2025
Academic,Kazakhstan,6.5,0.18643849716932578,2024-2025
Academic,Kazakhstan,7,0.15082346886258363,2024-2025
Academic,Kazakhstan,7.5,0.10499227997941327,2024-2025
Academic,Kazakhstan,8,0.04629439011837364,2024-2025
Academic,Kazakhstan,8.5,0.006150283067421512,2024-2025
Academic,Kazakhstan,9,7.720020586721564e-5,2024-2025
Academic,Kenya,<4,1.2700831904489745e-4,2024-2025
