tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes
tt1473418,video,Smallville's Doomsday: The Making of a Monster,Smallville's Doomsday: The Making of a Monster,2009,16,"Documentary,Short",smallvilles doomsday the making of a monster,6.8,20
tt1482967,tvMovie,Monsters vs Aliens: Mutant Pumpkins from Outer Space,Monsters vs Aliens: Mutant Pumpkins from Outer Space,2009,26,"Action,Adventure,Animation",monsters vs aliens mutant pumpkins from outer space,6.3,3387
tt14853798,movie,Monster from British Hell,Monster from British Hell,2021,72,Comedy,monster from british hell,5.5,36
tt14978720,movie,Are We Monsters,Are We Monsters,2021,90,"Drama,Fantasy",are we monsters,5.2,553
tt14985640,movie,Facing Monsters,Facing Monsters,2021,90,Documentary,facing monsters,6.7,122
tt14994214,movie,You Asked to See the Monster,You Asked to See the Monster,2019,NA,Crime,you asked to see the monster,7.9,35
tt15048108,movie,Water Monster,Shui guai,2019,78,Fantasy,water monster,5.2,138
tt15095160,movie,Forest monster,Forest monster,2021,70,"Comedy,Horror,Sci-Fi",forest monster,6.8,474
tt15096796,movie,Monster Family 2,Monster Family 2,2021,103,"Animation,Comedy,Family",monster family 2,4.9,1225
tt1512863,video,The Wacky Adventures of Ronald McDonald: The Monster O' McDonaldland Loch,The Wacky Adventures of Ronald McDonald: The Monster O' McDonaldland Loch,2003,40,"Adventure,Animation,Comedy",the wacky adventures of ronald mcdonald the monster o mcdonaldland loch,7.5,79
tt15167854,movie,Gods and Monsterss,Gods and Monsterss,2021,NA,"Drama,Fantasy,Sci-Fi",gods and monsterss,7.2,16
tt15204842,movie,Sky Monster,Sky Monster,2023,NA,"Horror,Sci-Fi",sky monster,2.5,328
tt15207488,movie,The Monster Beneath Us,The Monster Beneath Us,2024,103,"Horror,Mystery,Thriller",the monster beneath us,8.2,24
tt15239868,movie,Monster in the Shadows,Monster in the Shadows,2021,136,"Crime,Documentary,Mystery",monster in the shadows,6.7,596
tt15252652,movie,Legend's End: The Loch Ness Monster Story,Legend's End: The Loch Ness Monster Story,2021,NA,Documentary,legends end the loch ness monster story,6.6,18
tt15295036,movie,Kill the Monster,Chang'an fu yao,2021,113,"Action,Fantasy",kill the monster,6.7,67
tt15295110,movie,Hunting Monster,Lie yao ji,2021,83,Action,hunting monster,6.5,56
tt15295190,movie,Monsters in the Closet,Monsters in the Closet,2022,89,"Comedy,Thriller",monsters in the closet,2.7,140
tt15327412,movie,Fox Monster,Liao zhai xin bian zhi Nan hu,2021,82,Action,fox monster,6.8,64
tt1535608,tvMovie,Monsterwolf,Monsterwolf,2010,90,"Fantasy,Horror",monsterwolf,3.6,1140
tt15374820,movie,In Search of Monsters,Slahi und seine Folterer - Das Leben nach Guantanamo,2021,88,Documentary,in search of monsters,7.6,71
