SID,YEAR,MONTH,DAY,LAKE,STATE_PROV,SITE,ST_SITE,LATITUDE,LONGITUDE,GRID,STAT_DIST,LS_MGMT,SPECIES,STRAIN,NO_STOCKED,YEAR_CLASS,STAGE,AGEMONTH,MARK,MARK_EFF,TAG_NO,TAG_RET,LENGTH,WEIGHT,CONDITION,LOT_CODE,STOCK_METH,AGENCY,VALIDATION,NOTES
14271,1989,5,,ER,PA,TROUT RUN,,,,620,PENN,,RBT,STT,24000,1988,y,12,NC,,,,200,2548.85,1,,,PAFBC,0,Stocked by NGO
14272,1989,5,,ER,PA,TROUT RUN,,,,620,PENN,,RBT,STT,35000,1988,y,14,NC,,,,212,5320.77,1,,,PAFBC,0,Stocked by NGO
14273,1989,6,1,MI,WI,BAILEY'S HARBOR,BAILEYS,,,706,WM3,,BNT,,8440,,y,,NC,,,,,832.34,0,,,WIDNR,9,
14274,1989,6,1,MI,WI,GILL'S ROCK,,,,606,WM2,,BNT,,2280,,y,,NC,,,,,206.84,0,,,WIDNR,9,
14275,1989,6,1,MI,WI,MANITOWOC,,,,1303,WM4,,CHS,,29980,,f,,NC,,,,,262.18,0,,,WIDNR,9,
14276,1989,6,1,SU,MN,LITTLE MARAIS,LITTLE MARAIS,,,1007,M2,,LAT,SI,30013,1988,y,,LV,,,,,819.35,0,,u,MNDNR,8,
14277,1989,6,1,SU,MN,STONEY POINT PALMERS,STONEY POINT,,,1303,M1,,LAT,SI,36387,1988,y,,LV,,,,,993.37,0,,u,MNDNR,8,
14278,1989,6,1,ON,NY,SODUS BAY,,,,819,NO2,,CHS,SAL,180000,1989,ff,5,NC,,,,,909.09,,,,NYDEC,,
14279,1989,6,1,SU,ON,KAMINISTIQUIA RIVER (UPPER),KAMINISTIQUIA,,,418,OS1,,CHS,MICHIPICOTEN RIVER,103472,1989,sf,,RP,,,,,,,,,OMNR,,Thunder Bay Salmon Assoc.
14280,1989,6,2,SU,MI,FIRESTEEL RIVER,FIRESTEEL,,,1318,MS2,MI2,BNT,PR,2000,,y,,NC,,,,196,166.7,0,P-BNT(PR)-D-87-PR-MA-TH,t,MIDNR,9,State plant by mich hatchery
14281,1989,6,2,SU,MI,UNION BAY-STATE PARK,UNION,,,1316,MS2,MI2,BNT,PR,10060,,y,,NC,,,,196,838.3,0,P-BNT(PR)-D-87-PR-MA-TH,t,MIDNR,9,State plant by mich hatchery
14282,1989,6,2,SU,MN,SPLIT ROCK RIVER,SPLIT,,,1106,M2,MN2,RBT,KAM,5031,1988,y,,XX,,,,,1118,,,,MNDNR,9,
14283,1989,6,2,ON,NY,HAMLIN BEACH,HAMLIN,,,713,NO1,,ATS,GRD & LC,22000,1988,y,17,NC,,,,,584.8,,,,NYDEC,,
14284,1989,6,2,ON,NY,PULTNEYVILLE,PULTNEYVILLE,,,817,NO1,,BNT,RLD,2260,1988,y,17,NC,,,,,410.91,,,,NYDEC,,
14285,1989,6,2,ON,NY,ROCHESTER,,,,815,NO1,,BNT,RLD,2260,1988,y,17,NC,,,,,410.91,,,,NYDEC,,
14286,1989,6,2,ON,NY,HAMLIN BEACH,HAMLIN,,,713,NO1,,BNT,RLD,2260,1988,y,17,NC,,,,,410.91,,,,NYDEC,,
14287,1989,6,2,ON,NY,POINT BREEZE,POINT BREEZE,,,711,NO1,,BNT,RLD,2260,1988,y,17,NC,,,,,410.91,,,,NYDEC,,
14288,1989,6,5,MI,MI,FISHERMANS ISLAND,,,,616,MM3,,LAT,SMD,84000,1988,y,15,LP,,,,149,2090.06,2,JR(SUP)88D,t,USFWS,4,JRNFH -jac 4/98
14289,1989,6,5,SU,MI,FIRESTEEL RIVER,FIRESTEEL,,,1318,MS2,MI2,BNT,PR,8060,,y,,NC,,,,189,610.6,0,P-BNT(PR)-D-87-PR-MA-TH,t,MIDNR,9,State plant by mich hatchery
14290,1989,6,6,HU,MI,STURGEON PT,,,,1010,MH3,,LAT,SMD,152600,1988,y,15,ADLV,,,,,2289,0,JR(SUP)88D-JR-PC,u,USFWS,8,
14291,1989,6,6,HU,MI,OSBORN CAMP,OSBORN,,,104,MH1,,RBT,SH,10000,,y,,NC,,,,179,643.5,0,P-RBT(SH)-D-87-SH-EN-MT-HA,t,MIDNR,9,State plant by mich hatchery
14292,1989,6,6,HU,MI,M-134,M-134,,,202,MH1,,WAE,BD,1400000,,fry,,NC,,,,2,28,0,P-WAE(BD)-W-89-NC-04,t,MIDNR,9,State
14293,1989,6,6,HU,MI,NUNNS CREEK,NUNNS,,,202,MH1,,WAE,BD,480000,,fry,,NC,,,,2,9.8,0,P-WAE(BD)-W-89-NC-04,t,MIDNR,9,State
14294,1989,6,6,SU,MN,STONEY POINT PALMERS,STONEY POINT,,,1302,M1,,LAT,MI,87900,1988,y,,LV,,,,,1564.62,0,,u,USFWS,8,
14295,1989,6,6,SU,MI,COPPER HARBOR,COPPER,,,926,MS3,MI3,RBT,WY,9600,,y,,NC,,,,210,1000,0,P-RBT(WY)-D-87-WS-WV-TH,t,MIDNR,9,State plant by mich hatchery
14296,1989,6,6,ON,NY,SANDY CREEK,SANDY,,,713,NO1,,CHS,SAL,180000,1989,ff,5,NC,,,,,861.24,,,,NYDEC,,
14297,1989,6,7,HU,MI,6 FATHOM BANK,6 FATHOM,,,1015,MH3,,LAT,JLD,33600,1988,y,15,ADCWT,,431836,,,604.8,0,JAC(JL)88D-PC,b,USFWS,8,
14298,1989,6,7,HU,MI,6 FATHOM BANK,6 FATHOM,,,1015,MH3,,LAT,JLD,33600,1988,y,15,ADCWT,,431837,,,604.8,0,JAC(JL)88D-PC,b,USFWS,8,
14299,1989,6,7,HU,MI,6 FATHOM BANK,6 FATHOM,,,1015,MH3,,LAT,SLD,33325,1988,y,15,ADCWT,,431838,,,599.85,0,IRR(FL)88D-PC,b,USFWS,8,
14300,1989,6,7,HU,MI,6 FATHOM BANK,6 FATHOM,,,1015,MH3,,LAT,SLD,33325,1988,y,15,ADCWT,,431839,,,599.85,0,IRR(FL)88D-PC,b,USFWS,8,
14301,1989,6,7,HU,MI,6 FATHOM BANK,6 FATHOM,,,1015,MH3,,LAT,SMD,34125,1988,y,15,ADCWT,,431840,,,614.25,0,IRR(MQ)88D-PC,b,USFWS,8,
14302,1989,6,7,HU,MI,6 FATHOM BANK,6 FATHOM,,,1015,MH3,,LAT,SMD,34125,1988,y,15,ADCWT,,431841,,,614.25,0,IRR(MQ)88D-PC,b,USFWS,8,
14303,1989,6,7,MI,MI,EMPIRE,EMPIRE,,,912,MM5,,LAT,SMD,79000,1988,y,15,LP,,,,,1975,0,JR(SUP)88D,u,USFWS,8,
14304,1989,6,7,MI,MI,RULEAUS DOCK,,,,504,MM1,,RBT,WY,9900,,y,,NC,,,,208,1000,0,P-RBT(WY)-D-87-WS-WV-TH,t,MIDNR,9,State plant by mich hatchery
14305,1989,6,7,SU,MN,"LESTER RIVER 10,292,293",LESTER,,,1401,M1,MN1,RBT,STT,234852,1989,fry,,XX,,,,,68,,,,MNDNR,9,
14306,1989,6,7,SU,MN,LESTER RIVER C RD 12,LESTER,,,1401,M1,MN1,RBT,KAM,2700,1988,y,,ADRP,,,,,600,,,,MNDNR,9,
14307,1989,6,7,SU,MN,SPLIT ROCK RIVER,SPLIT,,,1106,M2,MN2,RBT,STT,473945,1989,fry,,XX,,,,,138,,,,MNDNR,9,
14308,1989,6,7,SU,MN,SUCKER RIVER,,,,1302,M1,MN1,RBT,KAM,5468,1988,y,,ADRP,,,,,1215,,,,MNDNR,9,
14309,1989,6,8,HU,MI,TAWAS BAY-EAST TAWAS,TAWAS,,,1309,MH4,,WAE,MU,104814,,sf,,NC,,,,33,29.3,0,P-WAE(MU)-W-89-WL-07,t,MIDNR,9,Marsh/Rearing pond release plants
14310,1989,6,8,HU,MI,TAWAS CITY,TAWAS,,,1308,MH4,,WAE,MU,4000,,sf,,NC,,,,33,1.1,0,P-WAE(MU)-W-89-WL-07,t,MIDNR,9,Marsh/Rearing pond release plants
14311,1989,6,8,MI,WI,PESHTIGO RIVER,,,,803,WM1,,BNT,,5000,,y,,NC,,,,,630.49,0,,,WIDNR,9,
14312,1989,6,8,MI,WI,WESTERS - STURGEON BAY,WESTERS,,,905,WM3,,BNT,,5000,,y,,NC,,,,,533.88,0,,,WIDNR,9,
14313,1989,6,8,MI,MI,GLEN HAVEN,,,,812,MM5,,LAT,SMD,78000,1988,y,15,LP,,,,,1872,0,JR(SUP)88D,u,USFWS,8,
14314,1989,6,8,SU,MN,AMITY CREEK,AMITY,,,1401,M1,MN1,RBT,STT,98446,1989,fry,,XX,,,,,29,,,,MNDNR,9,stocked in 6 locations
14315,1989,6,8,SU,MN,BAPTISM RIVER,BAPTISM,,,1106,M2,MN2,RBT,STT,79950,1989,fry,,XX,,,,,23,,,,MNDNR,9,
14316,1989,6,8,SU,MN,FRENCH RIVER C RD 61,FRENCH,,,1302,M1,MN1,RBT,SKA,943,,a,,RMRV,,,,,410,,,,MNDNR,9,
14317,1989,6,8,SU,MN,LESTER RIVER C RD 12,LESTER,,,1401,M1,MN1,RBT,KAM,2700,1988,y,,ADRP,,,,,600,,,,MNDNR,9,
14318,1989,6,8,SU,MN,"LESTER RIVER RDS19,12,37",LESTER,,,1401,M1,MN1,RBT,STT,125004,1989,fry,,XX,,,,,37,,,,MNDNR,9,
14319,1989,6,8,SU,MN,STEWART RIVER C.RD 132,STEWART,,,1304,M1,MN1,RBT,STT,155811,1989,fry,,XX,,,,,45,,,,MNDNR,9,Research project
14320,1989,6,8,SU,MN,STEWART RIVER HWY 61,STEWART,,,1304,M1,MN1,RBT,KAM,2705,1988,y,,ADRP,,,,,601,,,,MNDNR,9,
14321,1989,6,8,SU,MN,SUCKER RIVER,,,,1302,M1,MN1,RBT,KAM,2700,1988,y,,ADRP,,,,,600,,,,MNDNR,9,
14322,1989,6,8,SU,MI,COPPER HARBOR,COPPER,,,926,MS3,MI3,RBT,WY,9600,,y,,NC,,,,207,950.4,0,P-RBT(WY)-D-87-WS-WV-TH,t,MIDNR,9,State plant by mich hatchery
14323,1989,6,8,ON,NY,BEAVERDAM BROOK,BEAVERDAM,,,623,NO2,,CHS,SAL,40000,1989,ff,5,RV,,604525,,,195.5,,,,NYDEC,,
14324,1989,6,8,ON,NY,BEAVERDAM BROOK,BEAVERDAM,,,623,NO2,,CHS,SAL,260000,1989,ff,5,NC,,,,,1477.27,,,,NYDEC,,
14325,1989,6,9,HU,MI,DETOUR REEF,DETOUR,,,306,MH1,,LAT,SL,74400,1988,y,15,ADCWT,,431835,,,1339.2,0,IRR(FL)88D-PC,b,USFWS,8,
14326,1989,6,9,HU,MI,DETOUR REEF,DETOUR,,,306,MH1,,LAT,SMD,72600,1988,y,15,ADCWT,,431834,,,1306.8,0,IRR(MQ)88D-PC,b,USFWS,8,
14327,1989,6,9,HU,MI,DETOUR REEF,DETOUR,,,306,MH1,,LAT,SMD,70300,1988,y,15,ADLV,,,,,1265.4,0,JR(SUP)88D-JR-PC,b,USFWS,8,
14328,1989,6,9,HU,MI,OLD PAS,OLD PAS,,,202,MH1,,WAE,BD,350000,,fry,,NC,,,,2,7,0,P-WAE(BD)-W-89-NC-04,t,MIDNR,9,State
14329,1989,6,9,SU,MN,GRAND MARAIS,GRAND MARAIS,,,812,M3,,LAT,,33450,1988,y,,LV,,,,,561.96,0,,u,USFWS,8,
14330,1989,6,9,SU,MN,SPLIT ROCK RIVER,SPLIT,,,1205,M2,,LAT,,17550,1988,y,,LV,,,,,294.84,0,,u,USFWS,8,
14331,1989,6,9,SU,WI,WASHBURN COAL DOCK,WASHBURN,,,1409,WISC,WI2,LAT,SMD,70100,1988,y,15,LV,,,,,1191.7,0,JR(SUP)88D-JR-HF,u,USFWS,8,
14332,1989,6,9,SU,MN,ANDERSON CREEK C. RD 8,,,,1401,M1,MN1,RBT,STT,22357,1989,fry,,XX,,,,,7,,,,MNDNR,9,"Loss: 23,000 (6.8 lbs.)"
14333,1989,6,9,SU,MN,BEAVER RIVER,BEAVER,,,1106,M2,MN2,RBT,STT,51074,1989,fry,,XX,,,,,15,,,,MNDNR,9,
14334,1989,6,9,SU,MN,CROSS RIVER,CROSS,,,908,M2,MN2,RBT,STT,49372,1989,fry,,XX,,,,,14,,,,MNDNR,9,
14335,1989,6,9,SU,MN,GOOSEBERRY RIVER C. RD 3,GOOSEBERRY,,,1205,M1,MN1,RBT,STT,35000,1989,fry,,XX,,,,,10,,,,MNDNR,9,
14336,1989,6,9,SU,MN,LESTER RIVER C.RD 12,LESTER,,,1401,M1,MN1,RBT,KAM,6639,1988,y,,ADRP,,,,,1207,,,,MNDNR,9,
14337,1989,6,9,SU,WI,"LITTLE NETT R C.RD 8,145",LITTLE NET,,,1401,WISC,WI1,RBT,STT,32957,1989,fry,,XX,,,,,10,,,,MNDNR,9,"Loss: 32,000 (9.3 lbs.)"
14338,1989,6,9,SU,MN,SUCKER RIVER,,,,1302,M1,MN1,RBT,KAM,4894,1988,y,,ADRP,,,,,1064,,,,MNDNR,9,
14339,1989,6,9,SU,MI,WAISKA RIVER,,,,1646,MS6,MI8,WAE,BD,525000,,fry,,NC,,,,2,10.5,0,P-WAE(BD)-W-89-NC-04,t,CORA,9,tribal fish plants
14340,1989,6,9,ON,NY,HENDERSON BAY,HENDERSON,,,423,NO2,,CHS,SAL,20000,1989,ff,5,NC,,,,,47.85,,,,NYDEC,,
14341,1989,6,9,ON,NY,PORT BAY,PORT BAY,,,819,NO2,,CHS,SAL,40000,1989,ff,5,NC,,,,,202.02,,,,NYDEC,,
14342,1989,6,9,ON,NY,TWELVE MILE CREEK,,,,707,NO1,,CHS,SAL,40000,1989,ff,5,NC,,,,,202.02,,,,NYDEC,,
14343,1989,6,9,ER,NY,EIGHTEEN MILE CREEK,EIGHTEENMILE,,,228,NY,,CHS,LOW,60000,1989,sf,6,NC,,,,83,303.18,1,,t,NYDEC,9,"SURPLUS FISH, STOCKED AT ABANDONED BRIDGE IN N. EVANS"
14344,1989,6,9,ER,NY,BUFFALO CREEK,BUFFALO,,,128,NY,,CHS,LOW,60000,1989,sf,6,NC,,,,83,386.36,1,,t,NYDEC,9,"SURPLUS FISH, STOCKED E. OF UNION AND S. OF CLINTON AND W. OF HARLEM."
14345,1989,6,12,HU,MI,FISH POINT POND OUTLET,FISH POINT,,,1608,MH4,,WAE,MU,41397,,sf,,NC,,,,41,24.3,0,P-WAE(MU)-W-89-WL-08,t,MIDNR,9,Marsh/Rearing pond release plants
14346,1989,6,12,HU,MI,SAGINAW BAY-QUANICASEE RIVER,SAGINAW,,,1707,MH4,,WAE,MU,13721,,sf,,NC,,,,41,8.1,0,P-WAE(MU)-W-89-WL-08,t,MIDNR,9,Marsh/Rearing pond release plants
14347,1989,6,12,HU,MI,SAGINAW BAY-THOMAS CUT,SAGINAW,,,1608,MH4,,WAE,MU,21335,,sf,,NC,,,,41,12.5,0,P-WAE(MU)-W-89-WL-08,t,MIDNR,9,Marsh/Rearing pond release plants
14348,1989,6,12,SU,MN,ANDERSON CREEK C. RD 8,,,,1401,M1,MN1,RBT,STT,25476,1989,fry,,XX,,,,,9,,,,MNDNR,9,
14349,1989,6,12,SU,MN,LESTER RIVER C.RD 12,LESTER,,,1401,M1,MN1,RBT,KAM,6617,1988,y,,ADRP,,,,,1203,,,,MNDNR,9,
14350,1989,6,12,SU,MN,LESTER RIVER C.RD 12,LESTER,,,1401,M1,MN1,RBT,KAM,8640,1988,y,,ADRP,,,,,1800,,,,MNDNR,9,
14351,1989,6,12,SU,WI,"LITTLE NETT R C.RD 8,145",LITTLE NET,,,1401,WISC,WI1,RBT,STT,35000,1989,fry,,XX,,,,,12,,,,MNDNR,9,
14352,1989,6,12,SU,MN,STEWART RIVER C.RD 132,STEWART,,,1304,M1,MN1,RBT,STT,144383,1989,fry,,XX,,,,,49,,,,MNDNR,9,22060 ml. @ 6.545 fry/ml.
14353,1989,6,12,SU,MN,STEWART RIVER HWY 61,STEWART,,,1304,M1,MN1,RBT,KAM,8750,1988,y,,ADRP,,,,,1823,,,,MNDNR,9,
14354,1989,6,12,SU,MI,COPPER HARBOR,COPPER,,,926,MS3,MI3,RBT,WY,1600,,y,,NC,,,,212,170.2,0,P-RBT(WY)-D-87-WS-WV-TH,t,MIDNR,9,State plant by mich hatchery
14355,1989,6,12,SU,MI,RIVER MOUTH,ONTONAGON,,,1318,MS2,MI2,RBT,WY,5800,,y,,NC,,,,212,617,0,P-RBT(WY)-D-87-WS-WV-TH,t,MIDNR,9,State plant by mich hatchery
14356,1989,6,12,ON,NY,HENDERSON BAY,HENDERSON,,,423,NO2,,CHS,SAL,39700,1989,ff,5,RV,,604527,,,194.04,,,,NYDEC,,
14357,1989,6,12,ON,NY,SOUTHWICK BEACH PARK,,,,523,NO2,,CHS,SAL,23000,1989,ff,5,NC,,,,,116.16,,,,NYDEC,,
14358,1989,6,13,MI,MI,BLACK BRIDGE,BLACK BRIDGE,,,1011,MM5,,RBT,MI,100875,,fry,,NC,,,,24,14.73,0,P-RBT(MI)-W-89-LM-WL,t,MIDNR,9,State plant by mich hatchery
14359,1989,6,13,MI,MI,GARFIELD RD,,,,1710,MM7,,RBT,MI,100875,,fry,,NC,,,,24,14.73,0,P-RBT(MI)-W-89-LM-WL,t,MIDNR,9,State plant by mich hatchery
14360,1989,6,13,MI,MI,PINE STREET,,,,1810,MM7,,RBT,MI,295900,,fry,,NC,,,,24,43.2,0,P-RBT(MI)-W-89-LM-WL,t,MIDNR,9,State plant by mich hatchery
14361,1989,6,13,SU,MN,FRENCH RIVER C.RD 290,FRENCH,,,1302,M1,MN1,CHS,SUP,103255,1988,f,,LP,,,,,1364,,,,MNDNR,9,
14362,1989,6,13,SU,MN,STEWART RIVER HWY 61,STEWART,,,1304,M1,MN1,RBT,KAM,11165,1988,y,,ADRP,,,,,326,,,,MNDNR,9,
14363,1989,6,14,SU,MN,SPLIT ROCK RIVER,SPLIT,,,1106,M2,MN2,ATS,MGL,10321,1988,y,,XX,,,,,1511,,,,MNDNR,9,
14364,1989,6,14,SU,MN,LESTER RIVER C RD 12,LESTER,,,1401,M1,MN1,CHS,SUP,86878,1988,f,,LP,,,,,775,,,,MNDNR,9,
14365,1989,6,14,SU,MN,LESTER RIVER C RD 12,LESTER,,,1401,M1,MN1,CHS,SUP,107204,1988,f,,LP,,,,,1164,,,,MNDNR,9,
14366,1989,6,15,SU,MN,FRENCH RIVER C RD 61,FRENCH,,,1302,M1,MN1,ATS,MGL,2398,1988,y,,XX,,,,,320,,,,MNDNR,9,
14367,1989,6,15,SU,MN,FRENCH RIVER C.RD 61,FRENCH,,,1302,M1,MN1,ATS,MGL,10666,1988,y,,XX,,,,,1484,,,,MNDNR,9,
14368,1989,6,15,SU,MN,BAPTISM RIVER,BAPTISM,,,1106,M2,MN2,CHS,SUP,111776,1989,f,,LP,,,,,998,,,,MNDNR,9,
14369,1989,6,16,HU,MI,PUBLIC ACCESS SITE,PUBLIC ACCESS,,,1606,MH4,,WAE,MU,11682,,sf,,NC,,,,43,8.1,0,P-WAE(MU)-W-89-WL-08,t,MIDNR,9,Marsh/Rearing pond release plants
14370,1989,6,16,HU,MI,SAGINAW BAY-LINWOOD RD,SAGINAW,,,1606,MH4,,WAE,MU,240000,,sf,,NC,,,,43,168.1,0,P-WAE(MU)-W-89-WL-08,t,MIDNR,9,Marsh/Rearing pond release plants
14371,1989,6,16,HU,MI,SAGINAW BAY-PINCONNING RD,SAGINAW,,,1506,MH4,,WAE,MU,68924,,sf,,NC,,,,43,48.3,0,P-WAE(MU)-W-89-WL-08,t,MIDNR,9,Marsh/Rearing pond release plants
14372,1989,6,16,MI,MI,GULL ISLAND SHOAL,,,,414,MM3,,LAT,SMD,166300,1988,y,15,ADRV,,,,149,4128.76,2,JR(SUP)88D,b,USFWS,4,JRNFH -jac 4/98
14373,1989,6,19,MI,WI,KEWAUNEE RIVER,,,,1104,WM4,,COS,,30287,,f,,LP,,,,,554.29,0,,,WIDNR,9,
14374,1989,6,19,MI,MI,BOULDER REEF,BOULDER,,,414,MM3,,LAT,SMD,165000,1988,y,16,ADRV,,,,157,4863.08,2,JR(SUP)88D,b,USFWS,4,JRNFH -jac 4/98
14375,1989,6,19,SU,MN,GRAND MARAIS,GRAND MARAIS,,,715,M3,,LAT,SI,54940,1988,y,,LV,,,,,1862.47,0,,u,MNDNR,8,
14376,1989,6,20,MI,MI,BOULDER REEF,BOULDER,,,413,MM3,,LAT,SMD,74000,1988,y,16,ADRV,,,,146,1742.77,2,JR(SUP)88D,b,USFWS,4,JRNFH -jac 4/98
14377,1989,6,20,MI,MI,GULL ISLAND SHOAL,,,,414,MM3,,LAT,SMD,65000,1988,y,16,ADRV,,,,151,1678.06,2,JR(SUP)88D,b,USFWS,4,JRNFH -jac 4/98
14378,1989,6,20,MI,MI,RICHARD'S REEF,,,,414,MM3,,LAT,SMD,68500,1988,y,16,ADRV,,,,156,1974.4,2,JR(SUP)88D,b,USFWS,4,JRNFH -jac 4/98
14379,1989,6,20,SU,MN,LESTER RIVER C RD 12,LESTER,,,1401,M1,MN1,CHS,SUP,9181,1988,f,,LP,,,,,101,,,,MNDNR,9,
14380,1989,6,20,SU,MN,"FRENCH RIVER C RD 43, 33",FRENCH,,,1302,M1,MN1,RBT,STTF,21025,1989,fry,,XX,,,,,8,,,,MNDNR,9,STT (FR) strain
14381,1989,6,21,MI,MI,RICHARD'S REEF,,,,414,MM3,,LAT,JLD,48000,1988,y,16,ADCWT,,431735,,158,1435.23,2,JAC(JL)88D,b,USFWS,4,JRNFH -jac 4/98
14382,1989,6,21,MI,MI,RICHARD'S REEF,,,,414,MM3,,LAT,JLD,49000,1988,y,16,ADCWT,,431734,,158,1465.13,2,JAC(JL)88D,b,USFWS,4,JRNFH -jac 4/98
14383,1989,6,21,MI,MI,RICHARD'S REEF,,,,414,MM3,,LAT,JLD,52000,1988,y,16,ADCWT,,431733,,158,1554.83,2,JAC(JL)88D,b,USFWS,4,JRNFH -jac 4/98
14384,1989,6,22,HU,MI,SAGINAW BAY-LINWOOD RD,SAGINAW,,,1606,MH4,,WAE,MU,179702,,sf,,NC,,,,46,151.5,0,P-WAE(MU)-W-89-WL-08,t,MIDNR,9,Marsh/Rearing pond release plants
14385,1989,6,22,SU,MN,FRENCH RIVER C RD 258,FRENCH,,,1302,M1,MN1,RBT,STT,33155,1989,fry,,XX,,,,,10,,,,MNDNR,9,stocked in 2 locations
14386,1989,6,23,MI,MI,B B DENOC-ST VITALS ISLAND,BIG BAY DE NOC,,,308,MM1,,WAE,BD,59310,,sf,,NC,,,,55,37.4,0,P-WAE(BD)-W-89-TH-03,t,MIDNR,9,Marsh/Rearing pond release plants
14387,1989,6,23,SU,MN,STONEY POINT PALMERS,STONEY POINT,,,1303,M1,,LAT,SI,25472,1988,y,,LV,,,,,947.56,0,,u,MNDNR,8,
14388,1989,6,26,SU,MN,FRENCH RIVER C RD 692,FRENCH,,,1302,M1,MN1,RBT,STT,33986,1989,fry,,XX,,,,,12,,,,MNDNR,9,stocked in 3 locations
14389,1989,6,27,MI,MI,ESCANABA RIVER,ESCANABA,,,306,MM1,,WAE,BD,79975,,sf,,NC,,,,60,85.9,0,P-WAE(BD)-W-89-TH-03,t,MIDNR,9,Marsh/Rearing pond release plants
14390,1989,6,27,MI,MI,L B DENOC- ESC. YACHT HARBOR,LITTLE BAY DE NOC,,,306,MM1,,WAE,BD,14304,,sf,,NC,,,,65,30.8,0,P-WAE(BD)-W-89-TH-03,t,MIDNR,9,Marsh/Rearing pond release plants
14391,1989,6,28,MI,MI,FORD RIVER,FORD RIVER,,,306,MM1,,WAE,BD,183797,,sf,,NC,,,,45,129.3,0,P-WAE(BD)-W-89-TH-03,t,MIDNR,9,Marsh/Rearing pond release plants
14392,1989,6,29,SU,MN,"FRENCH RIVER C RD 281,43",FRENCH,,,1302,M1,MN1,RBT,STT,41183,1989,fry,,XX,,,,,11,,,,MNDNR,9,stocked in 3 locations
14393,1989,6,30,MI,MI,RULEAUS DOCK,,,,504,MM1,,WAE,BD,21602,,sf,,NC,,,,40,6.8,0,P-WAE(BD)-W-89-TH-02,t,MIDNR,9,Marsh/Rearing pond release plants
14394,1989,6,30,SU,MN,"FRENCH RIVER C RD 33,50",FRENCH,,,1302,M1,MN1,RBT,STT,22031,1989,fry,,XX,,,,,6,,,,MNDNR,9,stocked in 3 locations
14395,1989,6,,ON,NY,SOUTHWICK BEACH PARK,,,,523,NO2,,CHS,SAL,33500,1989,ff,5,RV,,60526,,,155.38,,,,NYDEC,,
14396,1989,7,1,ON,NY,SODUS BAY,,,,819,NO2,,WAE,CON,35000,1989,ff,4,NC,,,,,,,,,NYDEC,,
14397,1989,7,1,ON,NY,PORT BAY,PORT BAY,,,819,NO2,,WAE,CON,9000,1989,ff,4,NC,,,,,,,,,NYDEC,,
14398,1989,7,2,ON,NY,BLIND SODUS BAY,BLIND SODUS,,,720,NO2,,WAE,CON,6000,1989,ff,4,NC,,,,,,,,,NYDEC,,
14399,1989,7,2,ON,NY,LITTLE SODUS BAY,LITTLE SODUS,,,720,NO2,,WAE,CON,14000,1989,ff,4,NC,,,,,,,,,NYDEC,,
14400,1989,7,3,SU,MI,HURON BAY-ARVON TWP PK,HURON,,,1424,MS3,MI4,WAE,BD,15000,,ff,,NC,,,,35,4.2,0,P-WAE(BD)-W-89-TH-01,t,MIDNR,9,Marsh/Rearing pond release plants
14401,1989,7,5,SU,MN,FRENCH RIVER C RD 281,FRENCH,,,1302,M1,MN1,RBT,STT,6868,1989,fry,,XX,,,,,2,,,,MNDNR,9,
14402,1989,7,6,MI,MI,B B DENOC - STURGEON R. 499 BR.,BIG BAY DE NOC,,,209,MM1,,WAE,BD,41539,,ff,,NC,,,,49,36.5,0,P-WAE(BD)-W-89-TH-03,t,MIDNR,9,Marsh/Rearing pond release plants
14403,1989,7,7,HU,MI,ST. MARTINS BAY-CHARLES ROAD,ST MARTINS,,,202,MH1,,WAE,BD,100688,,ff,,NC,,,,36,40,0,P-WAE(BD)-W-89-TH-04,t,MIDNR,9,Marsh/Rearing pond release plants
14404,1989,7,7,MI,IL,JULIAN'S REEF,,,,2403,ILL,,LAT,SUP(88),103000,1988,y,16,LP,,,,,2678,0,JR(SUP)88D,b,USFWS,8,
14405,1989,7,7,MI,WI,FOX RIVER VOYAGER PARK,,,,1001,WM1,,MUE,,4000,,f,,NC,,,,,4.54,0,,,WIDNR,9,
14406,1989,7,7,SU,MI,HURON BAY-COLLINS DRIVE,HURON,,,1424,MS3,MI4,WAE,BD,52800,,ff,,NC,,,,42,26.4,0,P-WAE(BD)-W-89-TH-01,t,MIDNR,9,Marsh/Rearing pond release plants
14407,1989,7,7,SU,MI,RIVER MOUTH,ONTONAGON,,,1318,MS2,MI2,WAE,BD,30000,,ff,,NC,,,,42,15,0,P-WAE(BD)-W-89-TH-01,t,MIDNR,9,Marsh/Rearing pond release plants
14408,1989,7,8,HU,MI,ASHMUN BAY,ASHMUN,,,104,MH1,,WAE,BD,27740,,ff,,NC,,,,36,9.34,0,P-WAE(BD)-W-89-TH-04,t,MIDNR,9,Marsh/Rearing pond release plants
14409,1989,7,8,HU,MI,OSBORN CAMP,OSBORN,,,104,MH1,,WAE,BD,27047,,ff,,NC,,,,36,9.1,0,P-WAE(BD)-W-89-TH-04,t,MIDNR,9,Marsh/Rearing pond release plants
14410,1989,7,8,HU,MI,POTOGONNISSING BAY-MCCORMIC CK,POTAGANNISING,,,207,MH1,,WAE,BD,78359,,ff,,NC,,,,36,28.5,0,P-WAE(BD)-W-89-TH-04,t,MIDNR,9,Marsh/Rearing pond release plants
