entity,code,year,crop_oil,production
Afghanistan,AFG,1981,Sesame,4668
Afghanistan,AFG,1981,Linseed,5577
Afghanistan,AFG,1981,Palm,NA
Afghanistan,AFG,1981,Rapeseed,NA
Afghanistan,AFG,1981,Groundnut,NA
Afghanistan,AFG,1981,Cottonseed,6442
Afghanistan,AFG,1981,Coconut (copra),NA
Afghanistan,AFG,1981,"Olive, virgin",82
Afghanistan,AFG,1981,Safflower,NA
Afghanistan,AFG,1981,Sunflower,4308
Afghanistan,AFG,1981,Maize,NA
Afghanistan,AFG,1981,Palm kernel,NA
Afghanistan,AFG,1982,Soybean,NA
Afghanistan,AFG,1982,Sesame,4413
Afghanistan,AFG,1982,Linseed,5426
Afghanistan,AFG,1982,Palm,NA
Afghanistan,AFG,1982,Rapeseed,NA
Afghanistan,AFG,1982,Groundnut,NA
Afghanistan,AFG,1982,Cottonseed,4972
Afghanistan,AFG,1982,Coconut (copra),NA
Afghanistan,AFG,1982,"Olive, virgin",65
Afghanistan,AFG,1982,Safflower,NA
Afghanistan,AFG,1982,Sunflower,4410
Afghanistan,AFG,1982,Maize,NA
Afghanistan,AFG,1982,Palm kernel,NA
Afghanistan,AFG,1983,Soybean,NA
Afghanistan,AFG,1983,Sesame,4549
Afghanistan,AFG,1983,Linseed,5276
Afghanistan,AFG,1983,Palm,NA
Afghanistan,AFG,1983,Rapeseed,NA
Afghanistan,AFG,1983,Groundnut,NA
Afghanistan,AFG,1983,Cottonseed,5566
Afghanistan,AFG,1983,Coconut (copra),NA
Afghanistan,AFG,1983,"Olive, virgin",41
Afghanistan,AFG,1983,Safflower,NA
Afghanistan,AFG,1983,Sunflower,4410
Afghanistan,AFG,1983,Maize,NA
Afghanistan,AFG,1983,Palm kernel,NA
Afghanistan,AFG,1984,Soybean,NA
Afghanistan,AFG,1984,Sesame,4787
Afghanistan,AFG,1984,Linseed,5126
Afghanistan,AFG,1984,Palm,NA
Afghanistan,AFG,1984,Rapeseed,NA
Afghanistan,AFG,1984,Groundnut,NA
Afghanistan,AFG,1984,Cottonseed,7682
Afghanistan,AFG,1984,Coconut (copra),NA
Afghanistan,AFG,1984,"Olive, virgin",16
Afghanistan,AFG,1984,Safflower,NA
Afghanistan,AFG,1984,Sunflower,4410
Afghanistan,AFG,1984,Maize,NA
Afghanistan,AFG,1984,Palm kernel,NA
Afghanistan,AFG,1985,Soybean,NA
Afghanistan,AFG,1985,Sesame,4746
Afghanistan,AFG,1985,Linseed,4670
Afghanistan,AFG,1985,Palm,NA
Afghanistan,AFG,1985,Rapeseed,NA
Afghanistan,AFG,1985,Groundnut,NA
Afghanistan,AFG,1985,Cottonseed,6043
Afghanistan,AFG,1985,Coconut (copra),NA
Afghanistan,AFG,1985,"Olive, virgin",66
Afghanistan,AFG,1985,Safflower,NA
Afghanistan,AFG,1985,Sunflower,4410
Afghanistan,AFG,1985,Maize,NA
Afghanistan,AFG,1985,Palm kernel,NA
Afghanistan,AFG,1986,Soybean,NA
Afghanistan,AFG,1986,Sesame,4796
Afghanistan,AFG,1986,Linseed,4417
Afghanistan,AFG,1986,Palm,NA
Afghanistan,AFG,1986,Rapeseed,NA
Afghanistan,AFG,1986,Groundnut,NA
Afghanistan,AFG,1986,Cottonseed,7308
Afghanistan,AFG,1986,Coconut (copra),NA
Afghanistan,AFG,1986,"Olive, virgin",163
Afghanistan,AFG,1986,Safflower,NA
Afghanistan,AFG,1986,Sunflower,4411
Afghanistan,AFG,1986,Maize,NA
Afghanistan,AFG,1986,Palm kernel,NA
Afghanistan,AFG,1987,Soybean,NA
Afghanistan,AFG,1987,Sesame,2175
Afghanistan,AFG,1987,Linseed,4505
Afghanistan,AFG,1987,Palm,NA
Afghanistan,AFG,1987,Rapeseed,NA
Afghanistan,AFG,1987,Groundnut,NA
Afghanistan,AFG,1987,Cottonseed,4397
Afghanistan,AFG,1987,Coconut (copra),NA
Afghanistan,AFG,1987,"Olive, virgin",73
Afghanistan,AFG,1987,Safflower,NA
Afghanistan,AFG,1987,Sunflower,4312
Afghanistan,AFG,1987,Maize,NA
Afghanistan,AFG,1987,Palm kernel,NA
Afghanistan,AFG,1988,Soybean,NA
Afghanistan,AFG,1988,Sesame,2469
Afghanistan,AFG,1988,Linseed,4249
Afghanistan,AFG,1988,Palm,NA
Afghanistan,AFG,1988,Rapeseed,NA
Afghanistan,AFG,1988,Groundnut,NA
Afghanistan,AFG,1988,Cottonseed,4874
Afghanistan,AFG,1988,Coconut (copra),NA
Afghanistan,AFG,1988,"Olive, virgin",87
Afghanistan,AFG,1988,Safflower,NA
Afghanistan,AFG,1988,Sunflower,4212
Afghanistan,AFG,1988,Maize,NA
Afghanistan,AFG,1988,Palm kernel,NA
Afghanistan,AFG,1989,Soybean,NA
Afghanistan,AFG,1989,Sesame,2137
Afghanistan,AFG,1989,Linseed,4369
Afghanistan,AFG,1989,Palm,NA
Afghanistan,AFG,1989,Rapeseed,NA
Afghanistan,AFG,1989,Groundnut,NA
Afghanistan,AFG,1989,Cottonseed,4018
Afghanistan,AFG,1989,Coconut (copra),NA
Afghanistan,AFG,1989,"Olive, virgin",65
Afghanistan,AFG,1989,Safflower,NA
Afghanistan,AFG,1989,Sunflower,4113
Afghanistan,AFG,1989,Maize,NA
Afghanistan,AFG,1989,Palm kernel,NA
Afghanistan,AFG,1990,Soybean,NA
Afghanistan,AFG,1990,Sesame,3289
Afghanistan,AFG,1990,Linseed,3883
Afghanistan,AFG,1990,Palm,NA
Afghanistan,AFG,1990,Rapeseed,NA
Afghanistan,AFG,1990,Groundnut,NA
Afghanistan,AFG,1990,Cottonseed,2988
Afghanistan,AFG,1990,Coconut (copra),NA
Afghanistan,AFG,1990,"Olive, virgin",90
Afghanistan,AFG,1990,Safflower,NA
Afghanistan,AFG,1990,Sunflower,4014
Afghanistan,AFG,1990,Maize,NA
Afghanistan,AFG,1990,Palm kernel,NA
Afghanistan,AFG,1991,Soybean,NA
Afghanistan,AFG,1991,Sesame,4016
Afghanistan,AFG,1991,Linseed,4130
Afghanistan,AFG,1991,Palm,NA
Afghanistan,AFG,1991,Rapeseed,NA
Afghanistan,AFG,1991,Groundnut,NA
Afghanistan,AFG,1991,Cottonseed,7542
Afghanistan,AFG,1991,Coconut (copra),NA
Afghanistan,AFG,1991,"Olive, virgin",73
Afghanistan,AFG,1991,Safflower,NA
Afghanistan,AFG,1991,Sunflower,3914
Afghanistan,AFG,1991,Maize,NA
Afghanistan,AFG,1991,Palm kernel,NA
Afghanistan,AFG,1992,Soybean,NA
Afghanistan,AFG,1992,Sesame,4848
Afghanistan,AFG,1992,Linseed,4062
Afghanistan,AFG,1992,Palm,NA
Afghanistan,AFG,1992,Rapeseed,NA
Afghanistan,AFG,1992,Groundnut,NA
Afghanistan,AFG,1992,Cottonseed,7542
Afghanistan,AFG,1992,Coconut (copra),NA
Afghanistan,AFG,1992,"Olive, virgin",90
Afghanistan,AFG,1992,Safflower,NA
Afghanistan,AFG,1992,Sunflower,3898
Afghanistan,AFG,1992,Maize,NA
Afghanistan,AFG,1992,Palm kernel,NA
Afghanistan,AFG,1993,Soybean,NA
Afghanistan,AFG,1993,Sesame,3816
Afghanistan,AFG,1993,Linseed,3906
Afghanistan,AFG,1993,Palm,NA
Afghanistan,AFG,1993,Rapeseed,NA
Afghanistan,AFG,1993,Groundnut,NA
Afghanistan,AFG,1993,Cottonseed,7542
Afghanistan,AFG,1993,Coconut (copra),NA
Afghanistan,AFG,1993,"Olive, virgin",73
Afghanistan,AFG,1993,Safflower,NA
Afghanistan,AFG,1993,Sunflower,3804
Afghanistan,AFG,1993,Maize,NA
Afghanistan,AFG,1993,Palm kernel,NA
Afghanistan,AFG,1994,Soybean,NA
Afghanistan,AFG,1994,Sesame,4272
Afghanistan,AFG,1994,Linseed,3978
Afghanistan,AFG,1994,Palm,NA
Afghanistan,AFG,1994,Rapeseed,NA
Afghanistan,AFG,1994,Groundnut,NA
Afghanistan,AFG,1994,Cottonseed,7542
Afghanistan,AFG,1994,Coconut (copra),NA
Afghanistan,AFG,1994,"Olive, virgin",90
