0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4,state
18.7,d_19980701,0.1,0,0,0,0,0,81.2,58.2,10.3,1.3,0,kentucky
27.5,d_19980801,0.2,0,0,0,0,0,72.5,44.8,4.8,1,0,kentucky
42.3,d_19980901,0.6,0.1,0,0,0,0,56.9,28.6,1.8,0,0,kentucky
38,d_19981001,0.1,0,0,0,0,0,61.9,29,3.2,0.6,0.2,kentucky
59.5,d_19981101,2.5,0,0,0,0,0,38.1,12.2,1.2,0.2,0,kentucky
26.7,d_19981201,0.5,0,0,0,0,0,72.8,45,4,0.3,0,kentucky
40.2,d_19990101,0.8,0,0,0,0,0,59.1,26.6,3.9,0.4,0,kentucky
55.9,d_19990201,4.3,1.1,0,0,0,0,39.8,19,1.3,0.1,0,kentucky
44.9,d_19990301,54.6,25.7,3.4,0.9,0,0,0.5,0.2,0,0,0,kentucky
27.7,d_19990401,72.3,46.4,6.2,0.9,0,0,0,0,0,0,0,kentucky
30.3,d_19990501,69.7,42.9,7.8,1.3,0,0,0,0,0,0,0,kentucky
55.2,d_19990601,37.9,22.7,4.8,1.3,0,0,6.9,0.4,0,0,0,kentucky
39.5,d_19990701,60.2,41.2,16.5,7.3,1.1,0,0.3,0,0,0,0,kentucky
36.8,d_19990801,62.9,47.6,18.7,3.4,0,0,0.3,0,0,0,0,kentucky
9.1,d_19990901,90.9,75.8,46.5,28.3,4.3,0,0,0,0,0,0,kentucky
0,d_19991001,100,99,81.7,61.3,29.2,0,0,0,0,0,0,kentucky
0,d_19991101,100,99.9,89.8,67.5,35.9,0,0,0,0,0,0,kentucky
0,d_19991201,100.1,97.1,73.7,50.2,23.9,0,0,0,0,0,0,kentucky
2.6,d_20000101,97.4,90.5,72.3,46.6,14.8,0,0,0,0,0,0,kentucky
17.9,d_20000201,82,66,40.2,24.2,3.8,0,0,0,0,0,0,kentucky
4.6,d_20000301,95.3,79.8,53.1,32.5,7.7,0,0,0,0,0,0,kentucky
20.1,d_20000401,79.8,52.8,13.4,0.2,0,0,0,0,0,0,0,kentucky
47.4,d_20000501,52.7,25.5,0.3,0,0,0,0,0,0,0,0,kentucky
60.9,d_20000601,30.5,8.7,0,0,0,0,8.6,0.2,0,0,0,kentucky
58.9,d_20000701,29.5,13.1,0.7,0,0,0,11.7,2,0,0,0,kentucky
45.7,d_20000801,24.4,7.6,0,0,0,0,29.9,12.9,1.7,0.1,0,kentucky
44.4,d_20000901,18.4,3.9,0,0,0,0,37.3,18.3,2.2,0.7,0,kentucky
49.6,d_20001001,29.2,11.4,0,0,0,0,21.2,8.3,0.5,0,0,kentucky
59,d_20001101,38.8,21.4,1.7,0.1,0,0,2.2,0.3,0,0,0,kentucky
