id	title	author	year	total_weeks	first_week	debut_rank	best_rank
5281	THE GODS OF GUILT	Michael Connelly	2013	9	2013-12-22	8	3
5282	THE GOLD COAST	Nelson DeMille	1990	11	1990-04-29	10	9
5283	THE GOLDEN APPLES	Eudora Welty	1949	2	1949-09-25	5	13
5284	THE GOLDEN CORD	Warwick Deeping	1935	2	1935-09-23	5	4
5285	THE GOLDEN CUP	Belva Plain	1986	15	1986-10-12	12	6
5286	THE GOLDEN EGG	Donna Leon	2013	1	2013-04-14	8	7
5287	THE GOLDEN GATE	Alistair MacLean	1976	2	1976-09-12	10	8
5288	THE GOLDEN HAND	Edith Simon	1952	15	1952-05-18	15	7
5289	THE GOLDEN HAWK	Frank Yerby	1948	24	1948-05-09	4	2
529	ASSASSIN'S FATE	Robin Hobb	2017	1	2017-05-28	14	15
5290	THE GOLDEN HOUR	Beatriz Williams	2019	1	2019-07-28	9	12
5291	THE GOLDEN HOUSE	Salman Rushdie	2017	1	2017-09-24	5	15
5292	THE GOLDEN ISLE	Frank G. Slaughter	1947	2	1947-12-07	1	14
5293	THE GOLDEN MEAN	Nick Bantock	1993	16	1993-09-12	4	4
5294	THE GOLDEN ONE	Elizabeth Peters	2002	3	2002-04-21	4	8
5295	THE GOLDEN ORANGE	Joseph Wambaugh	1990	11	1990-05-20	11	5
5296	THE GOLDEN RENDEZVOUS	Alistair MacLean	1962	8	1962-07-01	15	13
5297	THE GOLDEN ROAD	Peter Bourne	1951	1	1951-08-26	1	16
5298	THE GOLDEN TRESSES OF THE DEAD	Alan Bradley	2019	1	2019-02-10	5	7
5299	THE GOLDEN WARRIOR	Hope Muntz	1949	4	1949-04-03	5	15
53	A BLAZE OF GLORY	Jeff Shaara	2012	4	2012-06-17	13	7
530	ASSASSINS	Tim LaHaye and Jerry B. Jenkins	1999	14	1999-08-22	3	2
5300	THE GOLDFINCH	Donna Tartt	2013	60	2013-11-10	9	1
5301	THE GOLEM OF HOLLYWOOD	Jonathan Kellerman and Jesse Kellerman	2014	1	2014-10-05	10	15
5302	THE GOOD DAUGHTER	Karin Slaughter	2017	3	2017-08-27	1	7
5303	THE GOOD EARTH	Pearl Buck	1931	1	1931-12-07	2	2
5304	THE GOOD EARTH	Pearl S. Buck	1931	10	1931-10-12	3	1
5305	THE GOOD FIGHT	Danielle Steel	2018	3	2018-07-29	7	2
5306	THE GOOD GUY	Dean Koontz	2007	5	2007-06-17	14	3
5307	THE GOOD HUSBAND OF ZEBRA DRIVE	Alexander McCall Smith	2007	6	2007-05-06	11	4
5308	THE GOOD LIFE	Jay McInerney	2006	2	2006-02-19	13	16
5309	THE GOOD MOTHER	Sue Miller	1986	23	1986-05-18	4	4
531	ASSEGAI	Wilbur Smith	2009	3	2009-05-31	13	9
5310	THE GOOD MOTHER	Sue Miller 	1986	1	1986-06-22	6	8
5311	THE GOOD SHEPHERD	C.S. Forester	1955	18	1955-04-10	16	4
5312	THE GOODBYE LOOK	Ross MacDonald	1969	14	1969-07-06	5	7
5313	THE GOSPEL ACCORDING TO THE SON	Norman Mailer	1997	6	1997-05-11	7	7
5314	THE GOWN OF GLORY	Agnes Sligh Turnbull	1952	37	1952-04-06	6	3
5315	THE GRAND DESIGN	John Dos Passos	1949	5	1949-01-30	3	8
5316	THE GRAND PORTAGE	Walter O'Meara	1951	2	1951-05-13	1	14
5317	THE GRAPES OF WRATH	John Steinbeck	1939	35	1939-04-24	3	1
5318	THE GRASS HARP	Truman Capote	1951	1	1951-11-04	1	16
5319	THE GRAVE MAURICE	Martha Grimes	2002	3	2002-09-15	2	7
532	ASSEMBLY	John O'Hara	1962	1	1962-01-14	1	16
5320	THE GRAVE'S A FINE AND PRIVATE PLACE	Alan Bradley	2018	1	2018-02-18	13	10
5321	THE GRAY GHOST	Clive Cussler and Robin Burcell	2018	3	2018-06-17	11	3
5322	THE GREAT ALONE	Kristin Hannah	2018	21	2018-02-25	3	1
5323	THE GREAT AND SECRET SHOW	Clive Barker	1990	4	1990-02-11	11	14
5324	THE GREAT ESCAPE	Susan Elizabeth Phillips	2012	1	2012-07-29	4	7
5325	THE GREAT MAN	Al Morgan	1955	6	1955-09-11	14	10
5326	THE GREAT ONES	Ralph Ingersoll	1948	6	1948-03-14	6	8
5327	THE GREAT TIDE	Rubylea Hall	1947	1	1947-11-02	1	16
5328	THE GREAT TRAIN ROBBERY	Michael Crichton	1975	23	1975-06-29	10	3
5329	THE GREEK PASSION	Nikos Kazantzakis	1954	1	1954-02-14	14	14
533	ASSIGNMENT IN BRITTANY	Helen MacInnes	1942	12	1942-07-20	5	2
5330	THE GREEK TREASURE	Irving Stone	1975	24	1975-10-26	1	2
5331	THE GREEN BERETS	Robin Moore	1965	28	1965-07-04	12	2
5332	THE GREEN MAN	Storm Jameson	1953	8	1953-04-05	16	10
5333	THE GREEN RIPPER	John D. MacDonald	1979	14	1979-10-28	9	4
5334	THE GREEN YEARS	A. J. Cronin	1944	28	1944-12-10	3	1
5335	THE GREENGAGE SUMMER	Rumer Godden	1958	21	1958-04-13	13	5
5336	THE GREMLINS STORYBOOK	Mary Carey	1984	6	1984-07-15	8	10
5337	THE GRILLING SEASON	Diane Mott Davidson	1997	3	1997-09-28	15	13
5338	THE GROUND BENEATH HER FEET	Salman Rushdie	1999	1	1999-05-09	14	14
5339	THE GROUP	Mary McCarthy	1963	51	1963-09-08	2	1
534	ASYLUM FOR THE QUEEN	Mildred Jordan	1948	9	1948-06-20	1	9
5340	THE GROVES OF ACADEME	Mary McCarthy	1952	1	1952-04-13	14	14
5341	THE GUARDIAN	Nicholas Sparks	2003	14	2003-04-27	9	2
5342	THE GUARDIANS	John Grisham	2019	18	2019-11-10	8	1
5343	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY	Mary Ann Shaffer and Annie Barrows	2008	33	2008-08-17	8	3
5344	THE GUEST BOOK	Sarah Blake	2019	6	2019-05-26	13	4
5345	THE GUEST LIST	Lucy Foley	2020	20	2020-06-21	16	3
5346	THE GUEST ROOM	Chris Bohjalian	2016	2	2016-01-24	13	11
5347	THE GUESTS ON SOUTH BATTERY	Karen White	2017	1	2017-01-29	6	10
5348	THE GUILTY	David Baldacci	2015	10	2015-12-06	1	2
5349	THE GUNS OF NAVARONE	Alistair MacLean	1957	3	1957-03-24	13	12
535	AT FIRST SIGHT	Nicholas Sparks	2005	18	2005-11-06	2	1
5350	THE GUY NOT TAKEN	Jennifer Weiner	2006	6	2006-09-24	15	6
5351	THE GYPSY MORPH	Terry Brooks	2008	3	2008-09-14	9	2
5352	THE HAJ	Leon Uris	1984	24	1984-04-15	2	2
5353	THE HALF-CROWN HOUSE	Helen Ashton	1956	1	1956-08-19	16	16
5354	THE HAMMER OF EDEN	Ken Follett	1998	5	1998-11-08	1	7
5355	THE HANDMAID'S TALE	Margaret Atwood	1986	14	1986-03-02	12	5
5356	THE HANDMAID'S TALE	Margaret Atwood.	1986	1	1986-04-20	1	8
5357	THE HANDSOME MAN'S DE LUXE CAFÉ	Alexander McCall Smith	2014	3	2014-11-16	15	6
5358	THE HANDSOME ROAD	Gwen Bristow	1938	2	1938-05-30	6	6
5359	THE HANGED MAN'S SONG	John Sandford	2003	1	2003-11-30	16	7
536	AT RISK	Patricia Cornwell	2006	8	2006-06-11	1	1
5360	THE HAPPY PRISONER	Monica Dickens	1947	3	1947-09-07	7	15
5361	THE HARBINGER II	Jonathan Cahn	2020	5	2020-09-20	8	5
5362	THE HARBOURMASTER	William McFee	1932	4	1932-01-11	1	1
5363	THE HARD WAY	Lee Child	2006	5	2006-06-04	2	3
5364	THE HARDER THEY COME	T. Coraghessan Boyle	2015	1	2015-04-19	15	13
5365	THE HARDER THEY FALL	Budd Schulberg	1947	8	1947-08-31	7	9
5366	THE HARLEQUIN	Laurell K. Hamilton	2007	3	2007-06-24	13	2
5367	THE HAT ON THE BED	John O'Hara	1963	19	1963-12-08	10	3
5368	THE HAUNTED MESA	Louis L'Amour	1987	20	1987-05-17	12	1
5369	THE HEALER	Frank G. Slaughter	1955	16	1955-02-20	15	6
537	AT THE EDGE OF THE ORCHARD	Tracy Chevalier	2016	1	2016-04-03	4	14
5370	THE HEALING OATH	Andre Soubiran	1954	10	1954-08-22	12	10
5371	THE HEART GOES LAST	Margaret Atwood	2015	1	2015-10-18	12	15
5372	THE HEART OF THE FAMILY	Elizabeth Goudge	1953	10	1953-10-11	16	12
5373	THE HEART OF THE MATTER	Graham Greene	1948	16	1948-08-01	6	3
5374	THE HEARTH AND EAGLE	Anya Seton	1948	14	1948-12-26	6	7
5375	THE HEARTLESS LIGHT	Gerald Green	1961	1	1961-06-04	1	16
5376	THE HEAT OF THE DAY	Elizabeth Bowen	1949	8	1949-03-13	4	7
5377	THE HEIR	Johanna Lindsey	2000	3	2000-05-14	13	9
5378	THE HEIST	Daniel Silva	2014	6	2014-08-03	10	1
5379	THE HEIST	Janet Evanovich and Lee Goldberg	2013	3	2013-07-07	11	5
538	AT THE SIGN OF TRIUMPH	David Weber	2016	1	2016-11-27	9	14
5380	THE HELLFIRE CLUB	Jake Tapper	2018	4	2018-05-13	14	3
5381	THE HELP	Kathryn Stockett	2009	108	2009-03-29	15	1
5382	THE HENNA ARTIST	Alka Joshi	2020	1	2020-05-31	13	14
5383	THE HIDDEN CITY	David Eddings	1994	4	1994-08-28	6	8
5384	THE HIDDEN FLOWER	Pearl S. Buck	1952	17	1952-06-08	14	6
5385	THE HIDDEN TARGET	Helen MacInnes	1980	14	1980-11-23	6	7
5386	THE HIGH AND THE MIGHTY	Ernest K. Gann	1953	56	1953-05-10	14	3
5387	THE HIGH CALLING	James Street	1951	17	1951-07-01	14	8
5388	THE HIGH DRUID'S BLADE	Terry Brooks	2014	1	2014-07-27	8	16
5389	THE HIGH KING OF MONTIVAL	S. M. Stirling	2010	1	2010-09-26	11	12
539	AT THE WATER'S EDGE	Sara Gruen	2015	7	2015-04-19	8	6
5390	THE HIGH TIDE CLUB	Mary Kay Andrews	2018	4	2018-05-27	13	3
5391	THE HIGHWAY	C. J. Box	2013	2	2013-08-18	13	7
5392	THE HIGHWAYMAN	Craig Johnson	2016	1	2016-06-05	8	10
5393	THE HILLS BEYOND	Thomas Wolfe	1941	2	1941-11-03	6	6
5394	THE HILLS OF BEVERLY	Libbie Block	1957	1	1957-09-08	1	16
5395	THE HISTORIAN	Elizabeth Kostova	2005	19	2005-07-03	5	1
5396	THE HISTORY OF ROME HANKS	Joseph S. Pennell	1944	10	1944-08-13	5	1
5397	THE HIT	David Baldacci	2013	9	2013-05-12	4	1
5398	THE HOBBIT	J.R.R. Tolkien	1977	2	1977-12-18	3	12
5399	THE HOLCROFT COVENANT	Robert Ludlum	1978	18	1978-04-09	9	1
54	A BOOK OF COMMON PRAYER	Joan Didion	1977	15	1977-04-24	1	8
540	AT WEDDINGS AND WAKES	Alice McDermott	1992	1	1992-05-17	7	11
5400	THE HOLDOUT	Graham Moore	2020	1	2020-03-08	7	14
5401	THE HOLLOW HILLS	Mary Stewart	1973	35	1973-07-15	1	1
5402	THE HOLY SINNER	Thomas Mann	1951	12	1951-09-30	8	6
5403	THE HOMING	John Saul	1994	1	1994-07-24	11	13
5404	THE HONEY BADGER	Robert Ruark	1965	16	1965-10-31	3	6
5405	THE HONOR OF SPIES	W. E. B. Griffin and William E. Butterworth IV	2010	3	2010-01-17	10	6
5406	THE HONORABLE SCHOOLBOY	John le Carré	1978	21	1978-01-01	4	3
5407	THE HONORARY CONSUL	Graham Greene	1973	27	1973-10-07	7	1
5408	THE HONOURABLE SCHOOLBOY	John le Carré	1977	12	1977-10-09	3	3
